Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1921-04-03,Catalonia,Provence,4,0,Friendly,Barcelona,Spain,False
1921-04-04,Catalonia,Provence,1,0,Friendly,Barcelona,Spain,False
2008-07-08,Provence,Padania,1,6,Viva World Cup,Gällivare,Sweden,True
2008-07-09,Provence,Iraqi Kurdistan,0,3,Viva World Cup,Malmberget,Sweden,True
2008-07-10,Arameans Suryoye,Provence,5,0,Viva World Cup,Malmberget,Sweden,True
2008-07-12,Sápmi,Provence,4,2,Viva World Cup,Gällivare,Sweden,False
2008-12-20,Monaco,Provence,2,3,Friendly,Cap-d'Ail,France,True
2009-06-22,Provence,Gozo,3,1,Viva World Cup,Novara,Italy,True
2009-06-23,Sápmi,Provence,1,2,Viva World Cup,Varese,Italy,True
2009-06-25,Provence,Iraqi Kurdistan,0,6,Viva World Cup,Varese,Italy,True
2009-06-26,Provence,Sápmi,4,4,Viva World Cup,Brescia,Italy,True
2010-06-01,Provence,Two Sicilies,0,1,Viva World Cup,Sannat,Malta,True
2010-06-02,Iraqi Kurdistan,Provence,3,2,Viva World Cup,Sannat,Malta,True
2010-06-04,Gozo,Provence,2,1,Viva World Cup,Xewkija,Malta,False
2012-06-05,Darfur,Provence,0,18,Viva World Cup,Erbil,Iraq,True
2012-06-06,Provence,Northern Cyprus,2,1,Viva World Cup,Erbil,Iraq,True
2012-06-08,Iraqi Kurdistan,Provence,2,1,Viva World Cup,Duhok,Iraq,False
2012-06-09,Provence,Zanzibar,2,7,Viva World Cup,Erbil,Iraq,True
2013-02-13,Provence,Monaco,6,1,Friendly,Saint-Zacharie,France,False
