Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1970-03-27,Bahrain,Qatar,2,1,Gulf Cup,Isa Town,Bahrain,False
1970-03-31,Kuwait,Qatar,4,2,Gulf Cup,Isa Town,Bahrain,True
1970-04-02,Saudi Arabia,Qatar,1,1,Gulf Cup,Isa Town,Bahrain,True
1972-01-04,Algeria,Qatar,3,0,Palestine Cup,Baghdad,Iraq,True
1972-01-06,Syria,Qatar,3,2,Palestine Cup,Baghdad,Iraq,True
1972-01-08,Qatar,Yemen DPR,1,2,Palestine Cup,Baghdad,Iraq,True
1972-01-10,Palestine,Qatar,7,2,Palestine Cup,Baghdad,Iraq,True
1972-03-17,Qatar,United Arab Emirates,0,1,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-21,Bahrain,Qatar,6,2,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-24,Saudi Arabia,Qatar,4,0,Gulf Cup,Riyadh,Saudi Arabia,False
1972-03-26,Kuwait,Qatar,5,0,Gulf Cup,Riyadh,Saudi Arabia,True
1973-04-12,Kuwait,Qatar,9,0,Friendly,Kuwait City,Kuwait,False
1973-04-17,Kuwait,Qatar,4,1,Friendly,Kuwait City,Kuwait,False
1974-02-27,Qatar,Morocco,0,1,Friendly,Doha,Qatar,False
1974-03-16,Qatar,Saudi Arabia,0,2,Gulf Cup,Kuwait City,Kuwait,True
1974-03-22,Oman,Qatar,0,4,Gulf Cup,Kuwait City,Kuwait,True
1974-03-24,Kuwait,Qatar,1,0,Gulf Cup,Kuwait City,Kuwait,False
1974-03-26,Qatar,Saudi Arabia,1,3,Gulf Cup,Kuwait City,Kuwait,True
1974-03-28,Qatar,United Arab Emirates,1,1,Gulf Cup,Kuwait City,Kuwait,True
1975-04-02,Iraq,Qatar,1,0,AFC Asian Cup qualification,Baghdad,Iraq,False
1975-04-04,Saudi Arabia,Qatar,2,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-06,Qatar,Afghanistan,2,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-10,Iraq,Qatar,3,0,AFC Asian Cup qualification,Baghdad,Iraq,False
1975-04-12,Qatar,Afghanistan,1,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-14,Saudi Arabia,Qatar,0,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1976-03-26,Qatar,Saudi Arabia,1,0,Gulf Cup,Doha,Qatar,False
1976-03-28,Qatar,Kuwait,0,4,Gulf Cup,Doha,Qatar,False
