Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2011-12-04,Chagos Islands,Raetia,6,1,Friendly,Crawley,England,True
2012-01-14,Gozo,Raetia,17,1,Friendly,Xewkija,Malta,False
2012-06-04,Zanzibar,Raetia,6,0,Viva World Cup,Erbil,Iraq,True
2012-06-05,Raetia,Tamil Eelam,1,0,Viva World Cup,Erbil,Iraq,True
2012-06-08,Western Sahara,Raetia,3,0,Viva World Cup,Erbil,Iraq,True
2012-06-09,Tamil Eelam,Raetia,4,0,Viva World Cup,Erbil,Iraq,True
2012-06-10,Monaco,Raetia,1,2,Friendly,Beausoleil,France,True
2013-06-29,Saugeais,Raetia,1,1,Friendly,La Chaux,France,False
2013-07-06,Raetia,Alderney,3,2,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-07,Raetia,Tamil Eelam,0,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2014-05-29,Franconia,Raetia,4,2,Friendly,Lohr am Main,Germany,False
2014-08-09,Raetia,Sealand,1,6,Friendly,Chur,Switzerland,False
2014-11-08,Székely Land,Raetia,3,0,Friendly,Sepsiszentgyörgy,Romania,False
2015-09-06,Raetia,Franconia,6,0,Benedikt Fontana Cup,Chur,Switzerland,False
2016-05-30,Raetia,Padania,0,6,CONIFA World Football Cup,Gagra,Georgia,True
2016-05-31,Northern Cyprus,Raetia,7,0,CONIFA World Football Cup,Gagra,Georgia,True
2016-06-02,Székely Land,Raetia,7,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-03,Chagos Islands,Raetia,3,3,CONIFA World Football Cup,Sukhumi,Georgia,True
2017-03-12,Raetia,Tamil Eelam,0,5,Friendly,Trübbach,Switzerland,True
2019-03-23,Vatican City,Raetia,2,2,Friendly,Rome,Italy,False
2019-06-25,Raetia,Franconia,3,4,Friendly,Chur,Switzerland,False
2022-07-16,Elba Island,Raetia,5,0,Friendly,Capoliveri,Italy,False
2022-08-07,Raetia,Tibet,3,3,Friendly,Chur,Switzerland,False
2022-11-13,West Papua,Raetia,1,1,Friendly,The Hague,Netherlands,True
2023-06-17,Ticino,Raetia,1,8,CONIFA World Football Cup qualification,Tenero-Contra,Switzerland,False
2023-08-06,Raetia,Ticino,5,1,Friendly,Domat/Ems,Switzerland,False
