Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1919-06-24,France,Romania,4,0,Inter-Allied Games,Paris,France,False
1919-06-26,Italy,Romania,7,1,Inter-Allied Games,Paris,France,True
1919-06-28,Greece,Romania,3,2,Inter-Allied Games,Paris,France,True
1922-06-08,Yugoslavia,Romania,1,2,Friendly,Belgrade,Yugoslavia,False
1922-09-03,Romania,Poland,1,1,Friendly,Cernăuţi,Romania,False
1923-06-10,Romania,Yugoslavia,1,2,Friendly,Bucharest,Romania,False
1923-07-01,Romania,Czechoslovakia,0,6,Friendly,Cluj,Romania,False
1923-09-02,Poland,Romania,1,1,Friendly,Lwów,Poland,False
1923-10-26,Turkey,Romania,2,2,Friendly,Istanbul,Turkey,False
1924-05-20,Austria,Romania,4,1,Friendly,Vienna,Austria,False
1924-05-27,Netherlands,Romania,6,0,Olympic Games,Colombes,France,True
1924-08-31,Czechoslovakia,Romania,4,1,Friendly,Prague,Czechoslovakia,False
1925-05-01,Romania,Turkey,1,2,Friendly,Bucharest,Romania,False
1925-05-31,Bulgaria,Romania,2,4,Friendly,Sofia,Bulgaria,False
1926-04-25,Romania,Bulgaria,6,1,Friendly,Bucharest,Romania,False
1926-05-07,Turkey,Romania,1,3,Friendly,Istanbul,Turkey,False
1926-10-03,Yugoslavia,Romania,2,3,Friendly,Zagreb,Yugoslavia,False
1927-05-10,Romania,Yugoslavia,0,3,Friendly,Bucharest,Romania,False
1927-06-19,Romania,Poland,3,3,Friendly,Bucharest,Romania,False
1928-04-15,Romania,Turkey,4,2,Friendly,Arad,Romania,False
1928-05-06,Yugoslavia,Romania,3,1,Friendly,Belgrade,Yugoslavia,False
1929-04-21,Romania,Bulgaria,3,0,Friendly,Bucharest,Romania,False
1929-05-10,Romania,Yugoslavia,2,3,Friendly,Bucharest,Romania,False
1929-09-15,Bulgaria,Romania,2,3,Friendly,Sofia,Bulgaria,False
1929-10-06,Romania,Yugoslavia,2,1,Balkan Cup,Bucharest,Romania,False
1930-05-04,Yugoslavia,Romania,2,1,Friendly,Belgrade,Yugoslavia,False
1930-05-25,Romania,Greece,8,1,Balkan Cup,Bucharest,Romania,False
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True
1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False
1930-10-12,Bulgaria,Romania,5,3,Balkan Cup,Sofia,Bulgaria,False
1931-05-10,Romania,Bulgaria,5,2,Balkan Cup,Bucharest,Romania,False
1931-06-28,Yugoslavia,Romania,2,4,Balkan Cup,Zagreb,Yugoslavia,False
1931-08-23,Poland,Romania,2,3,Friendly,Warsaw,Poland,False
1931-08-26,Lithuania,Romania,2,4,Friendly,Kaunas,Lithuania,False
1931-11-29,Greece,Romania,2,4,Balkan Cup,Athens,Greece,False
1932-06-12,Romania,France,6,3,Friendly,Bucharest,Romania,False
1932-06-26,Bulgaria,Romania,2,0,Balkan Cup,Belgrade,Yugoslavia,True
1932-06-28,Greece,Romania,0,3,Balkan Cup,Belgrade,Yugoslavia,True
1932-07-03,Yugoslavia,Romania,3,1,Balkan Cup,Belgrade,Yugoslavia,False
1932-10-02,Romania,Poland,0,5,Friendly,Bucharest,Romania,False
1933-06-04,Romania,Bulgaria,7,0,Balkan Cup,Bucharest,Romania,False
1933-06-11,Romania,Yugoslavia,5,0,Balkan Cup,Bucharest,Romania,False
1933-10-29,Switzerland,Romania,2,2,FIFA World Cup qualification,Bern,Switzerland,False
1934-04-29,Romania,Yugoslavia,2,1,FIFA World Cup qualification,Bucharest,Romania,False
1934-05-27,Czechoslovakia,Romania,2,1,FIFA World Cup,Trieste,Italy,True
1934-10-14,Poland,Romania,3,3,Friendly,Lwów,Poland,False
1934-12-27,Greece,Romania,2,2,Balkan Cup,Athens,Greece,False
1934-12-30,Bulgaria,Romania,2,3,Balkan Cup,Athens,Greece,True
1935-01-01,Romania,Yugoslavia,0,4,Balkan Cup,Athens,Greece,True
1935-06-17,Romania,Yugoslavia,0,2,Balkan Cup,Sofia,Bulgaria,True
1935-06-19,Bulgaria,Romania,4,0,Balkan Cup,Sofia,Bulgaria,False
1935-06-24,Greece,Romania,2,2,Balkan Cup,Sofia,Bulgaria,True
1935-08-25,Germany,Romania,4,2,Friendly,Erfurt,Germany,False
1935-09-01,Sweden,Romania,7,1,Friendly,Stockholm,Sweden,False
1935-11-03,Romania,Poland,4,1,Friendly,Bucharest,Romania,False
1936-05-10,Romania,Yugoslavia,3,2,Friendly,Bucharest,Romania,False
1936-05-17,Romania,Greece,5,2,Balkan Cup,Bucharest,Romania,False
1936-05-24,Romania,Bulgaria,4,1,Balkan Cup,Bucharest,Romania,False
1936-10-04,Romania,Hungary,1,2,Friendly,Bucharest,Romania,False
1937-04-18,Romania,Czechoslovakia,1,1,Friendly,Bucharest,Romania,False
1937-06-10,Romania,Belgium,2,1,Friendly,Bucharest,Romania,False
1937-06-27,Romania,Sweden,2,2,Friendly,Bucharest,Romania,False
1937-07-04,Poland,Romania,2,4,Friendly,Łódź,Poland,False
1937-07-14,Estonia,Romania,2,1,Friendly,Tallinn,Estonia,False
1938-05-08,Romania,Yugoslavia,0,1,Friendly,Bucharest,Romania,False
1938-06-05,Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True
1938-06-09,Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True
1938-09-06,Yugoslavia,Romania,1,1,Friendly,Belgrade,Yugoslavia,False
1938-09-25,Romania,Germany,1,4,Friendly,Bucharest,Romania,False
1938-12-04,Czechoslovakia,Romania,6,2,Friendly,Prague,Czechoslovakia,False
1939-05-07,Romania,Yugoslavia,1,0,Friendly,Bucharest,Romania,False
1939-05-18,Romania,Latvia,4,0,Friendly,Bucharest,Romania,False
1939-05-24,Romania,England,0,2,Friendly,Bucharest,Romania,False
1939-06-11,Romania,Italy,0,1,Friendly,Bucharest,Romania,False
1940-03-31,Romania,Yugoslavia,3,3,Friendly,Bucharest,Romania,False
1940-04-14,Italy,Romania,2,1,Friendly,Rome,Italy,False
1940-05-19,Hungary,Romania,2,0,Friendly,Budapest,Hungary,False
1940-07-14,Germany,Romania,9,3,Friendly,Frankfurt am Main,Germany,False
1940-09-22,Yugoslavia,Romania,1,2,Friendly,Belgrade,Yugoslavia,False
1941-06-01,Romania,Germany,1,4,Friendly,Bucharest,Romania,False
1941-10-12,Romania,Slovakia,3,2,Friendly,Bucharest,Romania,False
1942-08-16,Germany,Romania,7,0,Friendly,Beuthen,Germany,False
1942-08-23,Slovakia,Romania,1,0,Friendly,Bratislava,Slovakia,False
1942-10-11,Romania,Croatia,2,2,Friendly,Bucharest,Romania,False
1943-06-13,Romania,Slovakia,2,2,Friendly,Bucharest,Romania,False
1945-09-30,Hungary,Romania,7,2,Friendly,Budapest,Hungary,False
1946-10-08,Bulgaria,Romania,2,2,Balkan Cup,Tirana,Albania,True
1946-10-11,Romania,Yugoslavia,2,1,Balkan Cup,Tirana,Albania,True
1946-10-13,Albania,Romania,1,0,Balkan Cup,Tirana,Albania,False
1947-05-25,Albania,Romania,0,4,Balkan Cup,Tirana,Albania,False
1947-06-22,Romania,Yugoslavia,1,3,Balkan Cup,Bucharest,Romania,False
1947-07-06,Bulgaria,Romania,2,3,Balkan Cup,Sofia,Bulgaria,False
1947-07-19,Poland,Romania,1,2,Friendly,Warsaw,Poland,False
1947-09-21,Romania,Czechoslovakia,2,6,Friendly,Bucharest,Romania,False
1947-10-12,Romania,Hungary,0,3,Balkan Cup,Bucharest,Romania,False
1947-10-26,Romania,Poland,0,0,Friendly,Bucharest,Romania,False
1948-05-02,Romania,Albania,0,1,Balkan Cup,Bucharest,Romania,False
1948-06-06,Hungary,Romania,9,0,Balkan Cup,Budapest,Hungary,False
1948-06-20,Romania,Bulgaria,3,2,Balkan Cup,Bucharest,Romania,False
