Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1976-07-03,Rwanda,DR Congo,1,6,Friendly,Libreville,Gabon,True
1979-01-10,Rwanda,Gabon,2,2,Friendly,Kigali,Rwanda,False
1981-04-26,Ethiopia,Rwanda,1,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False
1981-05-10,Rwanda,Ethiopia,1,0,African Cup of Nations qualification,Kigali,Rwanda,False
1982-08-30,Burundi,Rwanda,1,0,Friendly,Bujumbura,Burundi,False
1982-09-19,Somalia,Rwanda,0,1,African Cup of Nations qualification,Mogadishu,Somalia,False
1983-04-10,Tunisia,Rwanda,5,0,African Cup of Nations qualification,Tunis,Tunisia,False
1983-04-24,Rwanda,Tunisia,0,1,African Cup of Nations qualification,Kigali,Rwanda,False
1986-09-21,Uganda,Rwanda,1,0,Friendly,Kampala,Uganda,False
1986-11-25,Kenya,Rwanda,2,3,Friendly,Nairobi,Kenya,False
1995-11-26,Uganda,Rwanda,0,0,CECAFA Cup,Kampala,Uganda,False
1995-11-29,Zanzibar,Rwanda,2,1,CECAFA Cup,Kampala,Uganda,True
1995-11-30,Kenya,Rwanda,1,0,CECAFA Cup,Kampala,Uganda,True
1996-06-02,Rwanda,Tunisia,1,3,FIFA World Cup qualification,Kigali,Rwanda,False
1996-06-16,Tunisia,Rwanda,2,0,FIFA World Cup qualification,Tunis,Tunisia,False
1996-08-17,Rwanda,Uganda,0,0,Friendly,Kigali,Rwanda,False
1996-11-07,Uganda,Rwanda,3,2,Friendly,Kampala,Uganda,False
1996-11-08,Uganda,Rwanda,1,1,Friendly,Kampala,Uganda,False
1996-11-19,Kenya,Rwanda,2,1,CECAFA Cup,Kassala,Sudan,True
1996-11-22,Rwanda,Zanzibar,1,1,CECAFA Cup,Kassala,Sudan,True
1998-07-05,Rwanda,Tanzania,2,0,Friendly,Kigali,Rwanda,False
1998-07-06,Rwanda,Tanzania,2,2,Friendly,Kigali,Rwanda,False
1998-08-01,Uganda,Rwanda,5,0,African Cup of Nations qualification,Kampala,Uganda,False
1998-08-16,Rwanda,Uganda,0,0,African Cup of Nations qualification,Kigali,Rwanda,False
1999-07-24,Rwanda,Djibouti,4,1,CECAFA Cup,Kigali,Rwanda,False
1999-07-28,Rwanda,Tanzania,0,0,CECAFA Cup,Kigali,Rwanda,False
1999-07-31,Rwanda,Uganda,1,0,CECAFA Cup,Kigali,Rwanda,False
1999-08-03,Rwanda,Kenya,0,0,Friendly,Kigali,Rwanda,False
1999-08-07,Rwanda,Burundi,0,0,Friendly,Kigali,Rwanda,False
1999-12-11,Malawi,Rwanda,1,1,Friendly,Lilongwe,Malawi,False
1999-12-13,Malawi,Rwanda,1,1,Friendly,Blantyre,Malawi,False
1999-12-15,Malawi,Rwanda,1,2,Friendly,Blantyre,Malawi,False
2000-04-09,Rwanda,Ivory Coast,2,2,FIFA World Cup qualification,Kigali,Rwanda,False
2000-04-23,Ivory Coast,Rwanda,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2000-06-24,Uganda,Rwanda,2,1,Friendly,Kampala,Uganda,False
2000-07-02,Rwanda,Congo,2,1,African Cup of Nations qualification,Kigali,Rwanda,False
2000-07-04,Rwanda,Uganda,2,0,Friendly,Kigali,Rwanda,False
2000-07-16,Congo,Rwanda,5,1,African Cup of Nations qualification,Pointe-Noire,Congo,False
2000-10-28,Eritrea,Rwanda,0,1,Friendly,Lusaka,Zambia,True
2000-10-29,Zambia,Rwanda,0,2,Friendly,Lusaka,Zambia,False
2000-10-30,Rwanda,Zimbabwe,1,0,Friendly,Lusaka,Zambia,True
2000-11-22,Kenya,Rwanda,1,2,CECAFA Cup,Mbale,Uganda,True
2000-11-25,Eritrea,Rwanda,1,1,CECAFA Cup,Mbale,Uganda,True
2000-11-29,Uganda,Rwanda,3,1,CECAFA Cup,Kampala,Uganda,False
2000-12-02,Ethiopia,Rwanda,1,1,Friendly,Kampala,Uganda,True
2001-12-08,Rwanda,Somalia,3,0,CECAFA Cup,Kigali,Rwanda,False
2001-12-12,Rwanda,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,False
2001-12-15,Rwanda,Kenya,0,0,CECAFA Cup,Kigali,Rwanda,False
2001-12-18,Rwanda,Uganda,3,2,CECAFA Cup,Kigali,Rwanda,False
2001-12-20,Rwanda,Ethiopia,0,1,CECAFA Cup,Kigali,Rwanda,False
2002-08-24,Rwanda,Kenya,0,0,Friendly,Kigali,Rwanda,False
2002-10-13,Ghana,Rwanda,4,2,African Cup of Nations qualification,Accra,Ghana,False
2002-11-30,Rwanda,Zanzibar,1,0,CECAFA Cup,Arusha,Tanzania,True
2002-12-03,Somalia,Rwanda,0,1,CECAFA Cup,Arusha,Tanzania,True
2002-12-06,Uganda,Rwanda,2,1,CECAFA Cup,Arusha,Tanzania,True
2002-12-09,Rwanda,Ethiopia,1,0,CECAFA Cup,Arusha,Tanzania,True
2002-12-11,Tanzania,Rwanda,3,0,CECAFA Cup,Mwanza,Tanzania,False
2002-12-14,Rwanda,Uganda,2,1,CECAFA Cup,Arusha,Tanzania,True
2003-03-15,Rwanda,Burundi,4,2,Friendly,Kigali,Rwanda,False
2003-03-22,Rwanda,Zambia,1,1,Friendly,Kigali,Rwanda,False
2003-03-24,Rwanda,Zambia,0,3,Friendly,Kigali,Rwanda,False
2003-03-29,Rwanda,Uganda,0,0,African Cup of Nations qualification,Kigali,Rwanda,False
2003-06-07,Uganda,Rwanda,0,1,African Cup of Nations qualification,Kampala,Uganda,False
2003-07-06,Rwanda,Ghana,1,0,African Cup of Nations qualification,Kigali,Rwanda,False
2003-09-14,Rwanda,Kenya,0,1,Friendly,Kigali,Rwanda,False
2003-10-12,Rwanda,Namibia,3,0,FIFA World Cup qualification,Kigali,Rwanda,False
2003-10-22,India,Rwanda,3,1,Afro-Asian Games,Hyderabad,India,False
2003-10-31,Rwanda,Zimbabwe,2,2,Afro-Asian Games,Hyderabad,India,True
2003-11-15,Namibia,Rwanda,1,1,FIFA World Cup qualification,Windhoek,Namibia,False
2003-12-02,Rwanda,Zanzibar,2,2,CECAFA Cup,Khartoum,Sudan,True
2003-12-04,Sudan,Rwanda,3,0,CECAFA Cup,Khartoum,Sudan,False
2003-12-08,Kenya,Rwanda,1,1,CECAFA Cup,Khartoum,Sudan,True
2003-12-10,Uganda,Rwanda,2,0,CECAFA Cup,Khartoum,Sudan,True
2004-01-08,Egypt,Rwanda,5,1,Friendly,Port Said,Egypt,False
2004-01-24,Tunisia,Rwanda,2,1,African Cup of Nations,Radès,Tunisia,False
2004-01-28,Rwanda,Guinea,1,1,African Cup of Nations,Bizerte,Tunisia,True
2004-02-01,Rwanda,DR Congo,1,0,African Cup of Nations,Bizerte,Tunisia,True
2004-05-28,Rwanda,Uganda,1,1,Friendly,Kigali,Rwanda,False
2004-06-05,Nigeria,Rwanda,2,0,FIFA World Cup qualification,Abuja,Nigeria,False
2004-06-19,Rwanda,Gabon,3,1,FIFA World Cup qualification,Kigali,Rwanda,False
2004-07-03,Rwanda,Zimbabwe,0,2,FIFA World Cup qualification,Kigali,Rwanda,False
2004-08-14,Uganda,Rwanda,1,2,Friendly,Kampala,Uganda,False
2004-08-28,Zambia,Rwanda,2,1,Friendly,Kitwe,Zambia,False
2004-09-05,Angola,Rwanda,1,0,FIFA World Cup qualification,Luanda,Angola,False
