Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1947-05-15,Mauritius,Réunion,2,1,Friendly,Antananarivo,Madagascar,True
1947-06-06,Madagascar,Réunion,4,2,Friendly,Antananarivo,Madagascar,False
1948-07-15,Madagascar,Réunion,2,1,Friendly,Curepipe,Mauritius,True
1948-07-19,Mauritius,Réunion,5,1,Friendly,Curepipe,Mauritius,False
1949-10-07,Réunion,Mauritius,0,6,Friendly,Saint-Pierre,Réunion,False
1949-10-10,Réunion,Madagascar,1,3,Friendly,Saint-Pierre,Réunion,False
1950-04-14,Mauritius,Réunion,15,2,Friendly,Antananarivo,Madagascar,True
1950-07-11,Madagascar,Réunion,2,3,Friendly,Antananarivo,Madagascar,False
1951-07-14,Madagascar,Réunion,3,1,Friendly,Curepipe,Mauritius,True
1951-07-21,Mauritius,Réunion,10,2,Friendly,Curepipe,Mauritius,False
1952-07-24,Réunion,Madagascar,0,1,Friendly,Saint-Pierre,Réunion,False
1952-07-27,Réunion,Mauritius,0,6,Friendly,Saint-Pierre,Réunion,False
1953-07-13,Mauritius,Réunion,9,4,Friendly,Antananarivo,Madagascar,True
1953-07-16,Madagascar,Réunion,6,4,Friendly,Antananarivo,Madagascar,False
1954-07-11,Madagascar,Réunion,2,6,Friendly,Curepipe,Mauritius,True
1954-07-18,Mauritius,Réunion,11,0,Friendly,Curepipe,Mauritius,False
1955-07-07,Réunion,Mauritius,1,3,Friendly,Saint-Pierre,Réunion,False
1955-07-10,Réunion,Madagascar,2,4,Friendly,Saint-Pierre,Réunion,False
1956-06-30,Mauritius,Réunion,8,3,Friendly,Antananarivo,Madagascar,True
1956-07-05,Madagascar,Réunion,4,2,Friendly,Antananarivo,Madagascar,False
1957-04-17,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False
1957-10-20,Madagascar,Réunion,0,1,Friendly,Curepipe,Mauritius,True
1957-10-27,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False
1958-10-16,Réunion,Mauritius,0,2,Friendly,Saint-Pierre,Réunion,False
1958-10-19,Réunion,Madagascar,1,3,Friendly,Saint-Pierre,Réunion,False
