Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1999-06-27,Greenland,Saare County,4,1,Island Games,Väskinde,Sweden,True
1999-06-28,Saare County,Isle of Wight,1,6,Island Games,Fårösund,Sweden,True
1999-06-29,Saare County,Frøya,1,4,Island Games,Dalhem,Sweden,True
1999-07-01,Hitra,Saare County,2,1,Island Games,Dalhem,Sweden,True
2001-07-08,Ynys Môn,Saare County,4,1,Island Games,Castletown,Isle of Man,True
2001-07-09,Saare County,Shetland,2,3,Island Games,Port Erin,Isle of Man,True
2001-07-12,Saare County,Orkney,2,1,Island Games,Douglas,Isle of Man,True
2001-07-13,Greenland,Saare County,2,0,Island Games,Ramsey,Isle of Man,True
2003-06-29,Saare County,Ynys Môn,0,2,Island Games,Saint Sampson,Guernsey,True
2003-06-30,Isle of Man,Saare County,4,0,Island Games,Saint Sampson,Guernsey,True
2003-07-03,Gotland,Saare County,3,0,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Saare County,Alderney,0,1,Island Games,Saint Martin,Guernsey,True
2005-07-10,Saare County,Åland Islands,2,1,Island Games,Shetland,Scotland,True
2005-07-11,Isle of Man,Saare County,2,2,Island Games,Shetland,Scotland,True
2005-07-12,Saare County,Falkland Islands,1,2,Island Games,Shetland,Scotland,True
2005-07-13,Shetland,Saare County,0,0,Island Games,Shetland,Scotland,False
2005-07-15,Ynys Môn,Saare County,3,2,Island Games,Shetland,Scotland,True
2007-06-30,Rhodes,Saare County,2,0,Island Games,Rhodes,Greece,True
2007-07-02,Saare County,Frøya,2,3,Island Games,Rhodes,Greece,True
2007-07-05,Menorca,Saare County,4,1,Island Games,Rhodes,Greece,True
2009-06-28,Saare County,Jersey,0,1,Island Games,Saltvik,Sweden,True
2009-06-29,Isle of Wight,Saare County,5,1,Island Games,Hammarland,Sweden,True
2009-06-30,Rhodes,Saare County,3,0,Island Games,Saltvik,Sweden,True
2009-07-02,Shetland,Saare County,3,2,Island Games,Hammarland,Sweden,True
2011-06-26,Åland Islands,Saare County,3,3,Island Games,East Cowes,England,True
2011-06-28,Saare County,Western Isles,2,0,Island Games,Cowes,England,True
2011-06-30,Saare County,Gibraltar,0,4,Island Games,Brading,England,True
2015-06-28,Saare County,Åland Islands,1,2,Island Games,Grouville,Jersey,True
2015-06-29,Menorca,Saare County,3,0,Island Games,St. Clement,Jersey,True
2015-06-30,Greenland,Saare County,2,1,Island Games,Grouville,Jersey,True
2015-07-02,Gotland,Saare County,2,3,Island Games,St. Ouen,Jersey,True
2017-06-25,Saare County,Shetland,4,5,Island Games,Hemse,Sweden,True
2017-06-26,Åland Islands,Saare County,0,0,Island Games,Fardhem,Sweden,True
2017-06-27,Guernsey,Saare County,1,1,Island Games,Dalhem,Sweden,True
2017-06-29,Saare County,Frøya,4,2,Island Games,Fardhem,Sweden,True
