Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2010-07-03,Saint Martin,Saint Barthélemy,3,0,Friendly,Quartier-d'Orleans,Saint Martin,False
2012-09-08,Saint Barthélemy,Guadeloupe,1,8,Friendly,Saint-Jean,Saint Barthélemy,False
2018-04-29,Saint Barthélemy,Saint Martin,3,2,Friendly,Saint-Jean,Saint Barthélemy,False
2018-05-26,Saint Barthélemy,Sint Maarten,5,3,Friendly,Saint-Jean,Saint Barthélemy,False
2018-07-27,Saint Barthélemy,Anguilla,1,2,Friendly,Saint-Jean,Saint Barthélemy,False
2018-07-28,Saint Barthélemy,British Virgin Islands,3,4,Friendly,Saint-Jean,Saint Barthélemy,False
2019-02-23,Sint Maarten,Saint Barthélemy,1,1,Friendly,Philipsburg,Sint Maarten,False
2019-03-17,Saint Barthélemy,Saint Martin,4,3,Friendly,Saint-Jean,Saint Barthélemy,False
2023-03-04,Saint Barthélemy,Sint Maarten,5,1,Friendly,Saint-Jean,Saint Barthélemy,False
2023-03-10,Saint Martin,Saint Barthélemy,3,2,Friendly,Quartier-d'Orleans,Saint Martin,False
