Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-08-17,Saint Kitts and Nevis,Grenada,0,4,Friendly,Basseterre,Saint Kitts and Nevis,False
1938-08-18,Saint Kitts and Nevis,Grenada,2,4,Friendly,Basseterre,Saint Kitts and Nevis,False
1972-10-11,Saint Kitts and Nevis,Trinidad and Tobago,0,3,Friendly,Basseterre,Saint Kitts and Nevis,False
1979-06-03,Jamaica,Saint Kitts and Nevis,2,1,CFU Caribbean Cup qualification,Kingston,Jamaica,False
1979-06-17,Saint Kitts and Nevis,Jamaica,1,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1983-05-25,Martinique,Saint Kitts and Nevis,7,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1983-06-05,Saint Kitts and Nevis,Martinique,0,5,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1985-11-24,Saint Kitts and Nevis,Dominica,2,1,Friendly,Basseterre,Saint Kitts and Nevis,False
1985-12-01,Dominica,Saint Kitts and Nevis,0,1,Friendly,Roseau,Dominica,False
1989-04-23,Saint Kitts and Nevis,French Guiana,1,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1989-05-07,Grenada,Saint Kitts and Nevis,2,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1989-05-21,Saint Kitts and Nevis,Trinidad and Tobago,0,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1989-06-18,Aruba,Saint Kitts and Nevis,1,4,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3,1,Friendly,Basseterre,Saint Kitts and Nevis,False
1990-04-29,Jamaica,Saint Kitts and Nevis,3,0,CFU Caribbean Cup qualification,Kingston,Jamaica,False
1990-05-19,Saint Kitts and Nevis,Guadeloupe,2,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1991-05-12,Saint Kitts and Nevis,Cayman Islands,1,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1991-05-14,Saint Kitts and Nevis,British Virgin Islands,0,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-15,Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-17,Saint Kitts and Nevis,Montserrat,10,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1993-04-02,Saint Kitts and Nevis,British Virgin Islands,5,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1993-04-06,Saint Kitts and Nevis,Dominican Republic,2,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1993-05-21,Jamaica,Saint Kitts and Nevis,4,1,CFU Caribbean Cup,Kingston,Jamaica,False
1993-05-23,Saint Kitts and Nevis,Puerto Rico,1,0,CFU Caribbean Cup,Kingston,Jamaica,True
1993-05-25,Saint Kitts and Nevis,Sint Maarten,2,2,CFU Caribbean Cup,Kingston,Jamaica,True
1993-05-28,Martinique,Saint Kitts and Nevis,1,1,CFU Caribbean Cup,Montego Bay,Jamaica,True
1993-05-30,Trinidad and Tobago,Saint Kitts and Nevis,3,2,CFU Caribbean Cup,Kingston,Jamaica,True
1993-11-14,Antigua and Barbuda,Saint Kitts and Nevis,3,0,Friendly,St. John's,Antigua and Barbuda,False
1994-02-23,Saint Kitts and Nevis,Montserrat,9,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1994-02-25,Saint Kitts and Nevis,Dominica,2,3,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1995-03-12,Barbados,Saint Kitts and Nevis,0,1,Friendly,Bridgetown,Barbados,False
1995-03-19,Sint Maarten,Saint Kitts and Nevis,0,2,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False
1995-03-26,Saint Kitts and Nevis,Sint Maarten,0,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1995-04-30,Saint Kitts and Nevis,Antigua and Barbuda,1,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,2,2,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1995-12-06,Saint Kitts and Nevis,Jamaica,0,3,Friendly,Basseterre,Saint Kitts and Nevis,False
1996-03-27,Saint Kitts and Nevis,Anguilla,8,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1996-03-31,Saint Kitts and Nevis,Sint Maarten,3,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1996-05-05,Saint Kitts and Nevis,Saint Lucia,5,1,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False
1996-05-19,Saint Lucia,Saint Kitts and Nevis,0,1,FIFA World Cup qualification,Castries,Saint Lucia,False
1996-05-26,Jamaica,Saint Kitts and Nevis,4,1,CFU Caribbean Cup,Palo Seco,Trinidad and Tobago,True
1996-05-28,Trinidad and Tobago,Saint Kitts and Nevis,5,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1996-05-30,Saint Kitts and Nevis,Suriname,1,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1996-06-23,Saint Kitts and Nevis,Saint Vincent and the Grenadines,2,2,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False
1996-06-30,Saint Vincent and the Grenadines,Saint Kitts and Nevis,0,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1997-07-06,Saint Kitts and Nevis,Martinique,2,0,CFU Caribbean Cup,Basseterre,Saint Kitts and Nevis,False
1997-07-08,Saint Kitts and Nevis,Trinidad and Tobago,0,3,CFU Caribbean Cup,Basseterre,Saint Kitts and Nevis,False
1997-07-10,Saint Kitts and Nevis,Grenada,2,1,CFU Caribbean Cup,Basseterre,Saint Kitts and Nevis,False
1997-07-13,Trinidad and Tobago,Saint Kitts and Nevis,4,0,CFU Caribbean Cup,St. John's,Antigua and Barbuda,True
1997-10-04,Saint Kitts and Nevis,Cuba,0,2,Gold Cup qualification,Basseterre,Saint Kitts and Nevis,False
1997-10-29,Saint Kitts and Nevis,Jamaica,1,1,Friendly,Basseterre,Saint Kitts and Nevis,False
1998-03-01,Barbados,Saint Kitts and Nevis,6,2,Friendly,Bridgetown,Barbados,False
1998-03-03,Saint Lucia,Saint Kitts and Nevis,2,0,Friendly,Castries,Saint Lucia,False
1998-03-05,Saint Vincent and the Grenadines,Saint Kitts and Nevis,4,2,Friendly,Kingstown,Saint Vincent and the Grenadines,False
1998-04-01,Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1998-04-03,Saint Kitts and Nevis,Dominica,1,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1998-04-05,Saint Kitts and Nevis,Guadeloupe,2,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1998-05-28,Saint Kitts and Nevis,Trinidad and Tobago,4,1,SKN Football Festival,Basseterre,Saint Kitts and Nevis,False
1999-04-17,Saint Vincent and the Grenadines,Saint Kitts and Nevis,3,4,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1999-04-18,Martinique,Saint Kitts and Nevis,2,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
1999-04-20,Saint Kitts and Nevis,Saint Lucia,4,3,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
1999-05-29,Saint Kitts and Nevis,Antigua and Barbuda,4,1,Friendly,Basseterre,Saint Kitts and Nevis,False
1999-06-06,Haiti,Saint Kitts and Nevis,2,0,CFU Caribbean Cup,Macoya,Trinidad and Tobago,True
1999-06-08,Cuba,Saint Kitts and Nevis,2,0,CFU Caribbean Cup,Macoya,Trinidad and Tobago,True
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0,1,Friendly,Basseterre,Saint Kitts and Nevis,False
2000-02-17,Barbados,Saint Kitts and Nevis,1,0,Friendly,Bridgetown,Barbados,False
