Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-01-09,Dominica,Saint Lucia,4,1,Friendly,Roseau,Dominica,False
1938-01-10,Dominica,Saint Lucia,1,3,Friendly,Roseau,Dominica,False
1938-01-11,Dominica,Saint Lucia,1,0,Friendly,Roseau,Dominica,False
1961-01-15,Saint Lucia,Dominica,4,1,Windward Islands Tournament,Castries,Saint Lucia,False
1961-01-17,Saint Lucia,Grenada,0,4,Windward Islands Tournament,Castries,Saint Lucia,False
1961-01-20,Saint Lucia,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-06,Saint Lucia,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-08,Saint Lucia,Dominica,4,2,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-10,Saint Lucia,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-12,Saint Lucia,Dominica,5,0,Windward Islands Tournament,Castries,Saint Lucia,False
1965-11-22,Saint Vincent and the Grenadines,Saint Lucia,1,2,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1965-11-23,Dominica,Saint Lucia,1,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1966-11-06,Grenada,Saint Lucia,7,1,Windward Islands Tournament,St. George's,Grenada,False
1966-11-09,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,St. George's,Grenada,True
1966-11-10,Dominica,Saint Lucia,5,3,Windward Islands Tournament,St. George's,Grenada,True
1967-11-27,Dominica,Saint Lucia,2,4,Windward Islands Tournament,Roseau,Dominica,False
1967-11-29,Saint Lucia,Saint Vincent and the Grenadines,4,3,Windward Islands Tournament,Roseau,Dominica,True
1967-12-02,Grenada,Saint Lucia,2,1,Windward Islands Tournament,Roseau,Dominica,True
1968-11-18,Saint Lucia,Dominica,4,0,Windward Islands Tournament,Castries,Saint Lucia,False
1969-11-11,Grenada,Saint Lucia,6,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1969-11-12,Saint Vincent and the Grenadines,Saint Lucia,2,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1969-11-14,Dominica,Saint Lucia,1,3,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1970-11-21,Dominica,Saint Lucia,1,1,Windward Islands Tournament,St. George's,Grenada,True
1970-11-25,Grenada,Saint Lucia,6,1,Windward Islands Tournament,St. George's,Grenada,False
1971-08-22,Saint Lucia,Saint Vincent and the Grenadines,1,5,Friendly,Castries,Saint Lucia,False
1971-11-27,Grenada,Saint Lucia,5,2,Windward Islands Tournament,Roseau,Dominica,True
1971-12-01,Dominica,Saint Lucia,2,2,Windward Islands Tournament,Roseau,Dominica,False
1972-11-26,Saint Lucia,Saint Vincent and the Grenadines,2,1,Windward Islands Tournament,Castries,Saint Lucia,False
1972-11-29,Saint Lucia,Grenada,1,0,Windward Islands Tournament,Castries,Saint Lucia,False
1972-12-02,Saint Lucia,Dominica,1,0,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-11,Dominica,Saint Lucia,1,0,Windward Islands Tournament,Roseau,Dominica,False
1973-11-15,Saint Lucia,Grenada,1,3,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-16,Saint Lucia,Dominica,2,1,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-23,Saint Vincent and the Grenadines,Saint Lucia,2,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1973-11-27,Saint Lucia,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-29,Grenada,Saint Lucia,2,0,Windward Islands Tournament,St. George's,Grenada,False
1974-12-02,Saint Lucia,Dominica,0,3,Windward Islands Tournament,Castries,Saint Lucia,False
1974-12-05,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Castries,Saint Lucia,False
1974-12-08,Saint Lucia,Grenada,1,2,Windward Islands Tournament,Castries,Saint Lucia,False
1984-12-02,Saint Lucia,Saint Vincent and the Grenadines,2,0,Windward Islands Tournament,Castries,Saint Lucia,False
1985-01-13,Barbados,Saint Lucia,4,1,Friendly,Bridgetown,Barbados,False
1985-11-17,Saint Lucia,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,St. George's,Grenada,True
1986-03-01,Saint Lucia,Norway,0,6,Friendly,Castries,Saint Lucia,False
1986-12-11,Saint Lucia,Saint Vincent and the Grenadines,5,1,Windward Islands Tournament,Castries,Saint Lucia,False
1987-01-27,Saint Lucia,Guyana,1,3,Friendly,Castries,Saint Lucia,False
