Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1961-01-16,Grenada,Saint Vincent and the Grenadines,3,6,Windward Islands Tournament,Castries,Saint Lucia,True
1961-01-18,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1961-01-20,Saint Lucia,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,False
1962-11-24,Grenada,Saint Vincent and the Grenadines,2,1,Windward Islands Tournament,St. George's,Grenada,False
1964-01-06,Saint Lucia,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-07,Dominica,Saint Vincent and the Grenadines,2,2,Windward Islands Tournament,Castries,Saint Lucia,True
1964-01-10,Saint Lucia,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,Castries,Saint Lucia,False
1964-01-11,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1965-11-22,Saint Vincent and the Grenadines,Saint Lucia,1,2,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1965-11-26,Saint Vincent and the Grenadines,Dominica,3,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1966-11-05,Dominica,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,St. George's,Grenada,True
1966-11-09,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,St. George's,Grenada,True
1966-11-12,Grenada,Saint Vincent and the Grenadines,1,3,Windward Islands Tournament,St. George's,Grenada,False
1967-11-26,Grenada,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Roseau,Dominica,True
1967-11-29,Saint Lucia,Saint Vincent and the Grenadines,4,3,Windward Islands Tournament,Roseau,Dominica,True
1967-12-03,Dominica,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Roseau,Dominica,False
1968-11-23,Dominica,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Castries,Saint Lucia,True
1969-11-09,Saint Vincent and the Grenadines,Dominica,1,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1969-11-12,Saint Vincent and the Grenadines,Saint Lucia,2,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1969-11-15,Saint Vincent and the Grenadines,Grenada,0,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1970-11-22,Grenada,Saint Vincent and the Grenadines,5,3,Windward Islands Tournament,St. George's,Grenada,False
1970-11-24,Dominica,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,St. George's,Grenada,True
1971-08-22,Saint Lucia,Saint Vincent and the Grenadines,1,5,Friendly,Castries,Saint Lucia,False
1971-11-28,Dominica,Saint Vincent and the Grenadines,3,0,Windward Islands Tournament,Roseau,Dominica,False
1971-11-30,Grenada,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Roseau,Dominica,True
1972-11-26,Saint Lucia,Saint Vincent and the Grenadines,2,1,Windward Islands Tournament,Castries,Saint Lucia,False
1972-11-28,Dominica,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Castries,Saint Lucia,True
1972-12-01,Grenada,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,Castries,Saint Lucia,True
1973-11-11,Saint Vincent and the Grenadines,Grenada,4,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1973-11-19,Saint Vincent and the Grenadines,Dominica,2,2,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1973-11-23,Saint Vincent and the Grenadines,Saint Lucia,2,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1973-11-27,Saint Lucia,Saint Vincent and the Grenadines,0,1,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-30,Dominica,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,Roseau,Dominica,False
1974-12-01,Grenada,Saint Vincent and the Grenadines,1,0,Windward Islands Tournament,Castries,Saint Lucia,True
1974-12-05,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Castries,Saint Lucia,False
1974-12-07,Dominica,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Castries,Saint Lucia,True
1979-05-05,Saint Vincent and the Grenadines,Martinique,2,2,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1979-06-09,Martinique,Saint Vincent and the Grenadines,0,1,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1979-10-22,Guadeloupe,Saint Vincent and the Grenadines,1,3,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1979-10-22,Saint Vincent and the Grenadines,Guadeloupe,0,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1979-11-12,Suriname,Saint Vincent and the Grenadines,2,3,CFU Caribbean Cup,Paramaribo,Suriname,False
1979-11-14,Haiti,Saint Vincent and the Grenadines,3,1,CFU Caribbean Cup,Paramaribo,Suriname,True
1981-07-05,Saint Vincent and the Grenadines,Martinique,2,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1981-07-19,Martinique,Saint Vincent and the Grenadines,1,2,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1981-08-02,Guadeloupe,Saint Vincent and the Grenadines,3,0,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1981-08-16,Saint Vincent and the Grenadines,Guadeloupe,3,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1981-09-13,Saint Vincent and the Grenadines,Suriname,2,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1981-09-27,Suriname,Saint Vincent and the Grenadines,3,3,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1981-10-19,Saint Vincent and the Grenadines,Trinidad and Tobago,0,2,CFU Caribbean Cup,San Juan,Puerto Rico,True
1981-10-21,Puerto Rico,Saint Vincent and the Grenadines,0,2,CFU Caribbean Cup,San Juan,Puerto Rico,False
1981-10-24,Guadeloupe,Saint Vincent and the Grenadines,1,3,CFU Caribbean Cup,San Juan,Puerto Rico,True
1983-02-20,Saint Vincent and the Grenadines,Martinique,1,3,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1984-12-02,Saint Lucia,Saint Vincent and the Grenadines,2,0,Windward Islands Tournament,Castries,Saint Lucia,False
1985-02-24,Saint Vincent and the Grenadines,Trinidad and Tobago,1,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1985-03-08,Saint Vincent and the Grenadines,Canada,1,2,Friendly,Kingstown,Saint Vincent and the Grenadines,False
1985-03-24,Saint Vincent and the Grenadines,Grenada,3,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1985-11-17,Saint Lucia,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,St. George's,Grenada,True
1985-11-18,Dominica,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,St. George's,Grenada,True
1986-12-11,Saint Lucia,Saint Vincent and the Grenadines,5,1,Windward Islands Tournament,Castries,Saint Lucia,False
1987-01-04,Barbados,Saint Vincent and the Grenadines,3,0,Friendly,Bridgetown,Barbados,False
1989-05-21,Saint Vincent and the Grenadines,Curaçao,3,2,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1989-07-02,Grenada,Saint Vincent and the Grenadines,2,0,CFU Caribbean Cup,Bridgetown,Barbados,True
1989-07-04,Curaçao,Saint Vincent and the Grenadines,1,1,CFU Caribbean Cup,Bridgetown,Barbados,True
1990-04-22,Saint Vincent and the Grenadines,Dominica,2,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1990-05-30,French Guiana,Saint Vincent and the Grenadines,2,2,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1992-03-04,Saint Vincent and the Grenadines,Curaçao,2,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
1992-03-22,Saint Lucia,Saint Vincent and the Grenadines,1,0,FIFA World Cup qualification,Castries,Saint Lucia,False
1992-03-29,Saint Vincent and the Grenadines,Saint Lucia,3,1,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-08-02,Suriname,Saint Vincent and the Grenadines,0,0,FIFA World Cup qualification,Paramaribo,Suriname,False
1992-08-30,Saint Vincent and the Grenadines,Suriname,2,1,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-09-27,Saint Vincent and the Grenadines,Jamaica,0,1,Friendly,Kingstown,Saint Vincent and the Grenadines,False
1992-10-04,Jamaica,Saint Vincent and the Grenadines,3,3,Friendly,Kingston,Jamaica,False
1992-11-08,Saint Vincent and the Grenadines,Mexico,0,4,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-11-15,Saint Vincent and the Grenadines,Costa Rica,0,1,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-11-22,Saint Vincent and the Grenadines,Honduras,0,4,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-11-28,Honduras,Saint Vincent and the Grenadines,4,0,FIFA World Cup qualification,Tegucigalpa,Honduras,False
1992-12-06,Mexico,Saint Vincent and the Grenadines,11,0,FIFA World Cup qualification,Mexico City,Mexico,False
1992-12-13,Costa Rica,Saint Vincent and the Grenadines,5,0,FIFA World Cup qualification,San José,Costa Rica,False
1993-04-25,Saint Vincent and the Grenadines,Saint Lucia,0,1,CFU Caribbean Cup qualification,St. George's,Grenada,True
