Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1990-11-14,San Marino,Switzerland,0,4,UEFA Euro qualification,Serravalle,San Marino,False
1990-12-05,Romania,San Marino,6,0,UEFA Euro qualification,Bucharest,Romania,False
1991-03-27,San Marino,Romania,1,3,UEFA Euro qualification,Serravalle,San Marino,False
1991-05-01,San Marino,Scotland,0,2,UEFA Euro qualification,Serravalle,San Marino,False
1991-05-22,San Marino,Bulgaria,0,3,UEFA Euro qualification,Serravalle,San Marino,False
1991-06-05,Switzerland,San Marino,7,0,UEFA Euro qualification,St. Gallen,Switzerland,False
1991-10-16,Bulgaria,San Marino,4,0,UEFA Euro qualification,Sofia,Bulgaria,False
1991-11-13,Scotland,San Marino,4,0,UEFA Euro qualification,Glasgow,Scotland,False
1992-02-19,Italy,San Marino,4,0,Friendly,Cesena,Italy,False
1992-09-09,Norway,San Marino,10,0,FIFA World Cup qualification,Oslo,Norway,False
1992-10-07,San Marino,Norway,0,2,FIFA World Cup qualification,Serravalle,San Marino,False
1992-10-28,Turkey,San Marino,4,1,FIFA World Cup qualification,Ankara,Turkey,False
1993-02-17,England,San Marino,6,0,FIFA World Cup qualification,London,England,False
1993-03-10,San Marino,Turkey,0,0,FIFA World Cup qualification,Serravalle,San Marino,False
1993-03-24,Netherlands,San Marino,6,0,FIFA World Cup qualification,Utrecht,Netherlands,False
1993-04-28,Poland,San Marino,1,0,FIFA World Cup qualification,Łódź,Poland,False
1993-05-19,San Marino,Poland,0,3,FIFA World Cup qualification,Serravalle,San Marino,False
1993-09-22,San Marino,Netherlands,0,7,FIFA World Cup qualification,Bologna,Italy,True
1993-11-17,San Marino,England,1,7,FIFA World Cup qualification,Bologna,Italy,True
1994-10-12,Russia,San Marino,4,0,UEFA Euro qualification,Moscow,Russia,False
1994-11-16,Greece,San Marino,2,0,UEFA Euro qualification,Athens,Greece,False
1994-12-14,Finland,San Marino,4,1,UEFA Euro qualification,Helsinki,Finland,False
1995-03-29,San Marino,Finland,0,2,UEFA Euro qualification,Serravalle,San Marino,False
1995-04-26,San Marino,Scotland,0,2,UEFA Euro qualification,Serravalle,San Marino,False
1995-05-25,Faroe Islands,San Marino,3,0,UEFA Euro qualification,Toftir,Faroe Islands,False
1995-06-07,San Marino,Russia,0,7,UEFA Euro qualification,Serravalle,San Marino,False
1995-09-06,San Marino,Greece,0,4,UEFA Euro qualification,Serravalle,San Marino,False
1995-10-11,San Marino,Faroe Islands,1,3,UEFA Euro qualification,Serravalle,San Marino,False
1995-11-15,Scotland,San Marino,5,0,UEFA Euro qualification,Glasgow,Scotland,False
1996-06-02,San Marino,Wales,0,5,FIFA World Cup qualification,Serravalle,San Marino,False
1996-08-31,Wales,San Marino,6,0,FIFA World Cup qualification,Cardiff,Wales,False
1996-10-09,San Marino,Belgium,0,3,FIFA World Cup qualification,Serravalle,San Marino,False
1996-11-10,Turkey,San Marino,7,0,FIFA World Cup qualification,Istanbul,Turkey,False
1997-03-29,Netherlands,San Marino,4,0,FIFA World Cup qualification,Amsterdam,Netherlands,False
1997-04-30,San Marino,Netherlands,0,6,FIFA World Cup qualification,Serravalle,San Marino,False
1997-06-07,Belgium,San Marino,6,0,FIFA World Cup qualification,Brussels,Belgium,False
1997-09-10,San Marino,Turkey,0,5,FIFA World Cup qualification,Serravalle,San Marino,False
1998-10-10,San Marino,Israel,0,5,UEFA Euro qualification,Serravalle,San Marino,False
1998-10-14,San Marino,Austria,1,4,UEFA Euro qualification,Serravalle,San Marino,False
1998-11-18,San Marino,Cyprus,0,1,UEFA Euro qualification,Serravalle,San Marino,False
1999-02-10,Cyprus,San Marino,4,0,UEFA Euro qualification,Limassol,Cyprus,False
1999-03-31,San Marino,Spain,0,6,UEFA Euro qualification,Serravalle,San Marino,False
1999-04-28,Austria,San Marino,7,0,UEFA Euro qualification,Graz,Austria,False
1999-06-05,Spain,San Marino,9,0,UEFA Euro qualification,Vila-real,Spain,False
1999-09-08,Israel,San Marino,8,0,UEFA Euro qualification,Ramat Gan,Israel,False
2000-04-26,San Marino,Moldova,0,1,Friendly,Serravalle,San Marino,False
2000-10-07,San Marino,Scotland,0,2,FIFA World Cup qualification,Serravalle,San Marino,False
