Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-11-18,Egypt,Saudi Arabia,7,0,Friendly,Jakarta,Indonesia,True
1967-12-10,Saudi Arabia,Tunisia,4,0,Friendly,Riyadh,Saudi Arabia,False
1969-01-17,Saudi Arabia,Turkey,1,2,Friendly,Riyadh,Saudi Arabia,False
1970-03-28,Saudi Arabia,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,True
1970-03-30,Bahrain,Saudi Arabia,0,0,Gulf Cup,Isa Town,Bahrain,False
1970-04-02,Saudi Arabia,Qatar,1,1,Gulf Cup,Isa Town,Bahrain,True
1972-03-16,Saudi Arabia,Kuwait,2,2,Gulf Cup,Riyadh,Saudi Arabia,False
1972-03-19,Saudi Arabia,United Arab Emirates,4,0,Gulf Cup,Riyadh,Saudi Arabia,False
1972-03-24,Saudi Arabia,Qatar,4,0,Gulf Cup,Riyadh,Saudi Arabia,False
1972-03-28,Saudi Arabia,Bahrain,2,1,Gulf Cup,Riyadh,Saudi Arabia,False
1974-03-06,Saudi Arabia,Morocco,0,0,Friendly,Riyadh,Saudi Arabia,False
1974-03-16,Qatar,Saudi Arabia,0,2,Gulf Cup,Kuwait City,Kuwait,True
1974-03-21,Bahrain,Saudi Arabia,1,4,Gulf Cup,Kuwait City,Kuwait,True
1974-03-23,Saudi Arabia,United Arab Emirates,2,0,Gulf Cup,Kuwait City,Kuwait,True
1974-03-26,Qatar,Saudi Arabia,1,3,Gulf Cup,Kuwait City,Kuwait,True
1974-03-29,Kuwait,Saudi Arabia,4,0,Gulf Cup,Kuwait City,Kuwait,False
1975-04-02,Saudi Arabia,Afghanistan,2,0,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-04,Saudi Arabia,Qatar,2,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-06,Iraq,Saudi Arabia,1,1,AFC Asian Cup qualification,Baghdad,Iraq,False
1975-04-10,Saudi Arabia,Afghanistan,6,0,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-04-12,Iraq,Saudi Arabia,2,1,AFC Asian Cup qualification,Baghdad,Iraq,False
1975-04-14,Saudi Arabia,Qatar,0,1,AFC Asian Cup qualification,Baghdad,Iraq,True
1975-12-21,Saudi Arabia,Yemen DPR,0,1,Palestine Cup,Tunis,Tunisia,True
1975-12-23,Egypt,Saudi Arabia,2,1,Palestine Cup,Tunis,Tunisia,True
