Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False
1873-03-08,England,Scotland,4,2,Friendly,London,England,False
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False
1875-03-06,England,Scotland,2,2,Friendly,London,England,False
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False
1877-03-03,England,Scotland,1,3,Friendly,London,England,False
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False
1879-04-05,England,Scotland,5,4,Friendly,London,England,False
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False
1881-03-12,England,Scotland,1,6,Friendly,London,England,False
1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False
1882-03-25,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False
1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,False
1883-03-12,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
1884-01-26,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Ireland,False
1884-03-15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False
1884-03-29,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False
1885-03-14,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False
1885-03-21,England,Scotland,1,1,British Home Championship,London,England,False
1885-03-23,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False
1886-04-10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False
1887-02-19,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,False
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,False
1887-03-21,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,False
1888-03-10,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,False
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,False
1888-03-24,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Ireland,False
1888-09-19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False
1889-03-09,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,False
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,False
1889-04-15,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,False
1890-03-22,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,False
1890-03-29,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False
1891-03-21,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,False
1891-03-28,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,False
1891-04-04,England,Scotland,2,1,British Home Championship,Blackburn,England,False
