Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2004-05-15,Åland Islands,Sealand,2,2,Friendly,Åland,Finland,False
2012-05-05,Sealand,Chagos Islands,1,3,Friendly,Godalming,England,True
2012-08-25,Alderney,Sealand,1,1,Friendly,Saint Anne,Alderney,False
2013-03-08,Sealand,Alderney,2,1,Friendly,Godalming,England,True
2013-07-04,Sealand,Tamil Eelam,3,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-05,Sealand,Occitania,0,8,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-07,Sealand,Alderney,2,2,Tynwald Hill Tournament,St John's,Isle of Man,True
2014-02-23,Sealand,Chagos Islands,4,2,Friendly,Godalming,England,True
2014-05-05,Sealand,Chagos Islands,1,1,Friendly,Godalming,England,True
2014-05-17,Somaliland,Sealand,2,2,Friendly,London,England,True
2014-08-09,Raetia,Sealand,1,6,Friendly,Chur,Switzerland,False
2014-08-10,Seborga,Sealand,2,3,Friendly,Ospedaletti,Italy,False
