Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1961-12-05,Senegal,Gambia,2,3,Friendly,Dakar,Senegal,False
1961-12-25,Senegal,Gabon,3,2,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-27,Senegal,Cameroon,4,0,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-29,Ivory Coast,Senegal,1,1,African Friendship Games,Abidjan,Ivory Coast,False
1961-12-31,Benin,Senegal,4,3,African Friendship Games,Abidjan,Ivory Coast,True
1962-11-30,Senegal,Ivory Coast,1,1,Friendly,Dakar,Senegal,False
1963-02-24,Mali,Senegal,3,1,Friendly,Kumasi,Ghana,True
1963-02-27,Nigeria,Senegal,4,0,Friendly,Kumasi,Ghana,True
1963-04-12,Senegal,Cameroon,1,0,African Friendship Games,Dakar,Senegal,False
1963-04-14,Senegal,Nigeria,5,1,African Friendship Games,Dakar,Senegal,False
1963-04-16,Senegal,Niger,3,1,African Friendship Games,Dakar,Senegal,False
1963-04-18,Senegal,France,2,0,African Friendship Games,Dakar,Senegal,False
1963-04-20,Senegal,Tunisia,1,1,African Friendship Games,Dakar,Senegal,False
1963-11-21,Senegal,Ethiopia,1,2,Friendly,Dakar,Senegal,False
1963-12-15,Senegal,Guinea,1,1,Friendly,Dakar,Senegal,False
1965-02-25,Senegal,Guinea,2,0,African Cup of Nations qualification,Dakar,Senegal,False
1965-03-31,Guinea,Senegal,3,1,African Cup of Nations qualification,Conakry,Guinea,False
1965-04-18,Mali,Senegal,0,2,African Cup of Nations qualification,Bamako,Mali,False
1965-05-05,Senegal,Mali,3,1,African Cup of Nations qualification,Dakar,Senegal,False
1965-11-14,Tunisia,Senegal,0,0,African Cup of Nations,Tunis,Tunisia,False
1965-11-19,Ethiopia,Senegal,1,5,African Cup of Nations,Tunis,Tunisia,True
1965-11-21,Ivory Coast,Senegal,1,0,African Cup of Nations,Tunis,Tunisia,True
1966-03-06,Guinea,Senegal,5,0,Friendly,Conakry,Guinea,False
1967-02-25,Guinea,Senegal,3,0,African Cup of Nations qualification,Conakry,Guinea,False
1967-03-19,Senegal,Guinea,4,1,African Cup of Nations qualification,Dakar,Senegal,False
1967-04-09,Liberia,Senegal,1,1,African Cup of Nations qualification,Monrovia,Liberia,False
1967-07-02,Senegal,Liberia,4,1,African Cup of Nations qualification,Dakar,Senegal,False
1967-11-22,Senegal,Guinea,2,1,African Cup of Nations qualification,Dakar,Senegal,False
1968-01-12,Ghana,Senegal,2,2,African Cup of Nations,Asmara,Ethiopia,True
1968-01-14,Congo,Senegal,1,2,African Cup of Nations,Asmara,Ethiopia,True
1968-01-16,DR Congo,Senegal,2,1,African Cup of Nations,Asmara,Ethiopia,True
1968-11-03,Morocco,Senegal,1,0,FIFA World Cup qualification,Casablanca,Morocco,False
1968-12-01,Ghana,Senegal,2,0,Friendly,Accra,Ghana,False
1969-01-05,Senegal,Morocco,2,1,FIFA World Cup qualification,Dakar,Senegal,False
1969-01-22,Congo,Senegal,1,0,Friendly,Brazzaville,Congo,False
1969-01-24,Senegal,Cameroon,3,2,Friendly,Dakar,Senegal,False
1969-01-26,DR Congo,Senegal,4,0,Friendly,Kinshasa,Congo-Kinshasa,False
1969-02-13,Morocco,Senegal,2,0,FIFA World Cup qualification,Las Palmas,Spain,True
1969-10-12,Guinea,Senegal,4,3,African Cup of Nations qualification,Conakry,Guinea,False
1969-10-26,Senegal,Guinea,1,1,African Cup of Nations qualification,Dakar,Senegal,False
1970-05-14,Guinea,Senegal,3,1,Friendly,Conakry,Guinea,False
1970-05-17,Guinea,Senegal,4,0,Friendly,Conakry,Guinea,False
1970-10-11,Sierra Leone,Senegal,1,0,Friendly,Freetown,Sierra Leone,False
1970-10-18,Ivory Coast,Senegal,0,1,Friendly,Abidjan,Ivory Coast,False
1970-10-25,Togo,Senegal,3,0,Friendly,Lomé,Togo,False
1970-11-15,Guinea,Senegal,1,0,Friendly,Conakry,Guinea,False
1970-12-19,Senegal,Malawi,4,1,Friendly,Dakar,Senegal,False
