Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1950-02-26,Croatia,Serbia,4,1,Friendly,Zagreb,Yugoslavia,False
1994-12-23,Brazil,Serbia,2,0,Friendly,Porto Alegre,Brazil,False
1994-12-27,Argentina,Serbia,1,0,Friendly,Buenos Aires,Argentina,False
1995-02-04,South Korea,Serbia,0,1,Lunar New Year Cup,So Kon Po,Hong Kong,True
1995-03-31,Serbia,Uruguay,1,0,Friendly,Belgrade,Yugoslavia,False
1995-05-31,Serbia,Russia,1,2,Friendly,Belgrade,Yugoslavia,False
1995-09-20,Greece,Serbia,0,2,Friendly,Salonica,Greece,False
1995-11-12,El Salvador,Serbia,1,4,Friendly,San Salvador,El Salvador,False
1995-11-16,Mexico,Serbia,1,4,Friendly,Monterrey,Mexico,False
1996-03-27,Serbia,Romania,1,0,Friendly,Belgrade,Yugoslavia,False
1996-04-24,Serbia,Faroe Islands,3,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1996-05-23,Mexico,Serbia,0,0,Kirin Cup,Shizuoka,Japan,True
1996-05-26,Japan,Serbia,1,0,Kirin Cup,Tokyo,Japan,False
1996-06-02,Serbia,Malta,6,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1996-10-06,Faroe Islands,Serbia,1,8,FIFA World Cup qualification,Toftir,Faroe Islands,False
1996-11-10,Serbia,Czech Republic,1,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1996-12-14,Spain,Serbia,2,0,FIFA World Cup qualification,Valencia,Spain,False
1996-12-28,Argentina,Serbia,2,3,Friendly,Mar del Plata,Argentina,False
1997-02-07,Russia,Serbia,1,1,Lunar New Year Cup,So Kon Po,Hong Kong,True
1997-03-12,Serbia,Russia,0,0,Friendly,Belgrade,Yugoslavia,False
1997-04-02,Czech Republic,Serbia,1,2,FIFA World Cup qualification,Prague,Czech Republic,False
1997-04-30,Serbia,Spain,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1997-06-08,Serbia,Slovakia,2,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1997-06-12,Ghana,Serbia,1,3,Korea Cup,Seoul,South Korea,True
1997-06-14,Egypt,Serbia,0,0,Korea Cup,Suwon,South Korea,True
1997-06-16,South Korea,Serbia,1,1,Korea Cup,Seoul,South Korea,False
1997-08-20,Russia,Serbia,0,1,Friendly,Saint Petersburg,Russia,False
1997-09-10,Slovakia,Serbia,1,1,FIFA World Cup qualification,Bratislava,Slovakia,False
1997-10-11,Malta,Serbia,0,5,FIFA World Cup qualification,Attard,Malta,False
1997-10-29,Hungary,Serbia,1,7,FIFA World Cup qualification,Budapest,Hungary,False
1997-11-15,Serbia,Hungary,5,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
1998-01-28,Tunisia,Serbia,0,3,Friendly,Tunis,Tunisia,False
1998-02-24,Argentina,Serbia,3,1,Friendly,Mar del Plata,Argentina,False
1998-03-25,Colombia,Serbia,0,0,Friendly,Bogotá,Colombia,False
1998-04-22,Serbia,South Korea,3,1,Friendly,Belgrade,Yugoslavia,False
1998-05-29,Serbia,Nigeria,3,0,Friendly,Belgrade,Yugoslavia,False
1998-06-03,Serbia,Japan,1,0,Friendly,Lausanne,Switzerland,True
1998-06-06,Switzerland,Serbia,1,1,Friendly,Basel,Switzerland,False
1998-06-14,Serbia,Iran,1,0,FIFA World Cup,Saint-Étienne,France,True
1998-06-21,Germany,Serbia,2,2,FIFA World Cup,Lens,France,True
1998-06-25,United States,Serbia,0,1,FIFA World Cup,Nantes,France,True
1998-06-29,Netherlands,Serbia,2,1,FIFA World Cup,Toulouse,France,True
1998-09-02,Serbia,Switzerland,1,1,Friendly,Niš,Yugoslavia,False
1998-09-23,Brazil,Serbia,1,1,Friendly,São Luís,Brazil,False
1998-11-18,Serbia,Republic of Ireland,1,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
1998-12-23,Israel,Serbia,2,0,Friendly,Ramat Gan,Israel,False
1999-02-10,Malta,Serbia,0,3,UEFA Euro qualification,Attard,Malta,False
1999-06-08,Serbia,Malta,4,1,UEFA Euro qualification,Salonica,Greece,True
1999-08-18,Serbia,Croatia,0,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
1999-09-01,Republic of Ireland,Serbia,2,1,UEFA Euro qualification,Dublin,Republic of Ireland,False
1999-09-05,Serbia,North Macedonia,3,1,UEFA Euro qualification,Belgrade,Yugoslavia,False
1999-09-08,North Macedonia,Serbia,2,4,UEFA Euro qualification,Skopje,North Macedonia,False
1999-10-09,Croatia,Serbia,2,2,UEFA Euro qualification,Zagreb,Croatia,False
2000-02-23,North Macedonia,Serbia,1,2,Friendly,Skopje,North Macedonia,False
2000-03-28,Serbia,China PR,1,0,Friendly,Belgrade,Yugoslavia,False
2000-05-25,China PR,Serbia,0,2,Friendly,Beijing,China PR,False
2000-05-28,South Korea,Serbia,0,0,Friendly,Seoul,South Korea,False
2000-05-30,South Korea,Serbia,0,0,Friendly,Seongnam,South Korea,False
2000-06-13,Serbia,Slovenia,3,3,UEFA Euro,Charleroi,Belgium,True
2000-06-18,Norway,Serbia,0,1,UEFA Euro,Liège,Belgium,True
2000-06-21,Serbia,Spain,3,4,UEFA Euro,Bruges,Belgium,True
2000-06-25,Netherlands,Serbia,6,1,UEFA Euro,Rotterdam,Netherlands,False
2000-08-16,Northern Ireland,Serbia,1,2,Friendly,Belfast,Northern Ireland,False
2000-09-03,Luxembourg,Serbia,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
2000-11-15,Romania,Serbia,2,1,Friendly,Bucharest,Romania,False
2000-12-13,Greece,Serbia,1,1,Friendly,Xánthi,Greece,False
2001-01-14,Serbia,Bosnia and Herzegovina,1,1,Millennium Cup,Kochi,India,True
2001-01-16,Bangladesh,Serbia,1,4,Millennium Cup,Kochi,India,True
2001-01-20,Serbia,Romania,2,0,Millennium Cup,Margao,India,True
2001-01-23,Serbia,Japan,1,0,Millennium Cup,Calcutta,India,True
2001-01-25,Bosnia and Herzegovina,Serbia,0,2,Millennium Cup,Calcutta,India,True
2001-03-24,Serbia,Switzerland,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2001-03-28,Slovenia,Serbia,1,1,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-04-25,Serbia,Russia,0,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2001-06-02,Russia,Serbia,1,1,FIFA World Cup qualification,Moscow,Russia,False
2001-06-06,Faroe Islands,Serbia,0,6,FIFA World Cup qualification,Toftir,Faroe Islands,False
2001-06-28,Paraguay,Serbia,2,0,Kirin Cup,Tokyo,Japan,True
2001-07-04,Japan,Serbia,1,0,Kirin Cup,Ōita,Japan,False
2001-08-15,Serbia,Faroe Islands,2,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2001-09-01,Switzerland,Serbia,1,2,FIFA World Cup qualification,Basel,Switzerland,False
2001-09-05,Serbia,Slovenia,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2001-10-06,Serbia,Luxembourg,6,2,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2002-02-13,Mexico,Serbia,1,2,Friendly,Phoenix,United States,True
2002-03-27,Brazil,Serbia,1,0,Friendly,Fortaleza,Brazil,False
2002-04-17,Serbia,Lithuania,4,1,Friendly,Smederevo,Yugoslavia,False
2002-05-08,Ecuador,Serbia,1,0,Friendly,East Rutherford,United States,True
2002-05-17,Ukraine,Serbia,2,0,Friendly,Moscow,Russia,True
2002-05-19,Russia,Serbia,1,1,Friendly,Moscow,Russia,False
2002-08-21,Bosnia and Herzegovina,Serbia,0,2,Friendly,Sarajevo,Bosnia and Herzegovina,False
2002-09-06,Czech Republic,Serbia,5,0,Friendly,Prague,Czech Republic,False
2002-10-12,Italy,Serbia,1,1,UEFA Euro qualification,Naples,Italy,False
2002-10-16,Serbia,Finland,2,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
2002-11-20,France,Serbia,3,0,Friendly,Saint-Denis,France,False
2003-02-12,Serbia,Azerbaijan,2,2,UEFA Euro qualification,Podgorica,Serbia and Montenegro,True
2003-03-27,Serbia,Bulgaria,1,2,Friendly,Kruševac,Serbia and Montenegro,False
2003-04-30,Germany,Serbia,1,0,Friendly,Bremen,Germany,False
2003-06-03,England,Serbia,2,1,Friendly,Leicester,England,False
2003-06-07,Finland,Serbia,3,0,UEFA Euro qualification,Helsinki,Finland,False
2003-06-11,Azerbaijan,Serbia,2,1,UEFA Euro qualification,Baku,Azerbaijan,False
2003-08-20,Serbia,Wales,1,0,UEFA Euro qualification,Belgrade,Serbia and Montenegro,False
2003-09-10,Serbia,Italy,1,1,UEFA Euro qualification,Belgrade,Serbia and Montenegro,False
2003-10-11,Wales,Serbia,2,3,UEFA Euro qualification,Cardiff,Wales,False
2003-11-16,Poland,Serbia,4,3,Friendly,Płock,Poland,False
2004-03-31,Serbia,Norway,0,1,Friendly,Belgrade,Serbia and Montenegro,False
2004-04-28,Northern Ireland,Serbia,1,1,Friendly,Belfast,Northern Ireland,False
2004-07-11,Serbia,Slovakia,2,0,Kirin Cup,Fukuoka,Japan,True
2004-07-13,Japan,Serbia,1,0,Kirin Cup,Yokohama,Japan,False
2004-08-18,Slovenia,Serbia,1,1,Friendly,Ljubljana,Slovenia,False
2004-09-04,San Marino,Serbia,0,3,FIFA World Cup qualification,Serravalle,San Marino,False
2004-10-09,Bosnia and Herzegovina,Serbia,0,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
2004-10-13,Serbia,San Marino,5,0,FIFA World Cup qualification,Belgrade,Serbia and Montenegro,True
2004-11-17,Belgium,Serbia,0,2,FIFA World Cup qualification,Brussels,Belgium,False
2005-02-09,Bulgaria,Serbia,0,0,Friendly,Sofia,Bulgaria,False
2005-03-30,Serbia,Spain,0,0,FIFA World Cup qualification,Belgrade,Serbia and Montenegro,True
2005-06-04,Serbia,Belgium,0,0,FIFA World Cup qualification,Belgrade,Serbia and Montenegro,True
