Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1974-03-13,Réunion,Seychelles,2,0,Friendly,Saint-Pierre,Réunion,False
1974-12-12,Kenya,Seychelles,2,3,Friendly,Nairobi,Kenya,False
1976-07-01,Seychelles,Réunion,1,4,Friendly,Victoria,Seychelles,False
1976-07-03,Seychelles,Kenya,1,4,Friendly,Mahé,Seychelles,False
1977-09-21,Mauritius,Seychelles,2,1,Friendly,Saint-Pierre,Réunion,True
1977-09-25,Réunion,Seychelles,1,0,Friendly,Saint-Pierre,Réunion,False
1978-05-13,Réunion,Seychelles,4,1,Friendly,Saint-Pierre,Réunion,False
1978-05-15,Mauritius,Seychelles,2,0,Friendly,Saint-Pierre,Réunion,True
1978-09-17,Seychelles,Réunion,1,0,Friendly,Victoria,Seychelles,False
1979-08-26,Réunion,Seychelles,3,0,Indian Ocean Island Games,Réunion,Réunion,False
1979-08-27,Seychelles,Maldives,9,0,Indian Ocean Island Games,Réunion,Réunion,True
1979-08-31,Seychelles,Mauritius,1,1,Indian Ocean Island Games,Réunion,Réunion,True
1979-09-01,Réunion,Seychelles,2,1,Indian Ocean Island Games,Réunion,Réunion,False
1983-06-19,Réunion,Seychelles,2,1,Friendly,Saint-Pierre,Réunion,False
1983-06-23,Réunion,Seychelles,0,0,Friendly,Saint-Pierre,Réunion,False
1983-07-03,Seychelles,Mauritius,1,2,Friendly,Victoria,Seychelles,False
1985-08-27,Mauritius,Seychelles,3,1,Indian Ocean Island Games,Mauritius,Mauritius,False
1985-08-28,Madagascar,Seychelles,1,0,Indian Ocean Island Games,Mauritius,Mauritius,True
1987-06-14,Congo,Seychelles,1,1,Friendly,Antananarivo,Madagascar,True
1987-06-18,Madagascar,Seychelles,2,0,Friendly,Antananarivo,Madagascar,False
1988-06-09,Seychelles,Tanzania,1,1,Friendly,Victoria,Seychelles,False
1988-10-02,Mauritius,Seychelles,3,0,African Cup of Nations qualification,Curepipe,Mauritius,False
1988-10-16,Seychelles,Mauritius,1,0,African Cup of Nations qualification,Victoria,Seychelles,False
1990-08-25,Mauritius,Seychelles,2,0,Indian Ocean Island Games,Madagascar,Madagascar,True
1990-08-27,Madagascar,Seychelles,6,0,Indian Ocean Island Games,Madagascar,Madagascar,False
1990-08-29,Seychelles,Comoros,3,1,Indian Ocean Island Games,Madagascar,Madagascar,True
1992-11-18,Kenya,Seychelles,2,1,CECAFA Cup,Arusha,Tanzania,True
1992-11-21,Seychelles,Uganda,2,5,CECAFA Cup,Arusha,Tanzania,True
1993-08-22,Seychelles,Réunion,0,2,Indian Ocean Island Games,Seychelles,Seychelles,False
1993-08-24,Seychelles,Réunion,0,2,Indian Ocean Island Games,Seychelles,Seychelles,False
1993-08-26,Seychelles,Madagascar,1,2,Indian Ocean Island Games,Seychelles,Seychelles,False
1993-08-28,Seychelles,Mauritius,2,6,Indian Ocean Island Games,Seychelles,Seychelles,False
1994-12-01,Uganda,Seychelles,2,0,CECAFA Cup,Nairobi,Kenya,True
1996-08-11,Mauritius,Seychelles,1,0,African Cup of Nations qualification,Port Louis,Mauritius,False
1996-08-24,Seychelles,Mauritius,1,1,African Cup of Nations qualification,Victoria,Seychelles,False
1998-06-06,Kenya,Seychelles,1,1,Friendly,Nairobi,Kenya,False
1998-06-13,Seychelles,Kenya,0,1,Friendly,Victoria,Seychelles,False
1998-08-09,Seychelles,Comoros,3,0,Indian Ocean Island Games,Réunion,Réunion,True
1998-08-11,Madagascar,Seychelles,5,2,Indian Ocean Island Games,Réunion,Réunion,True
1998-08-13,Réunion,Seychelles,2,0,Indian Ocean Island Games,Réunion,Réunion,False
1998-08-15,Mauritius,Seychelles,3,4,Indian Ocean Island Games,Réunion,Réunion,True
2000-04-08,Seychelles,Namibia,1,1,FIFA World Cup qualification,Victoria,Seychelles,False
2000-04-22,Namibia,Seychelles,3,0,FIFA World Cup qualification,Windhoek,Namibia,False
2000-07-01,Seychelles,Zimbabwe,0,1,African Cup of Nations qualification,Victoria,Seychelles,False
2000-07-16,Zimbabwe,Seychelles,5,0,African Cup of Nations qualification,Bulawayo,Zimbabwe,False
2002-09-08,Seychelles,Eritrea,1,0,African Cup of Nations qualification,Victoria,Seychelles,False
2002-09-26,Mauritius,Seychelles,1,0,Friendly,Port Louis,Mauritius,False
2002-10-13,Mali,Seychelles,3,0,African Cup of Nations qualification,Bamako,Mali,False
2003-03-30,Zimbabwe,Seychelles,3,1,African Cup of Nations qualification,Harare,Zimbabwe,False
2003-06-07,Seychelles,Zimbabwe,2,1,African Cup of Nations qualification,Victoria,Seychelles,False
2003-06-21,Eritrea,Seychelles,1,0,African Cup of Nations qualification,Asmara,Eritrea,False
2003-07-05,Seychelles,Mali,0,2,African Cup of Nations qualification,Victoria,Seychelles,False
2003-08-28,Seychelles,Madagascar,1,1,Indian Ocean Island Games,Curepipe,Mauritius,True
2003-09-02,Mauritius,Seychelles,0,0,Indian Ocean Island Games,Curepipe,Mauritius,False
2003-09-04,Réunion,Seychelles,1,0,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2003-09-06,Seychelles,Comoros,2,0,Indian Ocean Island Games,Curepipe,Mauritius,True
2003-10-11,Seychelles,Zambia,0,4,FIFA World Cup qualification,Victoria,Seychelles,False
2003-11-15,Zambia,Seychelles,1,1,FIFA World Cup qualification,Lusaka,Zambia,False
2005-02-26,Seychelles,South Africa,0,3,COSAFA Cup,Curepipe,Mauritius,True
2006-06-28,Seychelles,Mauritius,2,1,Friendly,Victoria,Seychelles,False
2006-06-30,Seychelles,Tanzania,2,1,Friendly,Victoria,Seychelles,False
2006-07-22,Namibia,Seychelles,1,1,COSAFA Cup,Windhoek,Namibia,False
2006-07-23,Seychelles,Zambia,0,2,COSAFA Cup,Windhoek,Namibia,True
2006-09-03,Sudan,Seychelles,3,0,African Cup of Nations qualification,Khartoum,Sudan,False
2006-10-07,Seychelles,Mauritius,2,1,African Cup of Nations qualification,Victoria,Seychelles,False
2007-03-24,Seychelles,Tunisia,0,3,African Cup of Nations qualification,Victoria,Seychelles,False
2007-04-24,Seychelles,Réunion,2,0,Friendly,Victoria,Seychelles,False
2007-04-28,Mozambique,Seychelles,2,0,COSAFA Cup,Maputo,Mozambique,False
2007-04-29,Madagascar,Seychelles,5,0,COSAFA Cup,Maputo,Mozambique,True
2007-06-02,Tunisia,Seychelles,4,0,African Cup of Nations qualification,Radès,Tunisia,False
2007-06-16,Seychelles,Sudan,0,2,African Cup of Nations qualification,Victoria,Seychelles,False
2007-08-10,Seychelles,Mayotte,2,1,Indian Ocean Island Games,Madagascar,Madagascar,True
2007-08-14,Mauritius,Seychelles,3,0,Indian Ocean Island Games,Madagascar,Madagascar,True
2007-09-09,Mauritius,Seychelles,1,1,African Cup of Nations qualification,Curepipe,Mauritius,False
2008-06-01,Burundi,Seychelles,1,0,FIFA World Cup qualification,Bujumbura,Burundi,False
2008-06-07,Seychelles,Tunisia,0,2,FIFA World Cup qualification,Victoria,Seychelles,False
2008-06-14,Seychelles,Burkina Faso,2,3,FIFA World Cup qualification,Victoria,Seychelles,False
2008-06-21,Burkina Faso,Seychelles,4,1,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
2008-07-19,Mauritius,Seychelles,0,7,COSAFA Cup qualification,Witbank,South Africa,True
2008-07-21,Madagascar,Seychelles,1,1,COSAFA Cup qualification,Witbank,South Africa,True
2008-07-23,Seychelles,Eswatini,0,1,COSAFA Cup qualification,Witbank,South Africa,True
2008-09-06,Seychelles,Burundi,1,2,FIFA World Cup qualification,Victoria,Seychelles,False
2008-10-11,Tunisia,Seychelles,5,0,FIFA World Cup qualification,Radès,Tunisia,False
2009-10-18,Eswatini,Seychelles,2,1,COSAFA Cup,Bulawayo,Zimbabwe,True
2009-10-20,Seychelles,Comoros,1,2,COSAFA Cup,Bulawayo,Zimbabwe,True
2009-10-22,Seychelles,Botswana,0,2,COSAFA Cup,Bulawayo,Zimbabwe,True
2011-08-04,Seychelles,Comoros,0,0,Indian Ocean Island Games,Praslin,Seychelles,False
2011-08-06,Seychelles,Mauritius,2,1,Indian Ocean Island Games,Mahé,Seychelles,False
2011-08-09,Seychelles,Maldives,5,1,Indian Ocean Island Games,Mahé,Seychelles,False
2011-08-11,Seychelles,Réunion,2,1,Indian Ocean Island Games,Mahé,Seychelles,False
2011-08-13,Seychelles,Mauritius,1,1,Indian Ocean Island Games,Mahé,Seychelles,False
2011-11-11,Seychelles,Kenya,0,3,FIFA World Cup qualification,Victoria,Seychelles,False
2011-11-15,Kenya,Seychelles,4,0,FIFA World Cup qualification,Nairobi,Kenya,False
2011-11-22,Maldives,Seychelles,3,0,Friendly,Malé,Maldives,False
2011-11-24,Maldives,Seychelles,2,1,Friendly,Malé,Maldives,False
2012-02-29,Seychelles,DR Congo,0,4,African Cup of Nations qualification,Victoria,Seychelles,False
2012-06-17,DR Congo,Seychelles,3,0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2013-07-08,Namibia,Seychelles,4,2,COSAFA Cup,Lusaka,Zambia,True
2013-07-10,Mauritius,Seychelles,4,0,COSAFA Cup,Kitwe,Zambia,True
2013-11-27,Seychelles,Maldives,3,1,Friendly,Victoria,Seychelles,False
2013-11-29,Seychelles,Maldives,2,1,Friendly,Victoria,Seychelles,False
2014-07-11,Uganda,Seychelles,1,0,Friendly,Kampala,Uganda,False
2014-07-19,Sierra Leone,Seychelles,2,0,African Cup of Nations qualification,Freetown,Sierra Leone,False
2014-08-26,Seychelles,Sri Lanka,1,2,Friendly,Victoria,Seychelles,False
2014-08-28,Seychelles,Sri Lanka,3,0,Friendly,Victoria,Seychelles,False
2015-05-17,Namibia,Seychelles,0,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-19,Seychelles,Zimbabwe,0,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-21,Seychelles,Mauritius,0,1,COSAFA Cup,Phokeng,South Africa,True
2015-06-13,Algeria,Seychelles,4,0,African Cup of Nations qualification,Blida,Algeria,False
2015-07-31,Seychelles,Madagascar,3,0,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-02,Seychelles,Maldives,1,2,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-04,Seychelles,Mayotte,0,1,Indian Ocean Island Games,Réunion,Réunion,True
2015-09-05,Seychelles,Ethiopia,1,1,African Cup of Nations qualification,Victoria,Seychelles,False
2015-10-07,Seychelles,Burundi,0,1,FIFA World Cup qualification,Roche Caiman,Seychelles,False
2015-10-13,Burundi,Seychelles,2,0,FIFA World Cup qualification,Bujumbura,Burundi,False
2016-03-26,Seychelles,Lesotho,2,0,African Cup of Nations qualification,Victoria,Seychelles,False
2016-03-29,Lesotho,Seychelles,2,1,African Cup of Nations qualification,Maseru,Lesotho,False
2016-06-02,Seychelles,Algeria,0,2,African Cup of Nations qualification,Victoria,Seychelles,False
2016-06-11,Seychelles,Madagascar,0,1,COSAFA Cup,Windhoek,Namibia,True
2016-06-13,Eswatini,Seychelles,4,0,COSAFA Cup,Windhoek,Namibia,True
2016-06-15,Zimbabwe,Seychelles,5,0,COSAFA Cup,Windhoek,Namibia,True
2016-09-03,Ethiopia,Seychelles,2,1,African Cup of Nations qualification,Hawassa,Ethiopia,False
2017-06-09,Libya,Seychelles,5,1,African Cup of Nations qualification,New Cairo,Egypt,True
2017-06-26,Madagascar,Seychelles,2,0,COSAFA Cup,Moruleng,South Africa,True
2017-06-28,Seychelles,Mozambique,1,2,COSAFA Cup,Rustenburg,South Africa,True
2017-06-30,Zimbabwe,Seychelles,6,0,COSAFA Cup,Rustenburg,South Africa,True
2018-03-27,Seychelles,Eswatini,0,0,Friendly,Victoria,Seychelles,False
2018-05-27,Comoros,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
2018-05-29,Madagascar,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
2018-05-31,Mozambique,Seychelles,2,1,COSAFA Cup,Polokwane,South Africa,True
2018-09-08,Seychelles,Nigeria,0,3,African Cup of Nations qualification,Victoria,Seychelles,False
2018-10-13,South Africa,Seychelles,6,0,African Cup of Nations qualification,Johannesburg,South Africa,False
2018-10-16,Seychelles,South Africa,0,0,African Cup of Nations qualification,Victoria,Seychelles,False
2018-11-17,Seychelles,Libya,1,8,African Cup of Nations qualification,Victoria,Seychelles,False
2019-03-22,Nigeria,Seychelles,3,1,African Cup of Nations qualification,Asaba,Nigeria,False
2019-05-26,Malawi,Seychelles,3,0,COSAFA Cup,Durban,South Africa,True
2019-05-28,Seychelles,Mozambique,0,0,COSAFA Cup,Durban,South Africa,True
2019-05-30,Namibia,Seychelles,3,0,COSAFA Cup,Durban,South Africa,True
2019-07-18,Mauritius,Seychelles,1,1,Indian Ocean Island Games,Curepipe,Mauritius,False
2019-07-20,Seychelles,Madagascar,0,0,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2019-07-24,Réunion,Seychelles,4,0,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2019-07-26,Seychelles,Mayotte,1,3,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2019-09-05,Seychelles,Rwanda,0,3,FIFA World Cup qualification,Victoria,Seychelles,False
2019-09-10,Rwanda,Seychelles,7,0,FIFA World Cup qualification,Kigali,Rwanda,False
2019-10-09,South Sudan,Seychelles,2,1,African Cup of Nations qualification,Omdurman,Sudan,True
2019-10-13,Seychelles,South Sudan,0,1,African Cup of Nations qualification,Victoria,Seychelles,False
2021-09-01,Comoros,Seychelles,7,1,Friendly,Moroni,Comoros,False
2021-09-04,Burundi,Seychelles,8,1,Friendly,Moroni,Comoros,True
2021-11-10,Bangladesh,Seychelles,1,1,Mahinda Rajapaksa Cup,Colombo,Sri Lanka,True
2021-11-13,Sri Lanka,Seychelles,0,1,Mahinda Rajapaksa Cup,Colombo,Sri Lanka,False
2021-11-16,Maldives,Seychelles,0,0,Mahinda Rajapaksa Cup,Colombo,Sri Lanka,True
2021-11-19,Sri Lanka,Seychelles,3,3,Mahinda Rajapaksa Cup,Colombo,Sri Lanka,False
2022-03-19,Mauritius,Seychelles,0,0,Friendly,Saint Pierre,Mauritius,False
2022-03-23,Seychelles,Lesotho,0,0,African Cup of Nations qualification,Saint Pierre,Mauritius,True
2022-03-27,Lesotho,Seychelles,3,1,African Cup of Nations qualification,Soweto,South Africa,True
2022-07-05,Seychelles,Botswana,0,1,COSAFA Cup,Durban,South Africa,True
2022-07-07,Angola,Seychelles,3,0,COSAFA Cup,Durban,South Africa,True
2022-07-10,Seychelles,Comoros,1,2,COSAFA Cup,KwaMashu,South Africa,True
