Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1989-07-06,Greenland,Shetland,4,1,Island Games,Vágur,Faroe Islands,True
1989-07-08,Faroe Islands,Shetland,4,0,Island Games,Tórshavn,Faroe Islands,False
1989-07-09,Åland Islands,Shetland,2,0,Island Games,Klaksvík,Faroe Islands,True
1989-07-11,Ynys Môn,Shetland,3,0,Island Games,Sandur,Faroe Islands,True
1991-06-24,Faroe Islands,Shetland,3,0,Island Games,Åland,Finland,True
1991-06-25,Jersey,Shetland,2,0,Island Games,Åland,Finland,True
1991-06-26,Shetland,Greenland,5,2,Island Games,Åland,Finland,True
1991-06-28,Shetland,Guernsey,2,1,Island Games,Åland,Finland,True
1993-07-04,Åland Islands,Shetland,3,1,Island Games,Isle of Wight,England,True
1993-07-05,Isle of Wight,Shetland,2,0,Island Games,Isle of Wight,England,False
1993-07-06,Shetland,Isle of Man,1,5,Island Games,Isle of Wight,England,True
1993-07-08,Shetland,Gibraltar,1,0,Island Games,Isle of Wight,England,True
1997-06-29,Shetland,Isle of Wight,0,0,Island Games,St. Peter,Jersey,True
1997-07-01,Ynys Môn,Shetland,4,0,Island Games,St. Clement,Jersey,True
1997-07-03,Shetland,Hitra,2,1,Island Games,St. Lawrence,Jersey,True
1997-07-03,Shetland,Gibraltar,2,1,Island Games,St. Lawrence,Jersey,True
1999-06-27,Isle of Man,Shetland,2,1,Island Games,Dalhem,Sweden,True
1999-06-28,Gotland,Shetland,3,1,Island Games,Visby,Sweden,False
1999-06-29,Shetland,Hitra,4,1,Island Games,Fårösund,Sweden,True
1999-07-01,Shetland,Gibraltar,3,2,Island Games,Visby,Sweden,True
1999-07-02,Guernsey,Shetland,6,5,Island Games,Visby,Sweden,True
2001-07-09,Saare County,Shetland,2,3,Island Games,Port Erin,Isle of Man,True
2001-07-10,Ynys Môn,Shetland,1,1,Island Games,Douglas,Isle of Man,True
2001-07-12,Gibraltar,Shetland,2,0,Island Games,Peel,Isle of Man,True
2001-07-13,Isle of Man,Shetland,2,2,Island Games,Castletown,Isle of Man,False
2003-06-29,Shetland,Gotland,0,0,Island Games,Saint Sampson,Guernsey,True
2003-06-30,Jersey,Shetland,5,0,Island Games,Saint Sampson,Guernsey,True
2003-07-01,Shetland,Frøya,3,1,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Orkney,Shetland,0,6,Island Games,Saint Sampson,Guernsey,True
2005-07-10,Shetland,Falkland Islands,4,0,Island Games,Shetland,Scotland,False
2005-07-11,Shetland,Åland Islands,3,1,Island Games,Shetland,Scotland,False
2005-07-13,Shetland,Saare County,0,0,Island Games,Shetland,Scotland,False
2005-07-14,Shetland,Isle of Man,0,1,Island Games,Shetland,Scotland,False
2005-07-15,Shetland,Guernsey,2,0,Island Games,Shetland,Scotland,False
2009-06-28,Shetland,Menorca,2,2,Island Games,Hammarland,Sweden,True
2009-06-29,Åland Islands,Shetland,2,1,Island Games,Hammarland,Sweden,False
2009-06-30,Greenland,Shetland,3,1,Island Games,Sund,Sweden,True
2009-07-02,Shetland,Saare County,3,2,Island Games,Hammarland,Sweden,True
2015-06-28,Shetland,Isle of Wight,0,0,Island Games,St. Lawrence,Jersey,True
2015-06-29,Hitra,Shetland,1,4,Island Games,St. Brelade,Jersey,True
2015-06-30,Falkland Islands,Shetland,0,5,Island Games,St. Peter,Jersey,True
2015-07-02,Shetland,Isle of Man,1,3,Island Games,St Helier,Jersey,True
2015-07-03,Menorca,Shetland,1,0,Island Games,St. Peter,Jersey,True
2017-06-25,Saare County,Shetland,4,5,Island Games,Hemse,Sweden,True
2017-06-26,Shetland,Guernsey,0,3,Island Games,Stenkyrka,Sweden,True
2017-06-27,Åland Islands,Shetland,2,1,Island Games,Visby,Sweden,True
2017-06-29,Orkney,Shetland,3,1,Island Games,Dalhem,Sweden,True
2019-06-16,Saint Helena,Shetland,1,6,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-17,Guernsey,Shetland,2,1,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-20,Ynys Môn,Shetland,2,1,Inter Games Football Tournament,Anglesey,Wales,False
2019-06-21,Shetland,Isle of Man,0,5,Inter Games Football Tournament,Anglesey,Wales,True
2023-07-09,Ynys Môn,Shetland,2,0,Island Games,Saint Sampson,Guernsey,True
2023-07-10,Shetland,Isle of Man,3,2,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Falkland Islands,Shetland,1,4,Island Games,Saint Sampson,Guernsey,True
2023-07-13,Shetland,Greenland,5,1,Island Games,Saint Sampson,Guernsey,True
