Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1949-10-08,Sierra Leone,Nigeria,0,2,Friendly,Freetown,Sierra Leone,False
1953-02-09,Gambia,Sierra Leone,2,1,Friendly,Banjul,Gambia,False
1954-06-01,Ghana,Sierra Leone,2,0,Friendly,Accra,Gold Coast,False
1956-11-10,Sierra Leone,Gambia,1,0,Friendly,Freetown,Sierra Leone,False
1956-12-16,Ghana,Sierra Leone,4,3,Friendly,Accra,Gold Coast,False
1957-08-24,Sierra Leone,Ghana,2,3,Friendly,Freetown,Sierra Leone,False
1960-01-31,Guinea-Bissau,Sierra Leone,3,4,Friendly,Kumasi,Ghana,True
1960-02-07,Ghana,Sierra Leone,6,2,Friendly,Accra,Ghana,False
1960-07-10,Mali,Sierra Leone,1,0,Friendly,Bamako,Mali,False
1961-04-22,Sierra Leone,Nigeria,1,4,Friendly,Freetown,Sierra Leone,False
1966-11-12,Sierra Leone,Liberia,1,1,Friendly,Freetown,Sierra Leone,False
1966-11-19,Liberia,Sierra Leone,2,0,Friendly,Monrovia,Liberia,False
1967-10-14,Sierra Leone,Nigeria,1,1,Friendly,Freetown,Sierra Leone,False
1967-12-02,Sierra Leone,Guinea,2,1,Friendly,Freetown,Sierra Leone,False
1968-01-27,Nigeria,Sierra Leone,4,1,Friendly,Lagos,Nigeria,False
1968-11-16,Sierra Leone,Gambia,2,1,Friendly,Freetown,Sierra Leone,False
1968-12-14,Sierra Leone,Guinea,1,1,Friendly,Freetown,Sierra Leone,False
1969-02-02,Guinea,Sierra Leone,1,1,Friendly,Conakry,Guinea,False
1970-10-11,Sierra Leone,Senegal,1,0,Friendly,Freetown,Sierra Leone,False
1970-11-01,Sierra Leone,Guinea,1,2,Friendly,Freetown,Sierra Leone,False
1971-01-31,Ghana,Sierra Leone,1,2,Friendly,Accra,Ghana,False
1971-02-07,Ghana,Sierra Leone,1,2,Friendly,Accra,Ghana,False
1971-02-13,Nigeria,Sierra Leone,1,0,Friendly,Lagos,Nigeria,False
1971-04-24,Sierra Leone,Gambia,3,1,Friendly,Freetown,Sierra Leone,False
1971-07-25,Senegal,Sierra Leone,2,1,Friendly,Dakar,Senegal,False
1971-12-04,Sierra Leone,Nigeria,0,1,Friendly,Freetown,Sierra Leone,False
1972-05-31,Sierra Leone,Ghana,3,1,Friendly,Freetown,Sierra Leone,False
1972-10-15,Sierra Leone,Ivory Coast,0,1,FIFA World Cup qualification,Freetown,Sierra Leone,False
1972-10-29,Ivory Coast,Sierra Leone,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1972-11-18,Sierra Leone,Tanzania,2,2,Friendly,Freetown,Sierra Leone,False
1972-11-26,Sierra Leone,Nigeria,0,1,Friendly,Freetown,Sierra Leone,False
1972-12-12,Nigeria,Sierra Leone,4,0,Friendly,Lagos,Nigeria,False
1973-03-31,Sierra Leone,Mali,1,1,African Cup of Nations qualification,Freetown,Sierra Leone,False
1973-04-28,Mali,Sierra Leone,4,2,African Cup of Nations qualification,Bamako,Mali,False
1974-05-05,China PR,Sierra Leone,4,1,Friendly,Beijing,China PR,False
1976-03-07,Sierra Leone,Niger,5,1,FIFA World Cup qualification,Freetown,Sierra Leone,False
1976-03-21,Niger,Sierra Leone,2,1,FIFA World Cup qualification,Niamey,Niger,False
1976-04-19,Sierra Leone,Guinea,1,1,Friendly,Freetown,Sierra Leone,False
1976-04-25,Sierra Leone,Liberia,1,0,Friendly,Freetown,Sierra Leone,False
1976-07-08,Malawi,Sierra Leone,4,2,Friendly,Zomba,Malawi,False
1976-10-16,Sierra Leone,Nigeria,0,0,FIFA World Cup qualification,Freetown,Sierra Leone,False
1976-10-30,Nigeria,Sierra Leone,6,2,FIFA World Cup qualification,Lagos,Nigeria,False
1977-02-17,Sierra Leone,Nigeria,1,1,African Cup of Nations qualification,Freetown,Sierra Leone,False
1977-03-13,Nigeria,Sierra Leone,2,0,African Cup of Nations qualification,Lagos,Nigeria,False
1977-12-25,Ghana,Sierra Leone,4,0,Friendly,Accra,Ghana,False
1978-07-06,Malawi,Sierra Leone,5,0,Friendly,Lilongwe,Malawi,False
1978-07-09,Malawi,Sierra Leone,4,2,Friendly,Lilongwe,Malawi,False
1979-09-29,Sierra Leone,Gambia,2,0,Friendly,Freetown,Sierra Leone,False
1979-10-27,Sierra Leone,Nigeria,0,0,Friendly,Freetown,Sierra Leone,False
1979-11-03,Sierra Leone,Senegal,1,0,Friendly,Freetown,Sierra Leone,False
1980-01-06,Sierra Leone,Ghana,2,4,Friendly,Freetown,Sierra Leone,False
1980-03-04,Sierra Leone,Guinea,3,2,Friendly,Freetown,Sierra Leone,False
1980-05-31,Sierra Leone,Algeria,2,2,FIFA World Cup qualification,Freetown,Sierra Leone,False
1980-06-13,Algeria,Sierra Leone,3,1,FIFA World Cup qualification,Oran,Algeria,False
1980-11-17,Senegal,Sierra Leone,2,0,African Cup of Nations qualification,Dakar,Senegal,False
1980-11-30,Sierra Leone,Senegal,1,2,African Cup of Nations qualification,Freetown,Sierra Leone,False
1982-02-11,Guinea-Bissau,Sierra Leone,1,2,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-13,Guinea,Sierra Leone,1,0,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-15,Senegal,Sierra Leone,2,0,Amílcar Cabral Cup,Praia,Cape Verde,True
