Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1939-08-27,Slovakia,Germany,2,0,Friendly,Bratislava,Slovakia,False
1939-12-03,Germany,Slovakia,3,1,Friendly,Chemnitz,Germany,False
1940-06-06,Bulgaria,Slovakia,1,4,Friendly,Sofia,Bulgaria,False
1940-09-15,Slovakia,Germany,0,1,Friendly,Bratislava,Slovakia,False
1941-09-28,Croatia,Slovakia,5,2,Friendly,Zagreb,Croatia,False
1941-10-12,Romania,Slovakia,3,2,Friendly,Bucharest,Romania,False
1941-12-07,Germany,Slovakia,4,0,Friendly,Breslau,Germany,False
1942-06-07,Slovakia,Croatia,1,2,Friendly,Bratislava,Slovakia,False
1942-08-23,Slovakia,Romania,1,0,Friendly,Bratislava,Slovakia,False
1942-09-06,Croatia,Slovakia,6,1,Friendly,Zagreb,Croatia,False
1942-11-22,Slovakia,Germany,2,5,Friendly,Bratislava,Slovakia,False
1943-04-10,Croatia,Slovakia,1,0,Friendly,Zagreb,Croatia,False
1943-06-13,Romania,Slovakia,2,2,Friendly,Bucharest,Romania,False
1944-04-09,Croatia,Slovakia,7,3,Friendly,Zagreb,Croatia,False
1992-06-28,China PR,Slovakia,2,3,Friendly,Shanghai,China PR,False
1992-10-14,Lithuania,Slovakia,0,1,Friendly,Vilnius,Lithuania,False
1993-03-30,Slovakia,Lithuania,2,2,Friendly,Dunajská Streda,Slovakia,False
1993-11-16,Slovakia,Slovenia,2,0,Friendly,Prievidza,Slovakia,False
1994-02-02,United Arab Emirates,Slovakia,0,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,False
1994-02-04,Egypt,Slovakia,1,0,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,True
1994-02-06,Morocco,Slovakia,2,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,True
1994-03-30,Malta,Slovakia,1,2,Friendly,Attard,Malta,False
1994-04-20,Slovakia,Croatia,4,1,Friendly,Bratislava,Slovakia,False
1994-05-29,Russia,Slovakia,2,1,Friendly,Moscow,Russia,False
1994-08-16,Slovakia,Malta,1,1,Friendly,Bratislava,Slovakia,False
1994-09-07,Slovakia,France,0,0,UEFA Euro qualification,Bratislava,Slovakia,False
