Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1991-06-19,Slovenia,Croatia,0,1,Friendly,Murska Sobota,Slovenia,False
1992-06-03,Estonia,Slovenia,1,1,Friendly,Tallinn,Estonia,False
1992-11-18,Cyprus,Slovenia,1,1,Friendly,Larnaca,Cyprus,False
1993-04-07,Slovenia,Estonia,2,0,Friendly,Ljubljana,Slovenia,False
1993-10-13,Slovenia,North Macedonia,1,4,Friendly,Kranj,Slovenia,False
1993-11-16,Slovakia,Slovenia,2,0,Friendly,Prievidza,Slovakia,False
1994-02-08,Georgia,Slovenia,0,1,Malta International Tournament,Attard,Malta,True
1994-02-10,Slovenia,Tunisia,2,2,Malta International Tournament,Attard,Malta,True
1994-02-12,Malta,Slovenia,0,1,Malta International Tournament,Attard,Malta,False
1994-03-23,North Macedonia,Slovenia,2,0,Friendly,Skopje,North Macedonia,False
1994-04-06,Hungary,Slovenia,0,1,Friendly,Szombathely,Hungary,False
1994-04-27,Slovenia,Cyprus,3,0,Friendly,Maribor,Slovenia,False
1994-06-01,Romania,Slovenia,0,0,Friendly,Bucharest,Romania,False
1994-09-07,Slovenia,Italy,1,1,UEFA Euro qualification,Maribor,Slovenia,False
1994-10-12,Ukraine,Slovenia,0,0,UEFA Euro qualification,Kyiv,Ukraine,False
1994-11-16,Slovenia,Lithuania,1,2,UEFA Euro qualification,Maribor,Slovenia,False
1995-03-29,Slovenia,Estonia,3,0,UEFA Euro qualification,Maribor,Slovenia,False
1995-04-26,Croatia,Slovenia,2,0,UEFA Euro qualification,Zagreb,Croatia,False
1995-06-07,Lithuania,Slovenia,2,1,UEFA Euro qualification,Vilnius,Lithuania,False
1995-06-11,Estonia,Slovenia,1,3,UEFA Euro qualification,Tallinn,Estonia,False
1995-09-06,Italy,Slovenia,1,0,UEFA Euro qualification,Udine,Italy,False
1995-10-11,Slovenia,Ukraine,3,2,UEFA Euro qualification,Ljubljana,Slovenia,False
1995-11-15,Slovenia,Croatia,1,2,UEFA Euro qualification,Ljubljana,Slovenia,False
1995-12-06,Mexico,Slovenia,1,2,Friendly,Hermosillo,Mexico,False
1996-02-07,Iceland,Slovenia,1,7,Malta International Tournament,Attard,Malta,True
1996-02-09,Malta,Slovenia,0,0,Malta International Tournament,Attard,Malta,False
1996-02-11,Russia,Slovenia,3,1,Malta International Tournament,Attard,Malta,True
1996-03-27,Poland,Slovenia,0,0,Friendly,Łódź,Poland,False
1996-04-24,Greece,Slovenia,2,0,FIFA World Cup qualification,Athens,Greece,False
1996-05-21,Slovenia,United Arab Emirates,2,2,Friendly,Ljubljana,Slovenia,False
1996-09-01,Slovenia,Denmark,0,2,FIFA World Cup qualification,Ljubljana,Slovenia,False
1996-11-10,Slovenia,Bosnia and Herzegovina,1,2,FIFA World Cup qualification,Ljubljana,Slovenia,False
1997-03-18,Austria,Slovenia,0,2,Friendly,Linz,Austria,False
1997-04-02,Croatia,Slovenia,3,3,FIFA World Cup qualification,Split,Croatia,False
1997-04-30,Denmark,Slovenia,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False
1997-09-06,Slovenia,Greece,0,3,FIFA World Cup qualification,Ljubljana,Slovenia,False
1997-09-10,Bosnia and Herzegovina,Slovenia,1,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False
1997-10-11,Slovenia,Croatia,1,3,FIFA World Cup qualification,Ljubljana,Slovenia,False
1998-02-05,Iceland,Slovenia,2,3,Cyprus International Tournament,Limassol,Cyprus,True
1998-02-06,Slovenia,Slovakia,1,1,Cyprus International Tournament,Limassol,Cyprus,True
1998-02-09,Cyprus,Slovenia,1,0,Cyprus International Tournament,Limassol,Cyprus,False
1998-03-25,Poland,Slovenia,2,0,Friendly,Warsaw,Poland,False
1998-04-22,Slovenia,Czech Republic,1,3,Friendly,Murska Sobota,Slovenia,False
1998-08-19,Hungary,Slovenia,2,1,Friendly,Zalaegerszeg,Hungary,False
1998-09-06,Greece,Slovenia,2,2,UEFA Euro qualification,Athens,Greece,False
1998-10-10,Slovenia,Norway,1,2,UEFA Euro qualification,Ljubljana,Slovenia,False
1998-10-14,Slovenia,Latvia,1,0,UEFA Euro qualification,Maribor,Slovenia,False
1999-02-06,Slovenia,Switzerland,0,2,Friendly,Muscat,Oman,True
1999-02-08,Oman,Slovenia,0,7,Friendly,Muscat,Oman,False
1999-03-27,Georgia,Slovenia,1,1,UEFA Euro qualification,Tbilisi,Georgia,False
1999-04-28,Slovenia,Finland,1,1,Friendly,Ljubljana,Slovenia,False
1999-06-05,Latvia,Slovenia,1,2,UEFA Euro qualification,Riga,Latvia,False
1999-06-09,Albania,Slovenia,0,1,UEFA Euro qualification,Tirana,Albania,False
1999-08-18,Slovenia,Albania,2,0,UEFA Euro qualification,Ljubljana,Slovenia,False
1999-09-04,Slovenia,Georgia,2,1,UEFA Euro qualification,Ljubljana,Slovenia,False
1999-09-08,Norway,Slovenia,4,0,UEFA Euro qualification,Oslo,Norway,False
1999-10-09,Slovenia,Greece,0,3,UEFA Euro qualification,Maribor,Slovenia,False
1999-11-13,Slovenia,Ukraine,2,1,UEFA Euro qualification,Ljubljana,Slovenia,False
1999-11-17,Ukraine,Slovenia,1,1,UEFA Euro qualification,Kyiv,Ukraine,False
2000-02-19,United Arab Emirates,Slovenia,1,1,Friendly,Muscat,Oman,True
2000-02-23,Oman,Slovenia,0,4,Friendly,Muscat,Oman,False
2000-04-26,France,Slovenia,3,2,Friendly,Saint-Denis,France,False
2000-06-03,Slovenia,Saudi Arabia,2,0,Friendly,Ljubljana,Slovenia,False
2000-06-13,Serbia,Slovenia,3,3,UEFA Euro,Charleroi,Belgium,True
2000-06-18,Slovenia,Spain,1,2,UEFA Euro,Amsterdam,Netherlands,True
2000-06-21,Slovenia,Norway,0,0,UEFA Euro,Arnhem,Netherlands,True
2000-08-16,Czech Republic,Slovenia,0,1,Friendly,Ostrava,Czech Republic,False
2000-09-03,Faroe Islands,Slovenia,2,2,FIFA World Cup qualification,Toftir,Faroe Islands,False
2000-10-07,Luxembourg,Slovenia,1,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
2000-10-11,Slovenia,Switzerland,2,2,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-02-28,Slovenia,Uruguay,0,2,Friendly,Koper,Slovenia,False
2001-03-24,Russia,Slovenia,1,1,FIFA World Cup qualification,Moscow,Russia,False
2001-03-28,Slovenia,Serbia,1,1,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-04-25,Denmark,Slovenia,3,0,Friendly,Copenhagen,Denmark,False
2001-06-02,Slovenia,Luxembourg,2,0,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-06-06,Switzerland,Slovenia,0,1,FIFA World Cup qualification,Basel,Switzerland,False
2001-08-15,Slovenia,Romania,2,2,Friendly,Ljubljana,Slovenia,False
2001-09-01,Slovenia,Russia,2,1,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-09-05,Serbia,Slovenia,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
2001-10-06,Slovenia,Faroe Islands,3,0,FIFA World Cup qualification,Ljubljana,Slovenia,False
2001-11-10,Slovenia,Romania,2,1,FIFA World Cup qualification,Ljubljana,Slovenia,False
