Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-08-30,Solomon Islands,Vanuatu,6,3,South Pacific Games,Suva,Fiji,True
1963-09-01,Fiji,Solomon Islands,5,0,South Pacific Games,Suva,Fiji,False
1963-09-06,Solomon Islands,Tahiti,0,18,South Pacific Games,Suva,Fiji,True
1966-12-12,New Caledonia,Solomon Islands,8,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-13,Solomon Islands,Vanuatu,4,4,South Pacific Games,Nouméa,New Caledonia,True
1969-08-14,Fiji,Solomon Islands,5,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-15,New Caledonia,Solomon Islands,1,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-16,Papua New Guinea,Solomon Islands,4,0,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-18,Solomon Islands,Tahiti,0,7,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-20,Vanuatu,Solomon Islands,7,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1975-08-02,Guam,Solomon Islands,1,5,South Pacific Games,Tamuning,Guam,False
1975-08-05,Fiji,Solomon Islands,1,1,South Pacific Games,Tamuning,Guam,True
1975-08-07,New Caledonia,Solomon Islands,4,0,South Pacific Games,Tamuning,Guam,True
1975-08-08,Fiji,Solomon Islands,2,3,South Pacific Games,Tamuning,Guam,True
1979-08-29,Solomon Islands,Wallis Islands and Futuna,6,0,South Pacific Games,Suva,Fiji,True
1979-08-31,Solomon Islands,Samoa,12,0,South Pacific Games,Suva,Fiji,True
1979-09-03,Papua New Guinea,Solomon Islands,2,3,South Pacific Games,Nausori,Fiji,True
1979-09-04,Fiji,Solomon Islands,2,0,South Pacific Games,Suva,Fiji,False
1979-09-07,New Caledonia,Solomon Islands,1,3,South Pacific Games,Suva,Fiji,True
1980-02-25,Fiji,Solomon Islands,3,1,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-27,Solomon Islands,Tahiti,1,12,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-29,New Zealand,Solomon Islands,6,1,Oceania Nations Cup,Nouméa,New Caledonia,True
1981-07-07,Solomon Islands,Fiji,1,2,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-09,Solomon Islands,New Caledonia,1,1,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-10,Solomon Islands,Samoa,5,0,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-11,Solomon Islands,Vanuatu,2,1,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-13,Solomon Islands,Tahiti,1,4,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-14,Solomon Islands,Papua New Guinea,1,2,South Pacific Mini Games,Honiara,Solomon Islands,False
1983-08-22,Fiji,Solomon Islands,10,0,South Pacific Games,Apia,Western Samoa,True
1983-09-11,New Caledonia,Solomon Islands,1,0,South Pacific Games,Apia,Western Samoa,True
1988-10-21,Solomon Islands,Fiji,1,1,Friendly,Honiara,Solomon Islands,False
1988-10-24,Solomon Islands,New Caledonia,1,0,Friendly,Honiara,Solomon Islands,False
1988-10-25,Solomon Islands,Vanuatu,5,0,Friendly,Honiara,Solomon Islands,False
1988-10-26,Solomon Islands,Fiji,1,3,Friendly,Honiara,Solomon Islands,False
1989-10-28,Solomon Islands,Vanuatu,2,0,Friendly,Suva,Fiji,True
1989-10-30,New Caledonia,Solomon Islands,2,0,Friendly,Suva,Fiji,True
1989-11-03,Papua New Guinea,Solomon Islands,0,0,Friendly,Suva,Fiji,True
1989-11-04,Fiji,Solomon Islands,0,0,Friendly,Suva,Fiji,False
1990-11-01,Fiji,Solomon Islands,0,0,Friendly,Port Vila,Vanuatu,True
1990-11-03,Vanuatu,Solomon Islands,1,1,Friendly,Port Vila,Vanuatu,False
1990-11-06,Solomon Islands,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,True
1990-11-08,New Caledonia,Solomon Islands,3,1,Friendly,Port Vila,Vanuatu,True
1991-09-09,Papua New Guinea,Solomon Islands,0,0,South Pacific Games,Lae,Papua New Guinea,False
1991-09-11,Solomon Islands,Wallis Islands and Futuna,5,0,South Pacific Games,Lae,Papua New Guinea,True
1991-09-14,Solomon Islands,Vanuatu,3,0,South Pacific Games,Lae,Papua New Guinea,True
1991-09-17,New Caledonia,Solomon Islands,1,4,South Pacific Games,Lae,Papua New Guinea,True
1991-09-20,Fiji,Solomon Islands,1,1,South Pacific Games,Lae,Papua New Guinea,True
1992-07-11,Solomon Islands,Tahiti,1,1,FIFA World Cup qualification,Honiara,Solomon Islands,False
1992-07-25,Fiji,Solomon Islands,2,1,Friendly,Port Vila,Vanuatu,True
1992-07-27,Vanuatu,Solomon Islands,1,3,Friendly,Port Vila,Vanuatu,False
1992-07-30,New Caledonia,Solomon Islands,1,0,Friendly,Port Vila,Vanuatu,True
1992-09-04,Solomon Islands,Australia,1,2,FIFA World Cup qualification,Honiara,Solomon Islands,False
1992-09-26,Australia,Solomon Islands,6,1,FIFA World Cup qualification,Newcastle,Australia,False
1992-10-09,Tahiti,Solomon Islands,4,2,FIFA World Cup qualification,Papeete,Tahiti,True
1993-12-07,Fiji,Solomon Islands,1,0,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-11,Solomon Islands,Guam,12,1,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-13,Tahiti,Solomon Islands,3,0,South Pacific Mini Games,Port Vila,Vanuatu,True
1994-07-05,Solomon Islands,Papua New Guinea,2,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-06,Solomon Islands,Vanuatu,4,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-07,Solomon Islands,Fiji,1,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-08,Solomon Islands,New Caledonia,3,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-09-02,Solomon Islands,Fiji,1,0,Friendly,Honiara,Solomon Islands,False
1995-08-16,Solomon Islands,Wallis Islands and Futuna,12,1,South Pacific Games,Papeete,Tahiti,True
1995-08-18,New Caledonia,Solomon Islands,0,1,South Pacific Games,Papeete,Tahiti,True
1995-08-19,Tahiti,Solomon Islands,4,2,South Pacific Games,Papeete,Tahiti,True
1995-08-21,Cook Islands,Solomon Islands,0,16,South Pacific Games,Papeete,Tahiti,True
1995-08-24,Fiji,Solomon Islands,3,3,South Pacific Games,Papeete,Tahiti,True
1995-08-26,Tahiti,Solomon Islands,2,0,South Pacific Games,Papeete,Tahiti,True
1995-11-17,Solomon Islands,Tahiti,0,1,Oceania Nations Cup,Honiara,Solomon Islands,False
1996-05-11,Tahiti,Solomon Islands,2,1,Oceania Nations Cup,Papeete,Tahiti,True
1996-09-16,Papua New Guinea,Solomon Islands,1,1,FIFA World Cup qualification,Lae,Papua New Guinea,False
1996-09-18,Solomon Islands,Vanuatu,1,1,FIFA World Cup qualification,Lae,Papua New Guinea,True
1997-02-15,Tonga,Solomon Islands,0,4,FIFA World Cup qualification,Nuku'alofa,Tonga,False
1997-02-17,Fiji,Solomon Islands,1,2,Friendly,Suva,Fiji,False
1997-02-21,Fiji,Solomon Islands,3,2,Friendly,Nadi,Fiji,False
1997-03-01,Solomon Islands,Tonga,9,0,FIFA World Cup qualification,Honiara,Solomon Islands,False
1997-06-11,Australia,Solomon Islands,13,0,FIFA World Cup qualification,Sydney,Australia,False
