Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-11-11,North Korea,Somalia,14,0,Friendly,Jakarta,Indonesia,True
1969-01-05,Ethiopia,Somalia,7,0,Friendly,Addis Ababa,Ethiopia,False
1969-01-07,Somalia,Uganda,1,7,Friendly,Addis Ababa,Ethiopia,True
1972-01-18,Somalia,China PR,1,3,Friendly,Mogadishu,Somalia,False
1973-06-17,China PR,Somalia,7,4,Friendly,Beijing,China PR,False
1973-09-22,Uganda,Somalia,6,1,CECAFA Cup,Kampala,Uganda,False
1973-09-24,Somalia,Zambia,1,6,CECAFA Cup,Kampala,Uganda,True
1974-08-10,Somalia,Burundi,0,2,African Cup of Nations qualification,Mogadishu,Somalia,False
1974-08-24,Burundi,Somalia,0,1,African Cup of Nations qualification,Bujumbura,Burundi,False
1974-09-10,Libya,Somalia,3,2,Friendly,Tripoli,Libya,False
1974-09-13,Libya,Somalia,3,2,Friendly,Tripoli,Libya,False
1974-10-30,Zanzibar,Somalia,2,1,CECAFA Cup,Zanzibar,Tanzania,False
1974-11-04,Somalia,Uganda,1,1,CECAFA Cup,Zanzibar,Tanzania,True
1976-11-06,Somalia,Uganda,0,2,CECAFA Cup,Zanzibar,Tanzania,True
1976-11-08,Somalia,Zambia,2,4,CECAFA Cup,Zanzibar,Tanzania,True
1976-11-10,Zanzibar,Somalia,1,0,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-16,Zanzibar,Somalia,1,1,Friendly,Zanzibar,Tanzania,False
1977-11-30,Somalia,Zanzibar,1,0,CECAFA Cup,Mogadishu,Somalia,False
1978-11-03,Malawi,Somalia,3,1,CECAFA Cup,Lilongwe,Malawi,False
1978-11-09,Somalia,Zambia,0,4,CECAFA Cup,Blantyre,Malawi,True
1978-11-11,Kenya,Somalia,1,0,CECAFA Cup,Blantyre,Malawi,True
1978-11-13,Somalia,Uganda,2,2,CECAFA Cup,Lilongwe,Malawi,True
1980-07-16,Niger,Somalia,0,0,FIFA World Cup qualification,Niamey,Niger,False
1980-07-27,Somalia,Niger,1,1,FIFA World Cup qualification,Mogadishu,Somalia,False
1980-11-17,Somalia,Tanzania,1,1,CECAFA Cup,Khartoum,Sudan,True
1980-11-20,Sudan,Somalia,2,0,CECAFA Cup,Khartoum,Sudan,False
1982-09-19,Somalia,Rwanda,0,1,African Cup of Nations qualification,Mogadishu,Somalia,False
1983-11-14,Somalia,Zanzibar,1,1,CECAFA Cup,Nairobi,Kenya,True
1983-11-17,Malawi,Somalia,2,1,CECAFA Cup,Mombasa,Kenya,True
1983-11-19,Somalia,Zimbabwe,1,2,CECAFA Cup,Mombasa,Kenya,True
1984-11-09,Somalia,Kenya,1,0,African Cup of Nations qualification,Mogadishu,Somalia,False
1984-11-23,Kenya,Somalia,1,0,African Cup of Nations qualification,Nairobi,Kenya,False
1984-12-03,Somalia,Zanzibar,2,1,CECAFA Cup,Mbale,Uganda,True
1984-12-05,Malawi,Somalia,1,0,CECAFA Cup,Mbale,Uganda,True
1984-12-08,Kenya,Somalia,1,1,CECAFA Cup,Mbale,Uganda,True
