Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1924-09-24,Northern Ireland,South Africa,1,2,Friendly,Belfast,Northern Ireland,False
1924-11-02,Netherlands,South Africa,2,1,Friendly,Amsterdam,Netherlands,False
1947-05-10,Australia,South Africa,1,2,Friendly,Sydney,Australia,False
1947-05-24,Australia,South Africa,2,4,Friendly,Brisbane,Australia,False
1947-05-31,Australia,South Africa,3,3,Friendly,Sydney,Australia,False
1947-06-07,Australia,South Africa,5,1,Friendly,Newcastle,Australia,False
1947-06-14,Australia,South Africa,1,2,Friendly,Sydney,Australia,False
1947-06-28,New Zealand,South Africa,5,6,Friendly,Christchurch,New Zealand,False
1947-07-05,New Zealand,South Africa,0,6,Friendly,Dunedin,New Zealand,False
1947-07-12,New Zealand,South Africa,3,8,Friendly,Wellington,New Zealand,False
1947-07-19,New Zealand,South Africa,1,4,Friendly,Auckland,New Zealand,False
1950-06-24,South Africa,Australia,3,2,Friendly,Durban,South Africa,False
1950-07-01,South Africa,Australia,2,1,Friendly,Johannesburg,South Africa,False
1950-07-08,South Africa,Australia,1,2,Friendly,Port Elizabeth,South Africa,False
1950-07-23,South Africa,Australia,0,2,Friendly,Cape Town,South Africa,False
1953-11-22,Portugal,South Africa,3,1,Friendly,Oeiras,Portugal,False
1954-05-01,South Africa,Israel,2,1,Friendly,Johannesburg,South Africa,False
1955-09-03,Australia,South Africa,0,3,Friendly,Brisbane,Australia,False
1955-09-10,Australia,South Africa,0,2,Friendly,Melbourne,Australia,False
1955-09-17,Australia,South Africa,0,8,Friendly,Adelaide,Australia,False
1955-09-24,Australia,South Africa,0,6,Friendly,Sydney,Australia,False
1955-10-01,Australia,South Africa,1,4,Friendly,Newcastle,Australia,False
1958-11-12,Netherlands,South Africa,9,3,Friendly,Eindhoven,Netherlands,False
1977-04-09,South Africa,Zimbabwe,7,0,Friendly,Johannesburg,South Africa,False
1977-07-03,Zimbabwe,South Africa,1,1,Friendly,Salisbury,Southern Rhodesia,False
1992-07-07,South Africa,Cameroon,1,0,Friendly,Durban,South Africa,False
1992-07-09,South Africa,Cameroon,1,2,Friendly,Cape Town,South Africa,False
1992-07-11,South Africa,Cameroon,2,2,Friendly,Johannesburg,South Africa,False
1992-08-16,Zimbabwe,South Africa,4,1,African Cup of Nations qualification,Harare,Zimbabwe,False
1992-08-30,South Africa,Zambia,0,1,African Cup of Nations qualification,Johannesburg,South Africa,False
1992-10-10,Nigeria,South Africa,4,0,FIFA World Cup qualification,Lagos,Nigeria,False
1992-10-25,South Africa,Congo,1,0,FIFA World Cup qualification,Johannesburg,South Africa,False
1993-01-10,Botswana,South Africa,0,2,Friendly,Gaborone,Botswana,False
1993-01-16,South Africa,Nigeria,0,0,FIFA World Cup qualification,Johannesburg,South Africa,False
1993-01-31,Congo,South Africa,0,1,FIFA World Cup qualification,Pointe-Noire,Congo,False
1993-04-10,South Africa,Mauritius,0,0,African Cup of Nations qualification,Johannesburg,South Africa,False
1993-04-24,South Africa,Zimbabwe,1,1,African Cup of Nations qualification,Johannesburg,South Africa,False
1993-07-11,Zambia,South Africa,3,0,African Cup of Nations qualification,Lusaka,Zambia,False
1993-07-25,Mauritius,South Africa,1,3,African Cup of Nations qualification,Mapou,Mauritius,False
1993-10-06,Mexico,South Africa,4,0,Friendly,Los Angeles,United States,True
1994-04-24,South Africa,Zimbabwe,1,0,Friendly,Mafikeng,South Africa,False
