Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2014-06-02,Darfur,South Ossetia,0,19,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-03,South Ossetia,Padania,1,3,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-04,Abkhazia,South Ossetia,0,0,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-06,County of Nice,South Ossetia,3,0,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-08,South Ossetia,Arameans Suryoye,1,4,CONIFA World Football Cup,Östersund,Sweden,True
2017-06-05,Abkhazia,South Ossetia,2,1,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-06-06,Northern Cyprus,South Ossetia,8,0,CONIFA European Football Cup,Kyrenia,Northern Cyprus,False
2017-06-07,South Ossetia,Kárpátalja,1,4,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
2017-06-09,South Ossetia,Felvidék,0,2,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
2019-06-02,Western Armenia,South Ossetia,1,2,CONIFA European Football Cup,Martuni,Azerbaijan,True
2019-06-03,South Ossetia,Padania,2,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
2019-06-04,South Ossetia,Székely Land,2,2,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-06,South Ossetia,Chameria,0,0,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-09,Western Armenia,South Ossetia,0,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
2019-08-09,South Ossetia,Luhansk PR,2,0,Friendly,Tskhinvali,Georgia,False
2019-12-08,Luhansk PR,South Ossetia,4,3,Friendly,Luhansk,Ukraine,False
