Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2012-07-10,South Sudan,Uganda,2,2,Friendly,Juba,South Sudan,False
2012-11-24,Ethiopia,South Sudan,1,0,CECAFA Cup,Kampala,Uganda,True
2012-11-27,South Sudan,Kenya,0,2,CECAFA Cup,Kampala,Uganda,True
2012-11-30,Uganda,South Sudan,4,0,CECAFA Cup,Kampala,Uganda,False
2013-11-27,Zanzibar,South Sudan,2,1,CECAFA Cup,Nairobi,Kenya,True
2013-11-30,Kenya,South Sudan,3,1,CECAFA Cup,Nairobi,Kenya,False
2013-12-03,South Sudan,Ethiopia,0,2,CECAFA Cup,Nakuru,Kenya,True
2014-03-05,Botswana,South Sudan,3,0,Friendly,Gaborone,Botswana,False
2014-05-18,Mozambique,South Sudan,5,0,African Cup of Nations qualification,Maputo,Mozambique,False
2014-05-30,South Sudan,Mozambique,0,0,African Cup of Nations qualification,Khartoum,Sudan,True
2015-06-07,Kenya,South Sudan,2,0,Friendly,Kigali,Rwanda,True
2015-06-13,Mali,South Sudan,2,0,African Cup of Nations qualification,Bamako,Mali,False
2015-09-05,South Sudan,Equatorial Guinea,1,0,African Cup of Nations qualification,Juba,South Sudan,False
2015-10-07,South Sudan,Mauritania,1,1,FIFA World Cup qualification,Juba,South Sudan,False
2015-10-13,Mauritania,South Sudan,4,0,FIFA World Cup qualification,Nouakchott,Mauritania,False
2015-11-23,South Sudan,Djibouti,2,0,CECAFA Cup,Bahir Dar,Ethiopia,True
2015-11-25,South Sudan,Sudan,0,0,CECAFA Cup,Bahir Dar,Ethiopia,True
2015-11-27,South Sudan,Malawi,2,0,CECAFA Cup,Bahir Dar,Ethiopia,True
2015-12-01,South Sudan,Sudan,0,0,CECAFA Cup,Addis Ababa,Ethiopia,True
2016-03-23,South Sudan,Benin,1,2,African Cup of Nations qualification,Juba,South Sudan,False
2016-03-27,Benin,South Sudan,4,1,African Cup of Nations qualification,Cotonou,Benin,False
2016-06-04,South Sudan,Mali,0,3,African Cup of Nations qualification,Juba,South Sudan,False
2016-09-04,Equatorial Guinea,South Sudan,4,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False
2017-03-22,Djibouti,South Sudan,2,0,African Cup of Nations qualification,Djibouti,Djibouti,False
2017-03-28,South Sudan,Djibouti,6,0,African Cup of Nations qualification,Juba,South Sudan,False
2017-06-10,Burundi,South Sudan,3,0,African Cup of Nations qualification,Bujumbura,Burundi,False
2017-12-05,South Sudan,Ethiopia,0,3,CECAFA Cup,Kakamega,Kenya,True
2017-12-08,Uganda,South Sudan,5,1,CECAFA Cup,Kakamega,Kenya,True
2017-12-11,South Sudan,Burundi,0,0,CECAFA Cup,Kakamega,Kenya,True
2018-09-09,South Sudan,Mali,0,3,African Cup of Nations qualification,Juba,South Sudan,False
2018-10-12,Gabon,South Sudan,3,0,African Cup of Nations qualification,Libreville,Gabon,False
2018-10-16,South Sudan,Gabon,0,1,African Cup of Nations qualification,Juba,South Sudan,False
2018-11-16,South Sudan,Burundi,2,5,African Cup of Nations qualification,Juba,South Sudan,False
2019-03-23,Mali,South Sudan,3,0,African Cup of Nations qualification,Bamako,Mali,False
2019-09-04,South Sudan,Equatorial Guinea,1,1,FIFA World Cup qualification,Omdurman,Sudan,True
2019-09-08,Equatorial Guinea,South Sudan,1,0,FIFA World Cup qualification,Malabo,Equatorial Guinea,False
2019-10-09,South Sudan,Seychelles,2,1,African Cup of Nations qualification,Omdurman,Sudan,True
2019-10-13,Seychelles,South Sudan,0,1,African Cup of Nations qualification,Victoria,Seychelles,False
2019-11-13,Malawi,South Sudan,1,0,African Cup of Nations qualification,Blantyre,Malawi,False
2019-11-17,South Sudan,Burkina Faso,1,2,African Cup of Nations qualification,Khartoum,Sudan,True
2020-10-13,Cameroon,South Sudan,0,0,Friendly,Yaoundé,Cameroon,False
2020-11-12,Uganda,South Sudan,1,0,African Cup of Nations qualification,Kampala,Uganda,False
2020-11-16,South Sudan,Uganda,1,0,African Cup of Nations qualification,Nairobi,Kenya,True
2021-03-13,Kenya,South Sudan,1,0,Friendly,Nairobi,Kenya,False
2021-03-24,South Sudan,Malawi,0,1,African Cup of Nations qualification,Omdurman,Sudan,True
2021-03-29,Burkina Faso,South Sudan,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
2021-10-06,Sierra Leone,South Sudan,1,1,Friendly,El Jadida,Morocco,True
2021-10-12,South Sudan,Gambia,1,2,Friendly,El Jadida,Morocco,True
2022-01-27,Uzbekistan,South Sudan,3,0,Friendly,Dubai,United Arab Emirates,True
2022-03-23,Djibouti,South Sudan,2,4,African Cup of Nations qualification,Alexandria,Egypt,True
2022-03-27,South Sudan,Djibouti,1,0,African Cup of Nations qualification,Entebbe,Uganda,True
2022-06-04,Gambia,South Sudan,1,0,African Cup of Nations qualification,Thiès,Senegal,True
2022-06-09,South Sudan,Mali,1,3,African Cup of Nations qualification,Entebbe,Uganda,True
2023-03-23,Congo,South Sudan,1,2,African Cup of Nations qualification,Brazzaville,Congo,False
2023-03-27,South Sudan,Congo,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,True
2023-06-14,South Sudan,Gambia,2,3,African Cup of Nations qualification,Ismailia,Egypt,True
2023-06-18,Egypt,South Sudan,3,0,Friendly,Cairo,Egypt,False
2023-09-08,Mali,South Sudan,4,0,African Cup of Nations qualification,Bamako,Mali,False
2023-09-12,Kenya,South Sudan,0,1,Friendly,Nairobi,Kenya,False
2023-11-18,Senegal,South Sudan,4,0,FIFA World Cup qualification,Diamniadio,Senegal,False
2023-11-21,South Sudan,Mauritania,0,0,FIFA World Cup qualification,Diamniadio,Senegal,True
2024-03-22,São Tomé and Príncipe,South Sudan,1,1,African Cup of Nations qualification,Berkane,Morocco,True
2024-03-26,South Sudan,São Tomé and Príncipe,0,0,African Cup of Nations qualification,Berkane,Morocco,True
2024-06-05,Togo,South Sudan,1,1,FIFA World Cup qualification,Lomé,Togo,False
2024-06-11,South Sudan,Sudan,0,3,FIFA World Cup qualification,Juba,South Sudan,False
2024-09-05,Congo,South Sudan,1,0,African Cup of Nations qualification,Brazzaville,Congo,False
2024-09-10,South Sudan,South Africa,2,3,African Cup of Nations qualification,Juba,South Sudan,False
2024-10-11,Uganda,South Sudan,1,0,African Cup of Nations qualification,Kira,Uganda,False
2024-10-15,South Sudan,Uganda,1,2,African Cup of Nations qualification,Juba,South Sudan,False
2025-03-21,DR Congo,South Sudan,1,0,FIFA World Cup qualification,Kinshasa,DR Congo,False
2025-03-25,Sudan,South Sudan,1,1,FIFA World Cup qualification,Benghazi,Libya,True
