Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1920-08-28,Spain,Denmark,1,0,Olympic Games,Brussels,Belgium,True
1920-08-29,Belgium,Spain,3,1,Olympic Games,Antwerp,Belgium,False
1920-09-01,Spain,Sweden,2,1,Olympic Games,Antwerp,Belgium,True
1920-09-02,Spain,Italy,2,0,Olympic Games,Antwerp,Belgium,True
1920-09-05,Spain,Netherlands,3,1,Olympic Games,Antwerp,Belgium,True
1921-12-18,Spain,Portugal,3,1,Friendly,Madrid,Spain,False
1922-04-30,France,Spain,0,4,Friendly,Le Bouscat,France,False
1922-12-17,Portugal,Spain,1,2,Friendly,Lisbon,Portugal,False
1923-01-28,Spain,France,3,0,Friendly,San Sebastián,Spain,False
1923-02-04,Belgium,Spain,1,0,Friendly,Antwerp,Belgium,False
1923-12-16,Spain,Portugal,3,0,Friendly,Seville,Spain,False
1924-03-09,Italy,Spain,0,0,Friendly,Milan,Italy,False
1924-03-13,Catalonia,Spain,0,7,Friendly,Barcelona,Spain,False
1924-05-25,Italy,Spain,1,0,Olympic Games,Colombes,France,True
1924-12-21,Spain,Austria,2,1,Friendly,Barcelona,Spain,False
1925-06-01,Switzerland,Spain,0,3,Friendly,Bern,Switzerland,False
1925-06-14,Spain,Italy,1,0,Friendly,Valencia,Spain,False
1925-09-27,Austria,Spain,0,1,Friendly,Vienna,Austria,False
1925-10-04,Hungary,Spain,0,1,Friendly,Budapest,Hungary,False
1926-12-19,Spain,Hungary,4,2,Friendly,Vigo,Spain,False
1927-04-17,Spain,Switzerland,1,0,Friendly,Santander,Spain,False
1927-05-22,France,Spain,1,4,Friendly,Colombes,France,False
1927-05-29,Italy,Spain,2,0,Friendly,Bologna,Italy,False
1928-01-08,Portugal,Spain,2,2,Friendly,Lisbon,Portugal,False
1928-04-22,Spain,Italy,1,1,Friendly,Gijón,Spain,False
1928-05-30,Spain,Mexico,7,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-01,Italy,Spain,1,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-04,Italy,Spain,7,1,Olympic Games,Amsterdam,Netherlands,True
1929-03-17,Spain,Portugal,5,0,Friendly,Seville,Spain,False
1929-04-14,Spain,France,8,1,Friendly,Zaragoza,Spain,False
1929-05-15,Spain,England,4,3,Friendly,Madrid,Spain,False
1930-01-01,Spain,Czechoslovakia,1,0,Friendly,Barcelona,Spain,False
1930-06-14,Czechoslovakia,Spain,2,0,Friendly,Prague,Czechoslovakia,False
1930-06-22,Italy,Spain,2,3,Friendly,Bologna,Italy,False
1930-11-30,Portugal,Spain,0,1,Friendly,Porto,Portugal,False
1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,False
1931-04-26,Spain,Republic of Ireland,1,1,Friendly,Barcelona,Spain,False
1931-12-09,England,Spain,7,1,Friendly,London,England,False
1931-12-13,Republic of Ireland,Spain,0,5,Friendly,Dublin,Irish Free State,False
1932-04-24,Spain,Yugoslavia,2,1,Friendly,Oviedo,Spain,False
1933-04-02,Spain,Portugal,3,0,Friendly,Vigo,Spain,False
1933-04-23,France,Spain,1,0,Friendly,Colombes,France,False
1933-04-30,Yugoslavia,Spain,1,1,Friendly,Belgrade,Yugoslavia,False
1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,False
1934-02-02,Catalonia,Spain,0,2,Friendly,Barcelona,Spain,False
1934-03-11,Spain,Portugal,9,0,FIFA World Cup qualification,Madrid,Spain,False
1934-03-18,Portugal,Spain,1,2,FIFA World Cup qualification,Lisbon,Portugal,False
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False
1935-01-24,Spain,France,2,0,Friendly,Madrid,Spain,False
1935-05-05,Portugal,Spain,3,3,Friendly,Lisbon,Portugal,False
1935-05-12,Germany,Spain,1,2,Friendly,Cologne,Germany,False
1936-01-19,Spain,Austria,4,5,Friendly,Madrid,Spain,False
1936-02-23,Spain,Germany,1,2,Friendly,Barcelona,Spain,False
1936-05-03,Switzerland,Spain,0,2,Friendly,Bern,Switzerland,False
1937-11-28,Spain,Portugal,1,2,Friendly,Vigo,Spain,False
1938-01-30,Portugal,Spain,1,0,Friendly,Lisbon,Portugal,False
1941-01-12,Portugal,Spain,2,2,Friendly,Lisbon,Portugal,False
1941-03-16,Spain,Portugal,5,1,Friendly,Bilbao,Spain,False
1941-12-28,Spain,Switzerland,3,2,Friendly,Valencia,Spain,False
1942-03-15,Spain,France,4,0,Friendly,Seville,Spain,False
1942-04-12,Germany,Spain,1,1,Friendly,Berlin,Germany,False
1942-04-19,Italy,Spain,4,0,Friendly,Milan,Italy,False
1945-03-11,Portugal,Spain,2,2,Friendly,Oeiras,Portugal,False
1945-05-06,Spain,Portugal,4,2,Friendly,La Coruña,Spain,False
1946-06-23,Spain,Republic of Ireland,0,1,Friendly,Madrid,Spain,False
1947-01-26,Portugal,Spain,4,1,Friendly,Oeiras,Portugal,False
1947-03-02,Republic of Ireland,Spain,3,2,Friendly,Dublin,Éire,False
1947-10-19,Catalonia,Spain,3,1,Friendly,Barcelona,Spain,False
1948-03-21,Spain,Portugal,2,0,Friendly,Madrid,Spain,False
1948-05-30,Spain,Republic of Ireland,2,1,Friendly,Barcelona,Spain,False
1948-06-20,Switzerland,Spain,3,3,Friendly,Zürich,Switzerland,False
1949-01-02,Spain,Belgium,1,1,Friendly,Barcelona,Spain,False
1949-03-20,Portugal,Spain,1,1,Friendly,Oeiras,Portugal,False
1949-03-27,Spain,Italy,1,3,Friendly,Madrid,Spain,False
1949-06-12,Republic of Ireland,Spain,1,4,Friendly,Dublin,Éire,False
1949-06-19,France,Spain,1,5,Friendly,Colombes,France,False
1950-04-02,Spain,Portugal,5,1,FIFA World Cup qualification,Madrid,Spain,False
1950-04-09,Portugal,Spain,2,2,FIFA World Cup qualification,Oeiras,Portugal,False
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True
1950-06-29,Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True
1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True
1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,True
1950-07-13,Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,False
1950-07-16,Spain,Sweden,1,3,FIFA World Cup,São Paulo,Brazil,True
1951-02-18,Spain,Switzerland,6,3,Friendly,Madrid,Spain,False
1951-06-10,Belgium,Spain,3,3,Friendly,Brussels,Belgium,False
1951-06-17,Sweden,Spain,0,0,Friendly,Solna,Sweden,False
1952-06-01,Spain,Republic of Ireland,6,0,Friendly,Madrid,Spain,False
1952-06-08,Turkey,Spain,0,0,Friendly,Istanbul,Turkey,False
1952-12-07,Spain,Argentina,0,1,Friendly,Madrid,Spain,False
1952-12-28,Spain,Germany,2,2,Friendly,Madrid,Spain,False
1953-03-19,Spain,Belgium,3,1,Friendly,Barcelona,Spain,False
1953-07-05,Argentina,Spain,1,0,Friendly,Buenos Aires,Argentina,False
1953-07-12,Chile,Spain,1,2,Friendly,Santiago,Chile,False
1953-08-09,Catalonia,Spain,0,6,Friendly,Barcelona,Spain,False
1953-11-08,Spain,Sweden,2,2,Friendly,Bilbao,Spain,False
1954-01-06,Spain,Turkey,4,1,FIFA World Cup qualification,Madrid,Spain,False
1954-03-14,Turkey,Spain,1,0,FIFA World Cup qualification,Istanbul,Turkey,False
1954-03-17,Turkey,Spain,2,2,FIFA World Cup qualification,Rome,Italy,True
1955-03-17,Spain,France,1,2,Friendly,Madrid,Spain,False
1955-05-18,Spain,England,1,1,Friendly,Madrid,Spain,False
1955-06-19,Switzerland,Spain,0,3,Friendly,Geneva,Switzerland,False
1955-11-27,Republic of Ireland,Spain,2,2,Friendly,Dublin,Republic of Ireland,False
1955-11-30,England,Spain,4,1,Friendly,London,England,False
1956-06-03,Portugal,Spain,3,1,Friendly,Oeiras,Portugal,False
1957-01-30,Spain,Netherlands,5,1,Friendly,Madrid,Spain,False
1957-03-10,Spain,Switzerland,2,2,FIFA World Cup qualification,Madrid,Spain,False
