Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1952-03-24,Sri Lanka,India,1,2,Friendly,Colombo,Ceylon,False
1952-03-28,Sri Lanka,Pakistan,0,2,Friendly,Colombo,Ceylon,False
1953-10-24,Myanmar,Sri Lanka,3,2,Friendly,Yangon,Burma,False
1953-10-27,Sri Lanka,India,0,2,Friendly,Yangon,Burma,True
1954-12-18,Sri Lanka,Pakistan,1,2,Friendly,Calcutta,India,True
1954-12-21,India,Sri Lanka,1,1,Friendly,Calcutta,India,False
1954-12-25,Myanmar,Sri Lanka,1,2,Friendly,Calcutta,India,True
1955-12-18,Sri Lanka,India,3,4,Friendly,Dhaka,Pakistan,True
1955-12-25,Myanmar,Sri Lanka,3,1,Friendly,Dhaka,Pakistan,True
1964-01-12,Sri Lanka,German DR,1,12,Friendly,Colombo,Ceylon,False
1964-02-23,Sri Lanka,Indonesia,3,9,Friendly,Colombo,Ceylon,False
1964-02-29,Sri Lanka,Indonesia,1,4,Friendly,Colombo,Ceylon,False
1965-04-29,Indonesia,Sri Lanka,5,0,Friendly,Jakarta,Indonesia,False
1971-12-13,Iraq,Sri Lanka,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-16,Jordan,Sri Lanka,2,1,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-20,Bahrain,Sri Lanka,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1972-06-09,Myanmar,Sri Lanka,4,2,Indonesia Tournament,Jakarta,Indonesia,True
1972-06-13,Laos,Sri Lanka,1,3,Indonesia Tournament,Jakarta,Indonesia,True
1972-06-23,Singapore,Sri Lanka,3,1,Friendly,Kallang,Singapore,False
1972-07-12,Malaysia,Sri Lanka,4,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1972-07-16,Japan,Sri Lanka,5,0,Merdeka Tournament,Ipoh,Malaysia,True
1972-07-20,Philippines,Sri Lanka,4,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-07-22,Cambodia,Sri Lanka,6,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-07-25,Singapore,Sri Lanka,6,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-08-02,Singapore,Sri Lanka,6,1,Friendly,Kallang,Singapore,False
1972-08-04,Hong Kong,Sri Lanka,2,1,Friendly,Kallang,Singapore,True
1972-09-03,Sri Lanka,China PR,2,3,Friendly,Colombo,Sri Lanka,False
1972-09-12,Sri Lanka,China PR,0,1,Friendly,Colombo,Sri Lanka,False
1979-09-12,South Korea,Sri Lanka,6,0,Korea Cup,Daegu,South Korea,False
1979-09-16,Sri Lanka,Sudan,0,1,Korea Cup,Incheon,South Korea,True
1979-11-22,Thailand,Sri Lanka,5,1,King's Cup,Bangkok,Thailand,False
1979-11-26,Indonesia,Sri Lanka,0,0,King's Cup,Bangkok,Thailand,True
1983-11-20,Sri Lanka,Singapore,0,4,Friendly,Colombo,Sri Lanka,False
1984-10-20,Oman,Sri Lanka,1,1,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-22,Sri Lanka,Nepal,4,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-24,Saudi Arabia,Sri Lanka,5,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
1984-10-28,United Arab Emirates,Sri Lanka,5,1,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1986-04-25,Pakistan,Sri Lanka,1,0,Friendly,Islamabad,Pakistan,False
1986-04-27,Nepal,Sri Lanka,2,2,Friendly,Islamabad,Pakistan,True
1986-04-30,South Korea,Sri Lanka,4,0,Friendly,Islamabad,Pakistan,True
1986-05-01,China PR,Sri Lanka,3,0,Friendly,Islamabad,Pakistan,True
1989-09-21,Bangladesh,Sri Lanka,3,0,South Asian Games,Islamabad,Pakistan,True
1989-09-25,India,Sri Lanka,2,1,South Asian Games,Islamabad,Pakistan,True
1991-12-22,Sri Lanka,Nepal,2,2,South Asian Games,Colombo,Sri Lanka,False
1991-12-26,Sri Lanka,Maldives,0,1,South Asian Games,Colombo,Sri Lanka,False
1993-04-08,Sri Lanka,United Arab Emirates,0,4,FIFA World Cup qualification,Kyoto,Japan,True
1993-04-11,Thailand,Sri Lanka,1,0,FIFA World Cup qualification,Kobe,Japan,True
1993-04-13,Sri Lanka,Bangladesh,0,1,FIFA World Cup qualification,Yokohama,Japan,True
1993-04-15,Japan,Sri Lanka,5,0,FIFA World Cup qualification,Tokyo,Japan,False
1993-04-28,United Arab Emirates,Sri Lanka,3,0,FIFA World Cup qualification,Al Ain,United Arab Emirates,False
1993-05-03,Sri Lanka,Thailand,0,3,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-05-05,Sri Lanka,Japan,0,6,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-05-07,Bangladesh,Sri Lanka,3,0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
1993-12-20,Sri Lanka,Pakistan,2,1,South Asian Games,Dhaka,Bangladesh,True
1993-12-22,India,Sri Lanka,2,0,South Asian Games,Dhaka,Bangladesh,True
1993-12-26,Sri Lanka,Maldives,3,1,South Asian Games,Dhaka,Bangladesh,True
1995-03-29,Sri Lanka,India,2,2,SAFF Cup,Colombo,Sri Lanka,False
1995-03-31,Sri Lanka,Nepal,2,1,SAFF Cup,Colombo,Sri Lanka,False
1995-04-02,Sri Lanka,India,1,0,SAFF Cup,Colombo,Sri Lanka,False
1995-10-29,Myanmar,Sri Lanka,2,0,Friendly,Yangon,Myanmar,False
1995-11-01,Bangladesh,Sri Lanka,1,0,Friendly,Yangon,Myanmar,True
1995-12-23,India,Sri Lanka,1,0,South Asian Games,Madras,India,False
1995-12-25,Bangladesh,Sri Lanka,0,0,South Asian Games,Madras,India,True
1995-12-27,Sri Lanka,Nepal,0,0,South Asian Games,Madras,India,True
1996-06-10,Sri Lanka,Oman,0,3,AFC Asian Cup qualification,Tehran,Iran,True
1996-06-12,Iran,Sri Lanka,7,0,AFC Asian Cup qualification,Tehran,Iran,False
1996-06-14,Sri Lanka,Nepal,3,1,AFC Asian Cup qualification,Tehran,Iran,True
1996-06-17,Sri Lanka,Iran,0,4,AFC Asian Cup qualification,Muscat,Oman,True
1996-06-19,Oman,Sri Lanka,10,0,AFC Asian Cup qualification,Muscat,Oman,False
1996-06-21,Nepal,Sri Lanka,0,2,AFC Asian Cup qualification,Muscat,Oman,True
1996-09-20,Qatar,Sri Lanka,3,0,FIFA World Cup qualification,Doha,Qatar,False
1996-09-24,Sri Lanka,India,1,1,FIFA World Cup qualification,Doha,Qatar,True
1996-09-26,Philippines,Sri Lanka,0,3,FIFA World Cup qualification,Doha,Qatar,True
1997-09-06,Sri Lanka,Pakistan,2,0,SAFF Cup,Kathmandu,Nepal,True
1997-09-08,Nepal,Sri Lanka,1,3,SAFF Cup,Kathmandu,Nepal,False
1997-09-10,Sri Lanka,Maldives,1,2,SAFF Cup,Kathmandu,Nepal,True
1997-09-13,Pakistan,Sri Lanka,1,0,SAFF Cup,Kathmandu,Nepal,True
1998-11-15,Sri Lanka,Maldives,2,2,Friendly,Colombo,Sri Lanka,False
1999-04-23,Sri Lanka,Maldives,0,0,SAFF Cup,Margao,India,True
1999-04-25,Sri Lanka,Nepal,2,3,SAFF Cup,Margao,India,True
1999-09-24,Sri Lanka,Maldives,0,4,South Asian Games,Kathmandu,Nepal,True
1999-09-29,Bangladesh,Sri Lanka,1,0,South Asian Games,Kathmandu,Nepal,True
1999-11-23,Sri Lanka,Uzbekistan,0,6,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1999-11-25,Sri Lanka,Bangladesh,1,3,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1999-11-27,Sri Lanka,India,1,3,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1999-11-29,United Arab Emirates,Sri Lanka,6,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
2000-05-01,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2000-05-05,India,Sri Lanka,0,1,Friendly,Malé,Maldives,True
2000-05-07,Bangladesh,Sri Lanka,0,1,Friendly,Malé,Maldives,True
2000-05-10,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2000-08-25,Vietnam,Sri Lanka,2,2,Friendly,Ho Chi Minh City,Vietnam,False
2000-10-23,Malaysia,Sri Lanka,2,0,Friendly,Kuala Lumpur,Malaysia,False
2000-10-25,Malaysia,Sri Lanka,3,1,Friendly,Kuala Lumpur,Malaysia,False
2000-10-28,Singapore,Sri Lanka,4,0,Friendly,Singapore,Singapore,False
2001-03-28,Sri Lanka,Cambodia,1,0,Friendly,Colombo,Sri Lanka,False
2001-05-13,Thailand,Sri Lanka,4,2,FIFA World Cup qualification,Beirut,Lebanon,True
2001-05-15,Lebanon,Sri Lanka,4,0,FIFA World Cup qualification,Beirut,Lebanon,False
2001-05-17,Pakistan,Sri Lanka,3,3,FIFA World Cup qualification,Beirut,Lebanon,True
2001-05-26,Thailand,Sri Lanka,3,0,FIFA World Cup qualification,Bangkok,Thailand,False
2001-05-28,Sri Lanka,Lebanon,0,5,FIFA World Cup qualification,Bangkok,Thailand,True
2001-05-30,Sri Lanka,Pakistan,3,1,FIFA World Cup qualification,Bangkok,Thailand,True
2002-03-17,Sri Lanka,Pakistan,1,1,Friendly,Colombo,Sri Lanka,False
2002-03-19,Sri Lanka,Pakistan,0,0,Friendly,Kurunegala,Sri Lanka,False
2002-03-23,Sri Lanka,Pakistan,1,0,Friendly,Colombo,Sri Lanka,False
2002-03-25,Sri Lanka,Pakistan,2,1,Friendly,Kalutara,Sri Lanka,False
2002-04-04,Sri Lanka,Maldives,1,0,Friendly,Colombo,Sri Lanka,False
2002-04-06,Sri Lanka,Maldives,1,1,Friendly,Jaffna,Sri Lanka,False
2002-11-27,Sri Lanka,Vietnam,1,2,Friendly,Colombo,Sri Lanka,False
2002-11-29,Sri Lanka,Vietnam,1,1,Friendly,Colombo,Sri Lanka,False
2002-12-01,Sri Lanka,Vietnam,2,2,Friendly,Colombo,Sri Lanka,False
2003-01-10,Sri Lanka,Afghanistan,1,0,SAFF Cup,Dhaka,Bangladesh,True
2003-01-12,Pakistan,Sri Lanka,2,1,SAFF Cup,Dhaka,Bangladesh,True
2003-01-14,India,Sri Lanka,1,1,SAFF Cup,Dhaka,Bangladesh,True
2003-03-21,Sri Lanka,Timor-Leste,3,2,AFC Asian Cup qualification,Colombo,Sri Lanka,False
