Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-11-16,Ethiopia,Sudan,2,1,Friendly,Addis Ababa,Ethiopia,False
1957-02-10,Sudan,Egypt,1,2,African Cup of Nations,Khartoum,Sudan,False
1957-02-17,Sudan,Egypt,3,4,Friendly,Khartoum,Sudan,False
1957-03-08,Sudan,Syria,1,0,FIFA World Cup qualification,Khartoum,Sudan,False
1957-05-24,Syria,Sudan,1,1,FIFA World Cup qualification,Damascus,Syria,False
1957-07-21,China PR,Sudan,4,1,Friendly,Beijing,China PR,False
1959-05-25,Ethiopia,Sudan,0,1,African Cup of Nations,Cairo,United Arab Republic,True
1959-05-29,Egypt,Sudan,2,1,African Cup of Nations,Cairo,United Arab Republic,True
1963-06-01,Kenya,Sudan,0,1,African Cup of Nations qualification,Nairobi,Kenya,False
1963-06-16,Ethiopia,Sudan,4,0,Friendly,Addis Ababa,Ethiopia,False
1963-06-30,Sudan,Kenya,5,0,African Cup of Nations qualification,Khartoum,Sudan,False
1963-09-18,Bulgaria,Sudan,1,1,Friendly,Sofia,Bulgaria,False
1963-11-26,Egypt,Sudan,2,2,African Cup of Nations,Kumasi,Ghana,True
1963-11-28,Nigeria,Sudan,0,4,African Cup of Nations,Kumasi,Ghana,True
1963-12-01,Ghana,Sudan,3,0,African Cup of Nations,Accra,Ghana,False
1965-03-27,Sudan,Ethiopia,2,1,African Cup of Nations qualification,Khartoum,Sudan,False
1965-04-18,Ethiopia,Sudan,1,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False
1965-05-01,Uganda,Sudan,1,3,African Cup of Nations qualification,Kampala,Uganda,False
1965-08-22,Sudan,Uganda,4,1,African Cup of Nations qualification,Khartoum,Sudan,False
1966-07-10,Ethiopia,Sudan,1,1,Friendly,Addis Ababa,Ethiopia,False
1966-07-18,Sudan,Uganda,2,1,Friendly,Addis Ababa,Ethiopia,True
1966-12-10,Kenya,Sudan,0,1,Friendly,Nairobi,Kenya,False
1966-12-12,Kenya,Sudan,3,2,Friendly,Nairobi,Kenya,False
1967-01-29,Sudan,German DR,1,2,Friendly,Khartoum,Sudan,False
1967-02-21,Sudan,Tanzania,1,0,Friendly,Khartoum,Sudan,False
1967-02-24,Sudan,Ethiopia,1,1,Friendly,Khartoum,Sudan,False
1967-02-26,Sudan,Ethiopia,5,3,Friendly,Khartoum,Sudan,False
1967-02-28,Ethiopia,Sudan,2,1,Friendly,Addis Ababa,Ethiopia,False
1967-03-07,Libya,Sudan,1,1,Friendly,Tripoli,Libya,False
1967-03-10,Iraq,Sudan,2,2,Friendly,Tripoli,Libya,True
1967-03-18,DR Congo,Sudan,3,2,African Cup of Nations qualification,Kinshasa,Congo-Kinshasa,False
1967-04-02,Sudan,DR Congo,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1967-08-13,DR Congo,Sudan,2,1,African Cup of Nations qualification,Kampala,Uganda,True
1968-10-27,Zambia,Sudan,4,2,FIFA World Cup qualification,Ndola,Zambia,False
1968-11-08,Sudan,Zambia,4,2,FIFA World Cup qualification,Khartoum,Sudan,False
1968-12-12,Kenya,Sudan,1,1,Friendly,Nairobi,Kenya,False
1969-01-08,Kenya,Sudan,0,1,Friendly,Addis Ababa,Ethiopia,True
1969-01-10,Sudan,Tanzania,3,0,Friendly,Addis Ababa,Ethiopia,True
1969-01-12,Ethiopia,Sudan,0,1,Friendly,Addis Ababa,Ethiopia,False
1969-05-04,Ethiopia,Sudan,1,1,FIFA World Cup qualification,Addis Ababa,Ethiopia,False
1969-05-11,Sudan,Ethiopia,3,1,FIFA World Cup qualification,Khartoum,Sudan,False
1969-09-13,Nigeria,Sudan,2,2,FIFA World Cup qualification,Ibadan,Nigeria,False
1969-10-03,Sudan,Nigeria,3,3,FIFA World Cup qualification,Khartoum,Sudan,False
1969-10-10,Sudan,Morocco,0,0,FIFA World Cup qualification,Khartoum,Sudan,False
1969-10-26,Morocco,Sudan,3,0,FIFA World Cup qualification,Casablanca,Morocco,False
1969-11-02,Egypt,Sudan,3,1,Friendly,Cairo,Egypt,False
1970-02-06,Sudan,Ethiopia,3,0,African Cup of Nations,Khartoum,Sudan,False
1970-02-08,Sudan,Ivory Coast,0,1,African Cup of Nations,Khartoum,Sudan,False
1970-02-10,Sudan,Cameroon,2,1,African Cup of Nations,Khartoum,Sudan,False
1970-02-14,Sudan,Egypt,2,1,African Cup of Nations,Khartoum,Sudan,False
1970-02-16,Sudan,Ghana,1,0,African Cup of Nations,Khartoum,Sudan,False
1970-06-30,DR Congo,Sudan,3,0,Friendly,Kinshasa,Congo-Kinshasa,False
1971-06-24,Kenya,Sudan,3,3,Friendly,Nairobi,Kenya,False
1971-07-11,Sudan,Palestine,1,1,Friendly,Tripoli,Libya,True
1971-07-16,Libya,Sudan,4,6,Friendly,Benghazi,Libya,False
1972-02-25,Sudan,DR Congo,1,1,African Cup of Nations,Douala,Cameroon,True
1972-02-27,Morocco,Sudan,1,1,African Cup of Nations,Douala,Cameroon,True
1972-02-29,Congo,Sudan,4,2,African Cup of Nations,Douala,Cameroon,True
1972-07-04,Tanzania,Sudan,3,0,Friendly,Dar es Salaam,Tanzania,False
1972-07-09,Uganda,Sudan,4,0,Friendly,Kampala,Uganda,False
1972-07-16,Kenya,Sudan,2,0,FIFA World Cup qualification,Nairobi,Kenya,False
1972-07-23,Sudan,Kenya,1,0,FIFA World Cup qualification,Khartoum,Sudan,False
1973-03-10,Sudan,Ethiopia,1,0,Friendly,Khartoum,Sudan,False
1973-04-13,Sudan,Nigeria,1,1,African Cup of Nations qualification,Khartoum,Sudan,False
1973-04-21,Nigeria,Sudan,2,1,African Cup of Nations qualification,Lagos,Nigeria,False
1974-09-28,Yemen,Sudan,0,6,Kuneitra Cup,Damascus,Syria,True
1974-09-30,Palestine,Sudan,1,3,Kuneitra Cup,Damascus,Syria,True
1974-10-04,Libya,Sudan,1,3,Kuneitra Cup,Damascus,Syria,True
1974-10-07,Morocco,Sudan,2,0,Kuneitra Cup,Damascus,Syria,True
1974-10-09,Sudan,Tunisia,1,3,Kuneitra Cup,Damascus,Syria,True
1975-03-23,Sudan,Kenya,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1975-03-23,Kenya,Sudan,0,2,African Cup of Nations qualification,Nairobi,Kenya,False
1975-07-06,Tunisia,Sudan,3,2,African Cup of Nations qualification,Tunis,Tunisia,False
1975-08-15,Sudan,Tunisia,2,1,African Cup of Nations qualification,Khartoum,Sudan,False
1975-12-19,Palestine,Sudan,0,0,Palestine Cup,Tunis,Tunisia,True
1975-12-21,Palestine,Sudan,0,1,Palestine Cup,Tunis,Tunisia,True
1975-12-26,Egypt,Sudan,3,1,Palestine Cup,Tunis,Tunisia,True
1975-12-28,Sudan,Syria,1,0,Palestine Cup,Tunis,Tunisia,True
1976-01-01,Libya,Sudan,1,0,Friendly,Tripoli,Libya,False
1976-03-01,Morocco,Sudan,2,2,African Cup of Nations,Dire Dawa,Ethiopia,True
1976-03-04,Nigeria,Sudan,1,0,African Cup of Nations,Dire Dawa,Ethiopia,True
1976-03-06,Sudan,DR Congo,1,1,African Cup of Nations,Dire Dawa,Ethiopia,True
1978-01-26,Sudan,Kenya,3,0,Friendly,Khartoum,Sudan,False
1978-01-30,Sudan,Congo,2,1,Friendly,Khartoum,Sudan,False
1979-06-29,Sudan,Ivory Coast,2,0,African Cup of Nations qualification,Khartoum,Sudan,False
1979-07-06,Ivory Coast,Sudan,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1979-09-08,South Korea,Sudan,8,0,Korea Cup,Seoul,South Korea,False
1979-09-10,Bangladesh,Sudan,1,4,Korea Cup,Seoul,South Korea,True
1979-09-16,Sri Lanka,Sudan,0,1,Korea Cup,Incheon,South Korea,True
1979-11-07,Malawi,Sudan,4,0,CECAFA Cup,Mombasa,Kenya,True
1979-11-09,Sudan,Zanzibar,1,1,CECAFA Cup,Nairobi,Kenya,True
1980-11-14,Sudan,Tanzania,0,1,CECAFA Cup,Khartoum,Sudan,False
1980-11-20,Sudan,Somalia,2,0,CECAFA Cup,Khartoum,Sudan,False
1980-11-28,Sudan,Tanzania,1,0,CECAFA Cup,Khartoum,Sudan,False
1980-12-12,Algeria,Sudan,2,0,FIFA World Cup qualification,Constantine,Algeria,False
1980-12-28,Sudan,Algeria,1,1,FIFA World Cup qualification,Khartoum,Sudan,False
1981-04-19,Ethiopia,Sudan,1,1,Friendly,Addis Ababa,Ethiopia,False
1981-04-21,Ethiopia,Sudan,2,0,Friendly,Addis Ababa,Ethiopia,False
1981-11-15,Sudan,Uganda,2,2,CECAFA Cup,Dodoma,Tanzania,True
1981-11-17,Sudan,Zimbabwe,0,0,CECAFA Cup,Dodoma,Tanzania,True
1981-11-21,Sudan,Zambia,0,2,CECAFA Cup,Dar es Salaam,Tanzania,True
1982-11-14,Kenya,Sudan,2,0,CECAFA Cup,Jinja,Uganda,True
1982-11-18,Sudan,Zanzibar,0,1,CECAFA Cup,Kampala,Uganda,True
1983-04-10,Sudan,Zambia,2,1,African Cup of Nations qualification,Khartoum,Sudan,False
1983-04-24,Zambia,Sudan,0,0,African Cup of Nations qualification,Lusaka,Zambia,False
1983-06-09,New Zealand,Sudan,1,1,Korea Cup,Daegu,South Korea,True
1983-06-13,Ghana,Sudan,3,1,Korea Cup,Seoul,South Korea,True
1983-07-08,Qatar,Sudan,3,1,Friendly,Doha,Qatar,False
1983-07-10,Qatar,Sudan,2,0,Friendly,Doha,Qatar,False
1983-08-14,Cameroon,Sudan,5,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
1983-08-28,Sudan,Cameroon,2,0,African Cup of Nations qualification,Khartoum,Sudan,False
1983-11-14,Sudan,Uganda,1,2,CECAFA Cup,Nairobi,Kenya,True
1983-11-16,Sudan,Tanzania,1,0,CECAFA Cup,Nairobi,Kenya,True
1983-11-19,Ethiopia,Sudan,0,2,CECAFA Cup,Nairobi,Kenya,True
1983-11-21,Kenya,Sudan,1,0,CECAFA Cup,Nairobi,Kenya,False
1984-10-13,Tanzania,Sudan,1,1,FIFA World Cup qualification,Mwanza,Tanzania,False
1984-10-27,Sudan,Tanzania,0,0,FIFA World Cup qualification,Khartoum,Sudan,False
1985-02-22,Sudan,Libya,0,0,FIFA World Cup qualification,Khartoum,Sudan,False
1985-03-08,Libya,Sudan,4,0,FIFA World Cup qualification,Tripoli,Libya,False
1987-03-29,Sudan,Tanzania,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1987-04-11,Tanzania,Sudan,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1987-07-05,Cameroon,Sudan,2,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
1987-07-18,Sudan,Cameroon,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1988-08-07,Angola,Sudan,0,0,FIFA World Cup qualification,Luanda,Angola,False
1988-11-11,Sudan,Angola,1,2,FIFA World Cup qualification,Khartoum,Sudan,False
1989-04-07,Sudan,Kenya,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1989-04-23,Kenya,Sudan,1,0,African Cup of Nations qualification,Nairobi,Kenya,False
1990-08-17,Sudan,Mozambique,1,0,African Cup of Nations qualification,Khartoum,Sudan,False
1990-12-12,Kenya,Sudan,1,2,CECAFA Cup,Zanzibar City,Zanzibar,True
1990-12-14,Sudan,Uganda,2,2,CECAFA Cup,Zanzibar City,Zanzibar,True
