Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1908-07-12,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,False
1908-10-23,Netherlands,Sweden,2,0,Olympic Games,London,England,True
1908-10-25,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,False
1908-10-26,Belgium,Sweden,2,1,Friendly,Brussels,Belgium,False
1910-09-11,Norway,Sweden,0,4,Friendly,Kristiania,Norway,False
1911-06-18,Sweden,Germany,2,4,Friendly,Solna,Sweden,False
1911-09-17,Sweden,Norway,4,1,Friendly,Solna,Sweden,False
1911-10-22,Finland,Sweden,2,5,Friendly,Helsinki,Finland,False
1911-10-29,Germany,Sweden,1,3,Friendly,Hamburg,Germany,False
1912-06-16,Norway,Sweden,1,2,Friendly,Kristiania,Norway,False
1912-06-20,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,False
1912-06-27,Sweden,Finland,7,1,Friendly,Solna,Sweden,False
1912-06-29,Sweden,Netherlands,3,4,Olympic Games,Stockholm,Sweden,False
1912-07-01,Sweden,Italy,0,1,Olympic Games,Stockholm,Sweden,False
1912-11-03,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,False
1913-05-04,Russia,Sweden,1,4,Friendly,Moscow,Russia,False
1913-05-18,Hungary,Sweden,2,0,Friendly,Budapest,Hungary,False
1913-05-25,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,False
1913-06-08,Sweden,Norway,9,0,Friendly,Stockholm,Sweden,False
1913-10-05,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,False
1913-10-26,Norway,Sweden,1,1,Friendly,Kristiania,Norway,False
1914-05-24,Sweden,Finland,4,3,Friendly,Solna,Sweden,False
1914-06-21,Sweden,Hungary,1,1,Friendly,Solna,Sweden,False
1914-06-28,Norway,Sweden,0,1,Friendly,Kristiania,Norway,False
1914-07-05,Sweden,Russia,2,2,Friendly,Solna,Sweden,False
1914-10-25,Sweden,Norway,7,0,Friendly,Solna,Sweden,False
1915-06-06,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark,False
1915-06-27,Norway,Sweden,1,1,Friendly,Kristiania,Norway,False
1915-10-24,Sweden,Norway,5,2,Friendly,Stockholm,Sweden,False
1915-10-31,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden,False
1916-06-04,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark,False
