Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-02-12,France,Switzerland,1,0,Friendly,Paris,France,False
1908-03-08,Switzerland,France,1,2,Friendly,Geneva,Switzerland,False
1908-04-05,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,False
1909-04-04,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,False
1910-04-03,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,False
1911-01-08,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,False
1911-03-26,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,False
1911-04-23,Switzerland,France,5,2,Friendly,Geneva,Switzerland,False
1911-05-07,Italy,Switzerland,2,2,Friendly,Milan,Italy,False
1911-05-21,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,False
1911-10-29,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,False
1912-02-18,France,Switzerland,4,1,Friendly,Saint-Ouen,France,False
1912-02-20,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,False
1912-05-05,Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,False
1913-03-09,Switzerland,France,1,4,Friendly,Geneva,Switzerland,False
1913-05-04,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,False
1913-05-18,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,False
1913-11-02,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium,False
1914-03-08,France,Switzerland,2,2,Friendly,Saint-Ouen,France,False
1914-04-05,Italy,Switzerland,1,1,Friendly,Genoa,Italy,False
1914-05-17,Switzerland,Italy,0,1,Friendly,Bern,Switzerland,False
1915-01-31,Italy,Switzerland,3,1,Friendly,Turin,Italy,False
1917-12-23,Switzerland,Austria,0,1,Friendly,Basel,Switzerland,False
1917-12-26,Switzerland,Austria,3,2,Friendly,Zürich,Switzerland,False
1918-05-09,Austria,Switzerland,5,1,Friendly,Vienna,Austria,False
1918-05-12,Hungary,Switzerland,2,1,Friendly,Budapest,Hungary,False
1920-02-29,Switzerland,France,0,2,Friendly,Geneva,Switzerland,False
1920-03-28,Switzerland,Italy,3,0,Friendly,Bern,Switzerland,False
1920-05-16,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,False
1920-06-06,Sweden,Switzerland,0,1,Friendly,Stockholm,Sweden,False
1920-06-27,Switzerland,Germany,4,1,Friendly,Zürich,Switzerland,False
1921-03-06,Italy,Switzerland,2,1,Friendly,Milan,Italy,False
1921-05-01,Switzerland,Austria,2,2,Friendly,St. Gallen,Switzerland,False
1921-11-06,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,False
1922-03-26,Germany,Switzerland,2,2,Friendly,Frankfurt am Main,Germany,False
1922-06-11,Austria,Switzerland,7,1,Friendly,Vienna,Austria,False
1922-06-15,Hungary,Switzerland,1,1,Friendly,Budapest,Hungary,False
1922-11-19,Switzerland,Netherlands,5,0,Friendly,Bern,Switzerland,False
1922-12-03,Italy,Switzerland,2,2,Friendly,Bologna,Italy,False
1923-01-21,Switzerland,Austria,2,0,Friendly,Geneva,Switzerland,False
1923-03-11,Switzerland,Hungary,1,6,Friendly,Lausanne,Switzerland,False
1923-04-22,France,Switzerland,2,2,Friendly,Vincennes,France,False
1923-06-03,Switzerland,Germany,1,2,Friendly,Basel,Switzerland,False
1923-06-17,Denmark,Switzerland,3,2,Friendly,Copenhagen,Denmark,False
1923-06-21,Norway,Switzerland,2,2,Friendly,Kristiania,Norway,False
1923-11-25,Netherlands,Switzerland,4,1,Friendly,Amsterdam,Netherlands,False
1924-03-23,Switzerland,France,3,0,Friendly,Geneva,Switzerland,False
1924-04-21,Switzerland,Denmark,2,0,Friendly,Basel,Switzerland,False
1924-05-18,Switzerland,Hungary,4,2,Friendly,Zürich,Switzerland,False
1924-05-25,Switzerland,Lithuania,9,0,Olympic Games,Vincennes,France,True
1924-05-28,Switzerland,Czechoslovakia,1,1,Olympic Games,Paris,France,True
1924-05-30,Switzerland,Czechoslovakia,1,0,Olympic Games,Paris,France,True
1924-06-02,Switzerland,Italy,2,1,Olympic Games,Paris,France,True
1924-06-05,Switzerland,Sweden,2,1,Olympic Games,Colombes,France,True
1924-06-09,Uruguay,Switzerland,3,0,Olympic Games,Colombes,France,True
1924-12-14,Germany,Switzerland,1,1,Friendly,Stuttgart,Germany,False
1925-03-22,Austria,Switzerland,2,0,Friendly,Vienna,Austria,False
1925-03-25,Hungary,Switzerland,5,0,Friendly,Budapest,Hungary,False
1925-04-19,Switzerland,Netherlands,4,1,Friendly,Zürich,Switzerland,False
1925-05-24,Switzerland,Belgium,0,0,Friendly,Lausanne,Switzerland,False
1925-06-01,Switzerland,Spain,0,3,Friendly,Bern,Switzerland,False
1925-10-25,Switzerland,Germany,0,4,Friendly,Basel,Switzerland,False
1925-11-08,Switzerland,Austria,2,0,Friendly,Bern,Switzerland,False
1926-03-28,Netherlands,Switzerland,5,0,Friendly,Amsterdam,Netherlands,False
1926-04-18,Switzerland,Italy,1,1,Friendly,Zürich,Switzerland,False
1926-04-25,France,Switzerland,1,0,Friendly,Colombes,France,False
1926-05-09,Italy,Switzerland,3,2,Friendly,Milan,Italy,False
1926-10-10,Austria,Switzerland,7,1,Friendly,Vienna,Austria,False
1926-12-12,Germany,Switzerland,2,3,Friendly,Munich,Germany,False
1927-01-30,Switzerland,Italy,1,5,Friendly,Geneva,Switzerland,False
1927-04-17,Spain,Switzerland,1,0,Friendly,Santander,Spain,False
1927-05-29,Switzerland,Austria,1,4,Friendly,Zürich,Switzerland,False
1927-11-06,Switzerland,Sweden,2,2,Friendly,Zürich,Switzerland,False
1928-01-01,Italy,Switzerland,3,2,Central European International Cup,Genoa,Italy,False
1928-03-11,Switzerland,France,4,3,Friendly,Lausanne,Switzerland,False
1928-04-15,Switzerland,Germany,2,3,Friendly,Bern,Switzerland,False
1928-05-06,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,False
1928-05-28,Germany,Switzerland,4,0,Olympic Games,Amsterdam,Netherlands,True
1928-08-17,Belarus,Switzerland,6,3,Friendly,Moscow,Soviet Union,True
1928-10-14,Switzerland,Italy,2,3,Central European International Cup,Zürich,Switzerland,False
1928-10-28,Austria,Switzerland,2,0,Central European International Cup,Vienna,Austria,False
1928-11-01,Hungary,Switzerland,3,1,Central European International Cup,Budapest,Hungary,False
1929-02-10,Germany,Switzerland,7,1,Friendly,Mannheim,Germany,False
1929-03-17,Netherlands,Switzerland,3,2,Friendly,Amsterdam,Netherlands,False
1929-04-14,Switzerland,Hungary,4,5,Central European International Cup,Bern,Switzerland,False
1929-05-05,Switzerland,Czechoslovakia,1,4,Central European International Cup,Lausanne,Switzerland,False
1929-10-06,Czechoslovakia,Switzerland,5,0,Central European International Cup,Prague,Czechoslovakia,False
1929-10-27,Switzerland,Austria,1,3,Central European International Cup,Bern,Switzerland,False
1930-02-09,Italy,Switzerland,4,2,Friendly,Rome,Italy,False
1930-03-23,France,Switzerland,3,3,Friendly,Colombes,France,False
1930-04-13,Switzerland,Hungary,2,2,Friendly,Basel,Switzerland,False
1930-05-04,Switzerland,Germany,0,5,Friendly,Zürich,Switzerland,False
1930-06-15,Sweden,Switzerland,1,0,Friendly,Stockholm,Sweden,False
1930-06-19,Norway,Switzerland,3,0,Friendly,Oslo,Norway,False
1930-11-02,Switzerland,Netherlands,6,3,Friendly,Zürich,Switzerland,False
1931-03-29,Switzerland,Italy,1,1,Central European International Cup,Bern,Switzerland,False
1931-04-12,Hungary,Switzerland,6,2,Central European International Cup,Budapest,Hungary,False
1931-05-24,Switzerland,Scotland,2,3,Friendly,Geneva,Switzerland,False
1931-06-13,Czechoslovakia,Switzerland,7,3,Central European International Cup,Prague,Czechoslovakia,False
1931-06-16,Austria,Switzerland,2,0,Friendly,Vienna,Austria,False
1931-11-29,Switzerland,Austria,1,8,Central European International Cup,Basel,Switzerland,False
1931-12-06,Belgium,Switzerland,2,1,Friendly,Brussels,Belgium,False
1932-02-14,Italy,Switzerland,3,0,Central European International Cup,Naples,Italy,False
1932-03-06,Germany,Switzerland,2,0,Friendly,Leipzig,Germany,False
1932-03-20,Switzerland,France,3,3,Friendly,Bern,Switzerland,False
1932-04-17,Switzerland,Czechoslovakia,5,1,Central European International Cup,Zürich,Switzerland,False
1932-06-19,Switzerland,Hungary,3,1,Central European International Cup,Bern,Switzerland,False
1932-10-23,Austria,Switzerland,3,1,Central European International Cup,Vienna,Austria,False
1932-11-06,Switzerland,Sweden,2,1,Friendly,Basel,Switzerland,False
1933-01-22,Netherlands,Switzerland,0,2,Friendly,Amsterdam,Netherlands,False
1933-03-12,Switzerland,Belgium,3,3,Friendly,Zürich,Switzerland,False
1933-04-02,Switzerland,Italy,0,3,Central European International Cup,Geneva,Switzerland,False
1933-05-07,Switzerland,Yugoslavia,4,1,Friendly,Zürich,Switzerland,False
1933-05-20,Switzerland,England,0,4,Friendly,Bern,Switzerland,False
1933-09-17,Hungary,Switzerland,3,0,Central European International Cup,Budapest,Hungary,False
1933-09-24,Yugoslavia,Switzerland,2,2,FIFA World Cup qualification,Belgrade,Yugoslavia,False
1933-10-29,Switzerland,Romania,2,2,FIFA World Cup qualification,Bern,Switzerland,False
1933-11-19,Switzerland,Germany,0,2,Friendly,Zürich,Switzerland,False
1933-12-03,Italy,Switzerland,5,2,Central European International Cup,Florence,Italy,False
1934-03-11,France,Switzerland,0,1,Friendly,Paris,France,False
1934-03-25,Switzerland,Austria,2,3,Central European International Cup,Geneva,Switzerland,False
1934-05-27,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,True
1934-05-31,Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,True
1934-10-14,Switzerland,Czechoslovakia,2,2,Central European International Cup,Geneva,Switzerland,False
1934-11-04,Switzerland,Netherlands,2,4,Friendly,Bern,Switzerland,False
1934-11-11,Austria,Switzerland,3,0,Central European International Cup,Vienna,Austria,False
1935-01-27,Germany,Switzerland,4,0,Friendly,Stuttgart,Germany,False
1935-03-17,Czechoslovakia,Switzerland,3,1,Central European International Cup,Prague,Czechoslovakia,False
1935-04-14,Switzerland,Hungary,6,2,Central European International Cup,Zürich,Switzerland,False
1935-05-05,Switzerland,Republic of Ireland,1,0,Friendly,Basel,Switzerland,False
1935-05-30,Belgium,Switzerland,2,2,Friendly,Brussels,Belgium,False
1935-10-27,Switzerland,France,2,1,Friendly,Geneva,Switzerland,False
1935-11-03,Switzerland,Norway,2,0,Friendly,Zürich,Switzerland,False
1935-11-10,Hungary,Switzerland,6,1,Friendly,Budapest,Hungary,False
1936-03-17,Republic of Ireland,Switzerland,1,0,Friendly,Dublin,Irish Free State,False
1936-04-05,Switzerland,Italy,1,2,Friendly,Zürich,Switzerland,False
1936-05-03,Switzerland,Spain,0,2,Friendly,Bern,Switzerland,False
1936-05-24,Switzerland,Belgium,1,1,Friendly,Basel,Switzerland,False
1936-06-18,Norway,Switzerland,1,2,Friendly,Oslo,Norway,False
1936-06-21,Sweden,Switzerland,5,2,Friendly,Stockholm,Sweden,False
1936-10-25,Italy,Switzerland,4,2,Central European International Cup,Milan,Italy,False
1936-11-08,Switzerland,Austria,1,3,Central European International Cup,Zürich,Switzerland,False
