Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2014-11-08,Székely Land,Raetia,3,0,Friendly,Sepsiszentgyörgy,Romania,False
2015-06-17,Székely Land,County of Nice,2,3,CONIFA European Football Cup,Debrecen,Hungary,False
2015-06-18,Székely Land,Felvidék,1,3,CONIFA European Football Cup,Debrecen,Hungary,False
2015-06-19,Székely Land,Romani people,2,4,CONIFA European Football Cup,Debrecen,Hungary,False
2016-05-29,Iraqi Kurdistan,Székely Land,3,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-05-30,United Koreans in Japan,Székely Land,1,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-02,Székely Land,Raetia,7,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-03,Somaliland,Székely Land,7,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-08-01,Délvidék,Székely Land,3,1,Hungary Heritage Cup,Szarvas,Hungary,True
2017-06-05,Felvidék,Székely Land,1,0,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
2017-06-06,Székely Land,Padania,1,1,CONIFA European Football Cup,Famagusta,Northern Cyprus,True
2017-06-07,Ellan Vannin,Székely Land,2,4,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2017-06-09,Northern Cyprus,Székely Land,2,1,CONIFA European Football Cup,Nicosia,Northern Cyprus,False
2017-06-10,Székely Land,Abkhazia,3,1,CONIFA European Football Cup,Kyrenia,Northern Cyprus,True
2018-05-31,Székely Land,Tuvalu,4,0,CONIFA World Football Cup,Haringey,England,True
2018-06-02,Székely Land,Matabeleland,5,0,CONIFA World Football Cup,Haringey,England,True
2018-06-03,Padania,Székely Land,3,1,CONIFA World Football Cup,Bedfont,England,True
2018-06-05,Western Armenia,Székely Land,0,4,CONIFA World Football Cup,Bromley,England,True
2018-06-07,Kárpátalja,Székely Land,4,2,CONIFA World Football Cup,Carshalton,England,True
2018-06-09,Padania,Székely Land,0,0,CONIFA World Football Cup,Enfield,England,True
2019-06-02,Padania,Székely Land,4,0,CONIFA European Football Cup,Martakert,Azerbaijan,True
2019-06-03,Székely Land,Western Armenia,0,5,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-04,South Ossetia,Székely Land,2,2,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-06,Artsakh,Székely Land,2,1,CONIFA European Football Cup,Martuni,Azerbaijan,False
2019-06-08,Sápmi,Székely Land,3,2,CONIFA European Football Cup,Askeran,Azerbaijan,True
2023-06-30,Székely Land,Chameria,3,2,CONIFA World Football Cup qualification,Miercurea Ciuc,Hungary,False
2023-07-02,Székely Land,Two Sicilies,7,0,CONIFA World Football Cup qualification,Miercurea Ciuc,Hungary,False
