Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2006-11-20,Occitania,Sápmi,0,7,Viva World Cup,Costebelle,France,False
2006-11-21,Sápmi,Ambazonia,3,0,Viva World Cup,Costebelle,France,True
2006-11-23,Sápmi,Monaco,14,0,Viva World Cup,Hyères,France,True
2006-11-24,Sápmi,Monaco,21,1,Viva World Cup,Hyères,France,True
2008-07-07,Sápmi,Iraqi Kurdistan,2,2,Viva World Cup,Gällivare,Sweden,False
2008-07-09,Sápmi,Arameans Suryoye,0,1,Viva World Cup,Gällivare,Sweden,False
2008-07-11,Sápmi,Padania,0,2,Viva World Cup,Malmberget,Sweden,False
2008-07-12,Sápmi,Provence,4,2,Viva World Cup,Gällivare,Sweden,False
2008-07-13,Sápmi,Iraqi Kurdistan,3,1,Viva World Cup,Malmberget,Sweden,False
2009-06-23,Sápmi,Provence,1,2,Viva World Cup,Varese,Italy,True
2009-06-24,Sápmi,Gozo,7,2,Viva World Cup,Brescia,Italy,True
2009-06-25,Padania,Sápmi,4,0,Viva World Cup,Varese,Italy,False
2009-06-26,Provence,Sápmi,4,4,Viva World Cup,Brescia,Italy,True
2012-03-30,Occitania,Sápmi,3,2,Friendly,Toulouse,France,False
2014-06-02,Sápmi,Abkhazia,1,2,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-03,Sápmi,Occitania,0,1,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-05,Sápmi,Tamil Eelam,4,2,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-07,Sápmi,Artsakh,1,5,CONIFA World Football Cup,Östersund,Sweden,False
2016-05-29,Sápmi,Somaliland,5,0,CONIFA World Football Cup,Gagra,Georgia,True
2016-05-30,Sápmi,Panjab,0,1,CONIFA World Football Cup,Gagra,Georgia,True
2016-06-01,Abkhazia,Sápmi,2,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-06-03,United Koreans in Japan,Sápmi,1,2,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-04,Sápmi,Western Armenia,3,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2019-06-02,Artsakh,Sápmi,3,2,CONIFA European Football Cup,Stepanakert,Azerbaijan,False
2019-06-03,Sápmi,Abkhazia,0,1,CONIFA European Football Cup,Martakert,Azerbaijan,True
2019-06-04,Chameria,Sápmi,4,0,CONIFA European Football Cup,Martakert,Azerbaijan,True
2019-06-06,Padania,Sápmi,4,0,CONIFA European Football Cup,Martakert,Azerbaijan,True
2019-06-08,Sápmi,Székely Land,3,2,CONIFA European Football Cup,Askeran,Azerbaijan,True
2023-07-16,Kernow,Sápmi,2,1,CONIFA World Football Cup qualification,Falmouth,England,False
