Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2012-06-05,Raetia,Tamil Eelam,1,0,Viva World Cup,Erbil,Iraq,True
2012-06-06,Tamil Eelam,Zanzibar,0,3,Viva World Cup,Erbil,Iraq,True
2012-06-07,Occitania,Tamil Eelam,7,0,Viva World Cup,Erbil,Iraq,True
2012-06-09,Tamil Eelam,Raetia,4,0,Viva World Cup,Erbil,Iraq,True
2013-07-04,Sealand,Tamil Eelam,3,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-06,Tamil Eelam,Occitania,0,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-07,Raetia,Tamil Eelam,0,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2014-06-02,Tamil Eelam,Arameans Suryoye,0,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-03,Tamil Eelam,Iraqi Kurdistan,0,9,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-05,Sápmi,Tamil Eelam,4,2,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-07,Tamil Eelam,Darfur,10,0,CONIFA World Football Cup,Östersund,Sweden,True
2016-03-13,Tamil Eelam,Romani people,4,1,ConIFA Challenger Cup,Remscheid,Germany,True
2016-08-25,Barawa,Tamil Eelam,0,5,World Unity Cup,London,England,False
2016-08-28,Chagos Islands,Tamil Eelam,1,5,World Unity Cup,London,England,True
2017-03-12,Raetia,Tamil Eelam,0,5,Friendly,Trübbach,Switzerland,True
2018-05-31,Barawa,Tamil Eelam,4,0,CONIFA World Football Cup,Bromley,England,False
2018-06-02,Ellan Vannin,Tamil Eelam,2,0,CONIFA World Football Cup,Carshalton,England,True
2018-06-03,Tamil Eelam,Cascadia,0,6,CONIFA World Football Cup,Haringey,England,True
2018-06-05,Abkhazia,Tamil Eelam,6,0,CONIFA World Football Cup,Aveley,England,True
2018-06-07,Tamil Eelam,Tuvalu,4,3,CONIFA World Football Cup,Sutton,England,True
2018-06-09,Matabeleland,Tamil Eelam,1,0,CONIFA World Football Cup,Aveley,England,True
2023-08-04,Tamil Eelam,Hmong,3,0,CONIFA Asia Cup,Alcochete,Portugal,True
2023-08-06,Tibet,Tamil Eelam,1,3,CONIFA Asia Cup,Alcochete,Portugal,True
2023-08-08,Tamil Eelam,Hmong,3,1,CONIFA Asia Cup,Alcochete,Portugal,True
