Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1945-03-28,Uganda,Tanzania,7,0,Friendly,Kampala,Uganda,False
1945-08-20,Uganda,Tanzania,7,0,Friendly,Kampala,Uganda,False
1946-09-18,Kenya,Tanzania,3,0,Friendly,Nairobi,Kenya,False
1947-09-18,Tanzania,Zanzibar,3,1,Friendly,Dar es Salaam,Tanganyika,False
1947-09-20,Tanzania,Uganda,2,4,Friendly,Dar es Salaam,Tanganyika,False
1948-09-23,Uganda,Tanzania,6,0,Friendly,Kampala,Uganda,False
1949-12-08,Kenya,Tanzania,0,2,Friendly,Zanzibar City,Zanzibar,True
1950-10-10,Tanzania,Zanzibar,4,0,Friendly,Nairobi,Kenya,True
1950-10-14,Kenya,Tanzania,1,1,Friendly,Nairobi,Kenya,False
1950-10-16,Kenya,Tanzania,1,2,Friendly,Nairobi,Kenya,False
1951-09-26,Tanzania,Zanzibar,1,0,Friendly,Dar es Salaam,Tanganyika,False
1951-09-29,Tanzania,Kenya,3,2,Friendly,Dar es Salaam,Tanganyika,False
1952-09-23,Uganda,Tanzania,4,0,Friendly,Kampala,Uganda,False
1952-09-26,Tanzania,Zanzibar,1,3,Friendly,Kampala,Uganda,True
1953-09-30,Kenya,Tanzania,7,1,Friendly,Zanzibar City,Zanzibar,True
1954-10-06,Tanzania,Uganda,3,5,Friendly,Nairobi,Kenya,True
1955-10-15,Tanzania,Uganda,1,5,Friendly,Dar es Salaam,Tanganyika,False
1956-11-27,Tanzania,Kenya,0,9,Friendly,Kampala,Uganda,True
1956-11-30,Tanzania,Zanzibar,2,3,Friendly,Kampala,Uganda,True
1957-09-03,Tanzania,Uganda,2,4,Friendly,Zanzibar City,Zanzibar,True
1957-09-05,Zanzibar,Tanzania,3,3,Friendly,Zanzibar City,Zanzibar,False
1958-10-05,Kenya,Tanzania,3,1,Friendly,Nairobi,Kenya,False
1958-10-07,Uganda,Tanzania,2,0,Friendly,Nairobi,Kenya,True
1958-10-10,Tanzania,Zanzibar,3,2,Friendly,Nairobi,Kenya,True
1959-10-03,Tanzania,Zanzibar,2,2,Friendly,Dar es Salaam,Tanganyika,False
1959-10-06,Tanzania,Uganda,2,2,Friendly,Dar es Salaam,Tanganyika,False
1959-10-10,Tanzania,Kenya,0,2,Friendly,Dar es Salaam,Tanganyika,False
1960-10-08,Uganda,Tanzania,1,0,Friendly,Kampala,Uganda,False
1960-10-12,Kenya,Tanzania,5,0,Friendly,Kampala,Uganda,True
1960-10-14,Tanzania,Zanzibar,4,2,Friendly,Kampala,Uganda,True
1961-10-01,Kenya,Tanzania,0,0,Friendly,Mombasa,Kenya,False
1961-10-03,Tanzania,Uganda,3,1,Friendly,Mombasa,Kenya,True
1961-10-06,Tanzania,Zanzibar,3,0,Friendly,Mombasa,Kenya,True
1961-12-09,Tanzania,Kenya,1,3,Friendly,Dar es Salaam,Tanganyika,False
1962-07-28,Kenya,Tanzania,4,3,Friendly,Nairobi,Kenya,False
1962-10-18,Tanzania,Ghana,2,6,Friendly,Dar es Salaam,Tanganyika,False
1962-11-04,Tanzania,Uganda,3,1,Friendly,Dar es Salaam,Tanganyika,False
1962-12-08,Tanzania,Malawi,6,2,Friendly,Dar es Salaam,Tanganyika,False
1962-12-15,Tanzania,Zanzibar,6,0,Friendly,Dar es Salaam,Tanganyika,False
1963-05-02,Tanzania,Ethiopia,0,2,Friendly,Dar es Salaam,Tanganyika,False
1963-09-28,Kenya,Tanzania,4,1,Friendly,Nairobi,Kenya,False
1963-10-02,Tanzania,Uganda,1,1,Friendly,Nairobi,Kenya,True
1963-10-04,Tanzania,Zanzibar,2,1,Friendly,Nairobi,Kenya,True
1963-12-07,Kenya,Tanzania,6,2,Friendly,Nairobi,Kenya,False
1963-12-13,Tanzania,Uganda,0,5,Friendly,Nairobi,Kenya,True
1964-07-03,Zambia,Tanzania,3,0,Friendly,Zomba,Nyasaland,True
1964-09-26,Tanzania,Kenya,1,0,Friendly,Dar es Salaam,Tanzania,False
1964-09-29,Tanzania,Zanzibar,3,1,Friendly,Dar es Salaam,Tanzania,False
1964-10-03,Tanzania,Uganda,3,0,Friendly,Dar es Salaam,Tanzania,False
1965-09-26,Kenya,Tanzania,0,2,Friendly,Kampala,Uganda,True
1965-09-29,Tanzania,Zanzibar,3,0,Friendly,Kampala,Uganda,True
1965-10-02,Uganda,Tanzania,1,1,Friendly,Kampala,Uganda,False
1965-10-23,Kenya,Tanzania,4,2,Friendly,Nairobi,Kenya,False
1966-06-28,China PR,Tanzania,10,4,Friendly,Beijing,China PR,False
1966-09-25,Tanzania,Uganda,0,3,Friendly,Zanzibar City,Zanzibar,True
1966-09-28,Zanzibar,Tanzania,0,4,Friendly,Zanzibar City,Zanzibar,False
1966-09-30,Tanzania,Kenya,2,3,Friendly,Zanzibar,Tanzania,False
1967-02-21,Sudan,Tanzania,1,0,Friendly,Khartoum,Sudan,False
1967-02-23,Kenya,Tanzania,2,0,Friendly,Khartoum,Sudan,True
1967-05-17,Congo,Tanzania,6,1,Friendly,Brazzaville,Congo,False
1967-07-06,Tanzania,Zambia,2,2,Friendly,Dar es Salaam,Tanzania,False
1967-07-08,Tanzania,Zambia,2,1,Friendly,Dar es Salaam,Tanzania,False
1967-08-01,Mauritania,Tanzania,1,1,Friendly,Nouakchott,Mauritania,False
1967-08-02,Tanzania,Mauritius,1,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1967-08-16,Mauritius,Tanzania,1,1,African Cup of Nations qualification,Curepipe,Mauritius,False
1967-09-17,DR Congo,Tanzania,1,0,African Cup of Nations qualification,Kinshasa,Congo-Kinshasa,False
1967-10-03,Tanzania,Uganda,1,2,Friendly,Nairobi,Kenya,True
1967-10-09,Kenya,Tanzania,5,3,Friendly,Nairobi,Kenya,False
1967-10-10,Tanzania,Zanzibar,0,3,Friendly,Nairobi,Kenya,True
1967-10-14,Tanzania,DR Congo,0,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1968-09-28,Tanzania,Uganda,0,2,Friendly,Dar es Salaam,Tanzania,False
1968-10-01,Tanzania,Kenya,3,3,Friendly,Dar es Salaam,Tanzania,False
1968-10-05,Tanzania,Zanzibar,3,0,Friendly,Dar es Salaam,Tanzania,False
1968-10-22,Zambia,Tanzania,7,1,Friendly,Kitwe,Zambia,False
1968-10-24,Zambia,Tanzania,2,1,Friendly,Lusaka,Zambia,False
1969-01-06,Kenya,Tanzania,2,1,Friendly,Addis Ababa,Ethiopia,True
1969-01-10,Sudan,Tanzania,3,0,Friendly,Addis Ababa,Ethiopia,True
1969-02-16,Kenya,Tanzania,0,1,African Cup of Nations qualification,Nairobi,Kenya,False
1969-03-01,Tanzania,Kenya,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1969-05-25,Ethiopia,Tanzania,7,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False
1969-05-31,Tanzania,Ethiopia,1,2,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1969-09-27,Uganda,Tanzania,3,0,Friendly,Kampala,Uganda,False
1969-10-01,Kenya,Tanzania,0,3,Friendly,Kampala,Uganda,True
1969-10-03,Tanzania,Zanzibar,3,0,Friendly,Kampala,Uganda,True
1970-06-06,Uganda,Tanzania,1,1,Friendly,Kampala,Uganda,False
1970-09-27,Tanzania,Kenya,2,0,Friendly,Zanzibar,Tanzania,False
1970-09-30,Zanzibar,Tanzania,1,2,Friendly,Zanzibar City,Zanzibar,False
1970-10-02,Tanzania,Uganda,1,4,Friendly,Zanzibar,Tanzania,False
1970-10-17,Tanzania,Zambia,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1970-11-01,Zambia,Tanzania,5,1,African Cup of Nations qualification,Lusaka,Zambia,False
1971-04-26,Tanzania,DR Congo,0,1,Friendly,Dar es Salaam,Tanzania,False
1971-07-14,Tanzania,Guinea,3,2,Friendly,Dar es Salaam,Tanzania,False
1971-09-25,Kenya,Tanzania,1,1,Friendly,Nairobi,Kenya,False
1971-09-29,Uganda,Tanzania,0,0,Friendly,Nairobi,Kenya,True
1971-10-02,Tanzania,Zanzibar,1,1,Friendly,Nairobi,Kenya,True
1971-11-14,Guinea,Tanzania,3,2,Friendly,Conakry,Guinea,False
1971-12-05,Tanzania,Burundi,4,1,Friendly,Dar es Salaam,Tanzania,False
1971-12-09,Tanzania,China PR,1,1,Friendly,Dar es Salaam,Tanzania,False
1971-12-12,Tanzania,China PR,3,4,Friendly,Dar es Salaam,Tanzania,False
1972-04-29,Madagascar,Tanzania,0,1,Friendly,Antananarivo,Madagascar,False
1972-07-04,Tanzania,Sudan,3,0,Friendly,Dar es Salaam,Tanzania,False
1972-07-06,Tanzania,Nigeria,0,0,Friendly,Dar es Salaam,Tanzania,False
1972-07-27,Uganda,Tanzania,1,1,Friendly,Kampala,Uganda,False
1972-11-06,Nigeria,Tanzania,2,1,Friendly,Benin City,Nigeria,False
1972-11-11,Nigeria,Tanzania,3,2,Friendly,Lagos,Nigeria,False
1972-11-18,Sierra Leone,Tanzania,2,2,Friendly,Freetown,Sierra Leone,False
1972-11-25,Tanzania,Ethiopia,1,1,FIFA World Cup qualification,Dar es Salaam,Tanzania,False
