Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1954-11-01,Cambodia,Thailand,7,1,Friendly,Phnom Penh,Cambodia,False
1956-10-19,Vietnam Republic,Thailand,2,1,Friendly,Saigon,Vietnam Republic,False
1956-10-22,Vietnam Republic,Thailand,3,1,Friendly,Saigon,Vietnam Republic,False
1957-08-31,Indonesia,Thailand,4,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-01,Cambodia,Thailand,0,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-03,Singapore,Thailand,6,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Myanmar,Thailand,5,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-12-13,Thailand,Vietnam Republic,0,4,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-14,Thailand,Malaysia,3,1,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-15,Thailand,Myanmar,5,2,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-17,Thailand,Vietnam Republic,1,3,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1960-08-05,Pakistan,Thailand,7,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-07,Malaysia,Thailand,8,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-12,Japan,Thailand,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-06,Hong Kong,Thailand,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-09,Indonesia,Thailand,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-12,Singapore,Thailand,5,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-16,Thailand,Vietnam Republic,1,2,Friendly,Kallang,Singapore,True
1961-12-11,Thailand,Vietnam Republic,0,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-13,Thailand,Laos,5,2,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-14,Malaysia,Thailand,2,2,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-16,Thailand,Vietnam Republic,1,1,Southeast Asian Peninsular Games,Rangoon,Burma,True
1962-07-25,Thailand,Taiwan,4,0,Friendly,Bangkok,Thailand,False
1962-08-25,Japan,Thailand,3,1,Asian Games,Jakarta,Indonesia,True
1962-08-27,South Korea,Thailand,3,2,Asian Games,Jakarta,Indonesia,True
1962-08-28,Thailand,India,1,4,Asian Games,Jakarta,Indonesia,True
1962-10-27,Malaysia,Thailand,4,2,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1962-10-28,Vietnam Republic,Thailand,0,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1962-10-30,Indonesia,Thailand,7,0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1962-11-16,Thailand,Sweden,1,2,Friendly,Bangkok,Thailand,False
1963-08-10,Thailand,Japan,1,4,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-11,South Korea,Thailand,5,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-14,Malaysia,Thailand,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1963-08-16,Taiwan,Thailand,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-17,Thailand,Vietnam Republic,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-12-07,Hong Kong,Thailand,3,3,AFC Asian Cup qualification,Saigon,Vietnam Republic,True
1963-12-11,Malaysia,Thailand,3,1,AFC Asian Cup qualification,Saigon,Vietnam Republic,True
1963-12-14,Vietnam Republic,Thailand,3,0,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1964-08-22,Malaysia,Thailand,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-08-29,India,Thailand,2,1,Merdeka Tournament,Ipoh,Malaysia,True
1964-09-01,Cambodia,Thailand,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-05,Malaysia,Thailand,1,1,Merdeka Tournament,Ipoh,Malaysia,False
1965-05-19,Norway,Thailand,7,0,Friendly,Bergen,Norway,False
1965-08-14,South Korea,Thailand,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-20,Thailand,Taiwan,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-22,Myanmar,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-24,Japan,Thailand,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-27,Hong Kong,Thailand,1,1,Merdeka Tournament,Ipoh,Malaysia,True
