Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2001-06-30,Greenland,Tibet,4,1,Friendly,Copenhagen,Denmark,True
2001-07-14,Monaco,Tibet,2,1,Friendly,Freiburg,Germany,True
2006-05-30,Republic of St. Pauli,Tibet,7,0,FIFI Wild Cup,Hamburg,Germany,False
2006-05-31,Gibraltar,Tibet,5,0,FIFI Wild Cup,Hamburg,Germany,True
2006-11-19,Tibet,Tajikistan,0,3,ELF Cup,Güzelyurt,Northern Cyprus,True
2006-11-20,Tibet,Crimea,0,1,ELF Cup,Güzelyurt,Northern Cyprus,True
2006-11-21,Northern Cyprus,Tibet,10,0,ELF Cup,Gazimağusa,Northern Cyprus,False
2007-11-02,Bhutan,Tibet,3,0,Friendly,Gangtok,India,True
2018-05-31,Abkhazia,Tibet,3,0,CONIFA World Football Cup,Enfield,England,True
2018-06-02,Northern Cyprus,Tibet,3,1,CONIFA World Football Cup,Enfield,England,True
2018-06-03,Kárpátalja,Tibet,5,1,CONIFA World Football Cup,Bracknell,England,True
2018-06-07,Tibet,Kabylia,1,8,CONIFA World Football Cup,Enfield,England,True
2018-06-09,Tibet,United Koreans in Japan,1,1,CONIFA World Football Cup,Rotherhithe,England,True
2022-08-07,Raetia,Tibet,3,3,Friendly,Chur,Switzerland,False
2023-08-05,Hmong,Tibet,5,4,CONIFA Asia Cup,Alcochete,Portugal,True
2023-08-06,Tibet,Tamil Eelam,1,3,CONIFA Asia Cup,Alcochete,Portugal,True
