Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2003-03-21,Sri Lanka,Timor-Leste,3,2,AFC Asian Cup qualification,Colombo,Sri Lanka,False
2004-12-08,Malaysia,Timor-Leste,5,0,AFF Championship,Kuala Lumpur,Malaysia,False
2004-12-12,Timor-Leste,Thailand,0,8,AFF Championship,Kuala Lumpur,Malaysia,True
2004-12-14,Philippines,Timor-Leste,2,1,AFF Championship,Kuala Lumpur,Malaysia,True
2004-12-16,Myanmar,Timor-Leste,3,1,AFF Championship,Kuala Lumpur,Malaysia,True
2006-11-12,Timor-Leste,Brunei,2,3,AFF Championship qualification,Bacolod,Philippines,True
2006-11-14,Philippines,Timor-Leste,7,0,AFF Championship qualification,Bacolod,Philippines,False
2006-11-16,Laos,Timor-Leste,3,2,AFF Championship qualification,Bacolod,Philippines,True
2006-11-20,Cambodia,Timor-Leste,4,1,AFF Championship qualification,Bacolod,Philippines,True
2007-10-21,Timor-Leste,Hong Kong,2,3,FIFA World Cup qualification,Gianyar,Indonesia,True
2007-10-28,Hong Kong,Timor-Leste,8,1,FIFA World Cup qualification,So Kon Po,Hong Kong,False
2008-10-17,Philippines,Timor-Leste,1,0,AFF Championship qualification,Phnom Penh,Cambodia,True
2008-10-19,Cambodia,Timor-Leste,2,2,AFF Championship qualification,Phnom Penh,Cambodia,False
2008-10-21,Timor-Leste,Brunei,1,4,AFF Championship qualification,Phnom Penh,Cambodia,True
2008-10-25,Laos,Timor-Leste,2,1,AFF Championship qualification,Phnom Penh,Cambodia,True
2010-10-22,Timor-Leste,Philippines,0,5,AFF Championship qualification,Vientiane,Laos,True
2010-10-24,Cambodia,Timor-Leste,4,2,AFF Championship qualification,Vientiane,Laos,True
2010-10-26,Laos,Timor-Leste,6,1,AFF Championship qualification,Vientiane,Laos,False
2010-11-21,Indonesia,Timor-Leste,6,0,Friendly,Palembang,Indonesia,False
2011-06-29,Nepal,Timor-Leste,2,1,FIFA World Cup qualification,Kathmandu,Nepal,False
2011-07-02,Nepal,Timor-Leste,5,0,FIFA World Cup qualification,Kathmandu,Nepal,False
2012-10-05,Cambodia,Timor-Leste,1,5,AFF Championship qualification,Yangon,Myanmar,True
2012-10-07,Myanmar,Timor-Leste,2,1,AFF Championship qualification,Yangon,Myanmar,False
2012-10-09,Timor-Leste,Laos,3,1,AFF Championship qualification,Yangon,Myanmar,True
2012-10-13,Brunei,Timor-Leste,2,1,AFF Championship qualification,Yangon,Myanmar,True
2012-11-14,Indonesia,Timor-Leste,1,0,Friendly,Jakarta,Indonesia,False
2014-10-12,Timor-Leste,Brunei,4,2,AFF Championship qualification,Vientiane,Laos,True
2014-10-14,Myanmar,Timor-Leste,0,0,AFF Championship qualification,Vientiane,Laos,True
2014-10-16,Timor-Leste,Cambodia,2,3,AFF Championship qualification,Vientiane,Laos,True
