Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-10-06,Nigeria,Togo,1,1,Friendly,Lagos,Nigeria,False
1956-10-20,Togo,Ghana,1,1,Friendly,Lomé,Togo,False
1958-02-20,Ghana,Togo,5,2,Friendly,Accra,Ghana,False
1960-04-24,Togo,Nigeria,1,1,Friendly,Lomé,Togo,False
1960-05-01,Togo,Ghana,2,3,Friendly,Lomé,Togo,False
1962-05-09,Togo,Guinea,2,1,Friendly,Lomé,Togo,False
1963-10-31,Cameroon,Togo,2,1,Friendly,Yaoundé,Cameroon,False
1965-01-09,Togo,DR Congo,0,3,Friendly,Lomé,Togo,False
1965-07-19,Mali,Togo,1,2,All-African Games,Brazzaville,Congo,True
1965-07-20,Congo,Togo,7,2,All-African Games,Brazzaville,Congo,False
1965-07-20,Togo,Uganda,1,1,All-African Games,Brazzaville,Congo,True
1965-07-25,DR Congo,Togo,5,1,All-African Games,Brazzaville,Congo,True
1965-07-26,Togo,Madagascar,1,0,All-African Games,Brazzaville,Congo,True
1966-03-06,Togo,Nigeria,2,2,Friendly,Lomé,Togo,False
1966-04-09,Nigeria,Togo,1,1,Friendly,Lagos,Nigeria,False
1966-04-26,Togo,Benin,1,0,Friendly,Lomé,Togo,False
1966-05-29,Benin,Togo,2,2,Friendly,Cotonou,Dahomey,False
1966-08-16,Togo,Ivory Coast,1,2,Friendly,Lomé,Togo,False
1966-08-18,Togo,Ghana,1,1,Friendly,Lomé,Togo,False
1966-08-21,Ghana,Togo,6,2,Friendly,Accra,Ghana,False
1966-10-31,Cameroon,Togo,2,0,Friendly,Yaoundé,Cameroon,False
1967-02-18,Togo,DR Congo,2,4,Friendly,Lomé,Togo,False
1967-04-02,Togo,Niger,1,0,African Cup of Nations qualification,Lomé,Togo,False
1967-04-15,Nigeria,Togo,4,2,African Cup of Nations qualification,Lagos,Nigeria,False
1967-04-30,Ivory Coast,Togo,3,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1967-08-16,Togo,Ivory Coast,0,2,African Cup of Nations qualification,Lomé,Togo,False
1968-04-07,Togo,Guinea,1,1,Friendly,Lomé,Togo,False
1969-08-10,Guinea,Togo,4,0,African Cup of Nations qualification,Conakry,Guinea,False
1969-08-24,Togo,Guinea,1,1,African Cup of Nations qualification,Lomé,Togo,False
1970-10-25,Togo,Senegal,3,0,Friendly,Lomé,Togo,False
