Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-08-29,Tahiti,Tonga,8,0,South Pacific Games,Suva,Fiji,True
1979-09-01,Tonga,Tuvalu,3,5,South Pacific Games,Nausori,Fiji,True
1979-09-05,Tonga,Wallis Islands and Futuna,1,0,South Pacific Games,Nausori,Fiji,True
1979-09-06,Vanuatu,Tonga,7,1,South Pacific Games,Nausori,Fiji,True
1983-08-20,Tonga,Wallis Islands and Futuna,0,3,South Pacific Games,Apia,Western Samoa,True
1983-08-22,Samoa,Tonga,3,3,South Pacific Games,Apia,Western Samoa,False
1983-08-24,American Samoa,Tonga,2,3,South Pacific Games,Apia,Western Samoa,True
1993-12-07,Vanuatu,Tonga,3,0,South Pacific Mini Games,Port Vila,Vanuatu,False
1993-12-10,Tonga,Papua New Guinea,0,5,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-13,New Caledonia,Tonga,11,0,South Pacific Mini Games,Port Vila,Vanuatu,True
1994-11-24,Tahiti,Tonga,1,0,Oceania Nations Cup qualification,Apia,Western Samoa,True
1994-11-25,Samoa,Tonga,2,2,Oceania Nations Cup qualification,Apia,Western Samoa,False
1994-11-28,Tonga,American Samoa,2,1,Oceania Nations Cup qualification,Apia,Western Samoa,True
1996-11-11,Tonga,Cook Islands,2,0,FIFA World Cup qualification,Nuku'alofa,Tonga,False
1996-11-15,Tonga,Samoa,1,0,FIFA World Cup qualification,Nuku'alofa,Tonga,False
1997-02-15,Tonga,Solomon Islands,0,4,FIFA World Cup qualification,Nuku'alofa,Tonga,False
1997-03-01,Solomon Islands,Tonga,9,0,FIFA World Cup qualification,Honiara,Solomon Islands,False
1998-09-02,Tonga,American Samoa,3,0,Oceania Nations Cup qualification,Avarua,Cook Islands,True
1998-09-03,Tahiti,Tonga,5,0,Oceania Nations Cup qualification,Avarua,Cook Islands,True
1998-09-05,Cook Islands,Tonga,2,2,Oceania Nations Cup qualification,Avarua,Cook Islands,False
1998-09-07,Samoa,Tonga,2,0,Oceania Nations Cup qualification,Avarua,Cook Islands,True
2000-06-08,Tonga,Cook Islands,1,2,Oceania Nations Cup qualification,Papeete,Tahiti,True
