Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-07-21,Guyana,Trinidad and Tobago,1,4,Friendly,Georgetown,British Guiana,False
1928-03-16,Guyana,Trinidad and Tobago,1,1,Friendly,Georgetown,British Guiana,False
1929-04-20,Barbados,Trinidad and Tobago,3,0,Friendly,Bridgetown,Barbados,False
1929-04-22,Barbados,Trinidad and Tobago,2,0,Friendly,Bridgetown,Barbados,False
1929-04-24,Barbados,Trinidad and Tobago,2,1,Friendly,Bridgetown,Barbados,False
1929-10-26,Trinidad and Tobago,Guyana,0,0,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-02,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-03,Trinidad and Tobago,Guyana,3,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-11,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-12,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False
1931-03-05,Guyana,Trinidad and Tobago,2,1,Friendly,Georgetown,British Guiana,False
1931-03-06,Barbados,Trinidad and Tobago,1,5,Friendly,Georgetown,British Guiana,True
1931-03-08,Guyana,Trinidad and Tobago,0,2,Friendly,Georgetown,British Guiana,False
1931-03-09,Barbados,Trinidad and Tobago,1,7,Friendly,Georgetown,British Guiana,True
1932-04-15,Guyana,Trinidad and Tobago,1,0,Friendly,Bridgetown,Barbados,True
1932-04-17,Barbados,Trinidad and Tobago,1,0,Friendly,Bridgetown,Barbados,False
1932-04-23,Guyana,Trinidad and Tobago,1,2,Friendly,Bridgetown,Barbados,True
1932-04-26,Barbados,Trinidad and Tobago,1,3,Friendly,Bridgetown,Barbados,False
1933-10-23,Trinidad and Tobago,Barbados,8,4,Friendly,Port of Spain,Trinidad and Tobago,False
1933-10-24,Trinidad and Tobago,Guyana,2,0,Friendly,Port of Spain,Trinidad and Tobago,False
1933-10-27,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1933-10-30,Trinidad and Tobago,Barbados,3,1,Friendly,Port of Spain,Trinidad and Tobago,False
1933-11-02,Trinidad and Tobago,Guyana,1,0,Friendly,Port of Spain,Trinidad and Tobago,False
1933-11-05,Trinidad and Tobago,Barbados,6,0,Friendly,Port of Spain,Trinidad and Tobago,False
