Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1957-06-02,Tunisia,Libya,4,2,Friendly,Tunis,Tunisia,False
1958-05-09,Tunisia,Libya,4,1,Friendly,Tunis,Tunisia,False
1959-03-08,Tunisia,Malta,0,0,Friendly,Tunis,Tunisia,False
1960-01-03,Tunisia,Yugoslavia,1,5,Friendly,Tunis,Tunisia,False
1960-06-05,Tunisia,Iraq,2,1,Friendly,Tunis,Tunisia,False
1960-08-06,Yugoslavia,Tunisia,7,0,Friendly,Belgrade,Yugoslavia,False
1960-08-21,India,Tunisia,2,2,Friendly,Rome,Italy,True
1960-10-30,Morocco,Tunisia,2,1,FIFA World Cup qualification,Casablanca,Morocco,False
1960-11-13,Tunisia,Morocco,2,1,FIFA World Cup qualification,Tunis,Tunisia,False
1960-12-04,Tunisia,German DR,0,3,Friendly,Tunis,Tunisia,False
1960-12-08,Malta,Tunisia,1,0,Friendly,Gżira,Malta,False
1960-12-23,Iraq,Tunisia,3,2,Friendly,Baghdad,Iraq,False
1961-01-22,Morocco,Tunisia,1,1,FIFA World Cup qualification,Palermo,Italy,True
1961-11-25,Nigeria,Tunisia,2,1,African Cup of Nations qualification,Lagos,Nigeria,False
1962-01-14,Ethiopia,Tunisia,4,2,African Cup of Nations,Addis Ababa,Ethiopia,False
1962-01-20,Tunisia,Uganda,3,0,African Cup of Nations,Addis Ababa,Ethiopia,True
1962-03-11,Libya,Tunisia,6,3,Friendly,Tripoli,Libya,False
1962-06-03,Tunisia,Libya,2,2,Friendly,Tunis,Tunisia,False
1963-03-03,Tunisia,Kuwait,2,1,Friendly,Tunis,Tunisia,False
1963-03-10,Ivory Coast,Tunisia,3,0,Friendly,Abidjan,Ivory Coast,False
1963-04-02,Syria,Tunisia,0,1,Arab Cup,Beirut,Lebanon,True
1963-04-04,Jordan,Tunisia,0,4,Arab Cup,Beirut,Lebanon,True
1963-04-06,Kuwait,Tunisia,1,5,Arab Cup,Beirut,Lebanon,True
1963-04-07,Lebanon,Tunisia,0,1,Arab Cup,Beirut,Lebanon,False
1963-04-13,Tunisia,Ivory Coast,3,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Tunisia,Congo,2,0,African Friendship Games,Dakar,Senegal,True
1963-04-15,Tunisia,Mauritania,4,0,African Friendship Games,Dakar,Senegal,True
1963-04-16,DR Congo,Tunisia,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-18,Tunisia,Madagascar,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-20,Senegal,Tunisia,1,1,African Friendship Games,Dakar,Senegal,False
1963-06-09,Tunisia,Lebanon,2,0,Friendly,Tunis,Tunisia,False
1963-06-16,Tunisia,Morocco,4,1,African Cup of Nations qualification,Tunis,Tunisia,False
1963-07-02,Morocco,Tunisia,4,2,African Cup of Nations qualification,Casablanca,Morocco,False
1963-11-24,Ghana,Tunisia,1,1,African Cup of Nations,Accra,Ghana,False
1963-11-28,Ethiopia,Tunisia,4,2,African Cup of Nations,Accra,Ghana,True
1963-12-15,Tunisia,Algeria,0,0,Friendly,Tunis,Tunisia,False
1964-05-17,Tunisia,Ethiopia,3,2,Friendly,Tunis,Tunisia,False
1964-11-01,Turkey,Tunisia,4,1,Friendly,Ankara,Turkey,False
1965-02-28,Tunisia,Morocco,0,0,Friendly,Tunis,Tunisia,False
1965-05-02,Morocco,Tunisia,0,1,Friendly,Casablanca,Morocco,False
1965-11-12,Tunisia,Ethiopia,4,0,African Cup of Nations,Tunis,Tunisia,False
1965-11-14,Tunisia,Senegal,0,0,African Cup of Nations,Tunis,Tunisia,False
1965-11-21,Tunisia,Ghana,2,3,African Cup of Nations,Tunis,Tunisia,False
1967-01-22,Tunisia,Turkey,0,0,Friendly,Tunis,Tunisia,False
1967-02-05,Tunisia,Cameroon,4,0,African Cup of Nations qualification,Tunis,Tunisia,False
1967-02-19,Tunisia,Congo,1,1,African Cup of Nations qualification,Tunis,Tunisia,False
1967-12-10,Saudi Arabia,Tunisia,4,0,Friendly,Riyadh,Saudi Arabia,False
1968-03-13,Turkey,Tunisia,0,0,Friendly,İzmir,Turkey,False
1968-11-17,Algeria,Tunisia,1,2,FIFA World Cup qualification,Algiers,Algeria,False
1968-11-24,DR Congo,Tunisia,1,0,Friendly,Kinshasa,Congo-Kinshasa,False
1968-12-01,Cameroon,Tunisia,4,2,Friendly,Douala,Cameroon,False
1968-12-29,Tunisia,Algeria,0,0,FIFA World Cup qualification,Tunis,Tunisia,False
1969-04-27,Tunisia,Morocco,0,0,FIFA World Cup qualification,Tunis,Tunisia,False
1969-05-18,Morocco,Tunisia,0,0,FIFA World Cup qualification,Casablanca,Morocco,False
1969-06-13,Tunisia,Morocco,2,2,FIFA World Cup qualification,Marseille,France,True
1969-07-21,Congo,Tunisia,4,1,Friendly,Brazzaville,Congo,False
1969-10-15,Tunisia,Palestine,1,1,Friendly,Tunis,Tunisia,False
1970-09-01,Libya,Tunisia,2,2,Friendly,Benghazi,Libya,False
1970-09-04,Libya,Tunisia,3,2,Friendly,Tripoli,Libya,False
1970-09-24,Tunisia,Libya,2,0,Friendly,Tunis,Tunisia,False
1972-02-20,Tunisia,Austria,3,3,Friendly,Tunis,Tunisia,False
1972-06-05,Tunisia,Algeria,3,1,Friendly,Tunis,Tunisia,False
1972-11-16,Tunisia,Algeria,1,2,Friendly,Tunis,Tunisia,False
1972-12-08,Egypt,Tunisia,2,1,FIFA World Cup qualification,Cairo,Egypt,False
1972-12-17,Tunisia,Egypt,2,0,FIFA World Cup qualification,Tunis,Tunisia,False
1973-02-04,Tunisia,Yugoslavia,0,5,Friendly,Tunis,Tunisia,False
1973-02-11,Tunisia,Ivory Coast,1,1,FIFA World Cup qualification,Tunis,Tunisia,False
