Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1923-10-26,Turkey,Romania,2,2,Friendly,Istanbul,Turkey,False
1924-05-25,Czechoslovakia,Turkey,5,2,Olympic Games,Paris,France,True
1924-06-17,Finland,Turkey,2,4,Friendly,Helsinki,Finland,False
1924-06-19,Estonia,Turkey,1,4,Friendly,Tallinn,Estonia,False
1924-06-22,Latvia,Turkey,1,3,Friendly,Riga,Latvia,False
1924-06-29,Poland,Turkey,2,0,Friendly,Łódź,Poland,False
1924-11-16,Russia,Turkey,3,0,Friendly,Moscow,Soviet Union,False
1925-04-10,Turkey,Bulgaria,2,1,Friendly,Istanbul,Turkey,False
1925-05-01,Romania,Turkey,1,2,Friendly,Bucharest,Romania,False
1925-05-15,Turkey,Russia,1,2,Friendly,Ankara,Turkey,False
1925-10-02,Turkey,Poland,1,2,Friendly,Istanbul,Turkey,False
1926-05-07,Turkey,Romania,1,3,Friendly,Istanbul,Turkey,False
1926-09-12,Poland,Turkey,6,1,Friendly,Lwów,Poland,False
1927-07-17,Bulgaria,Turkey,3,3,Friendly,Sofia,Bulgaria,False
1927-10-14,Turkey,Bulgaria,3,1,Friendly,Istanbul,Turkey,False
1928-04-08,Yugoslavia,Turkey,2,1,Friendly,Zagreb,Yugoslavia,False
1928-04-15,Romania,Turkey,4,2,Friendly,Arad,Romania,False
1928-05-28,Egypt,Turkey,7,1,Olympic Games,Amsterdam,Netherlands,True
1931-09-27,Bulgaria,Turkey,5,1,Balkan Cup,Sofia,Bulgaria,False
1931-10-02,Turkey,Yugoslavia,2,0,Balkan Cup,Sofia,Bulgaria,True
1932-11-04,Turkey,Bulgaria,2,3,Friendly,Istanbul,Turkey,False
1936-07-12,Turkey,Yugoslavia,3,3,Friendly,Istanbul,Turkey,False
1937-08-01,Yugoslavia,Turkey,3,1,Friendly,Belgrade,Yugoslavia,False
1947-10-26,Iran,Turkey,1,3,Friendly,Tehran,Iran,False
1948-04-23,Greece,Turkey,1,3,Friendly,Athens,Greece,False
1948-05-30,Turkey,Austria,0,1,Friendly,Istanbul,Turkey,False
1948-10-28,Iran,Turkey,1,1,Friendly,Tehran,Iran,False
1948-11-28,Turkey,Greece,2,1,Friendly,Istanbul,Turkey,False
1949-03-20,Austria,Turkey,1,0,Friendly,Vienna,Austria,False
1949-05-12,Egypt,Turkey,2,3,Friendly,Athens,Greece,True
1949-05-15,Greece,Turkey,1,2,Friendly,Athens,Greece,False
1949-11-20,Turkey,Syria,7,0,FIFA World Cup qualification,Ankara,Turkey,False
1950-05-28,Turkey,Iran,6,1,Friendly,Istanbul,Turkey,False
1950-10-28,Israel,Turkey,5,1,Friendly,Tel Aviv,Israel,False
1950-12-03,Turkey,Israel,3,2,Friendly,Istanbul,Turkey,False
1951-06-10,Sweden,Turkey,3,1,Friendly,Solna,Sweden,False
1951-06-17,Germany,Turkey,1,2,Friendly,Berlin,Germany,False
1951-11-14,Turkey,Sweden,1,0,Friendly,Istanbul,Turkey,False
1951-11-21,Turkey,Germany,0,2,Friendly,Istanbul,Turkey,False
1952-06-01,Turkey,Switzerland,1,5,Friendly,Ankara,Turkey,False
1952-06-08,Turkey,Spain,0,0,Friendly,Istanbul,Turkey,False
1953-05-25,Switzerland,Turkey,1,2,Friendly,Bern,Switzerland,False
1953-06-05,Turkey,Yugoslavia,2,2,Friendly,Istanbul,Turkey,False
1954-01-06,Spain,Turkey,4,1,FIFA World Cup qualification,Madrid,Spain,False
1954-03-14,Turkey,Spain,1,0,FIFA World Cup qualification,Istanbul,Turkey,False
1954-03-17,Turkey,Spain,2,2,FIFA World Cup qualification,Rome,Italy,True
1954-06-17,Germany,Turkey,4,1,FIFA World Cup,Bern,Switzerland,True
1954-06-20,South Korea,Turkey,0,7,FIFA World Cup,Geneva,Switzerland,True
1954-06-23,Germany,Turkey,7,2,FIFA World Cup,Zürich,Switzerland,True
1954-10-17,Yugoslavia,Turkey,5,1,Friendly,Sarajevo,Yugoslavia,False
1955-12-18,Turkey,Portugal,3,1,Friendly,Istanbul,Turkey,False
1956-02-19,Turkey,Hungary,3,1,Friendly,Istanbul,Turkey,False
1956-03-25,Portugal,Turkey,3,1,Friendly,Oeiras,Portugal,False
1956-05-01,Turkey,Brazil,0,1,Friendly,Istanbul,Turkey,False
1956-11-16,Turkey,Poland,1,1,Friendly,Istanbul,Turkey,False
1956-11-25,Czechoslovakia,Turkey,1,1,Friendly,Prague,Czechoslovakia,False
1957-05-19,Poland,Turkey,0,1,Friendly,Warsaw,Poland,False
1957-12-08,Turkey,Belgium,1,1,Friendly,Ankara,Turkey,False
1958-05-04,Netherlands,Turkey,1,2,Friendly,Amsterdam,Netherlands,False
1958-10-26,Belgium,Turkey,1,1,Friendly,Brussels,Belgium,False
1958-11-02,Romania,Turkey,3,0,UEFA Euro qualification,Bucharest,Romania,False
1958-12-07,Turkey,Bulgaria,0,0,Friendly,Ankara,Turkey,False
1958-12-18,Turkey,Czechoslovakia,1,0,Friendly,Istanbul,Turkey,False
1959-04-26,Turkey,Romania,2,0,UEFA Euro qualification,Istanbul,Turkey,False
1959-05-10,Turkey,Netherlands,0,0,Friendly,Istanbul,Turkey,False
1960-06-08,Turkey,Scotland,4,2,Friendly,Ankara,Turkey,False
1960-11-27,Bulgaria,Turkey,2,1,Friendly,Sofia,Bulgaria,False
1961-05-14,Turkey,Romania,0,1,Friendly,Ankara,Turkey,False
1961-06-01,Norway,Turkey,0,1,FIFA World Cup qualification,Oslo,Norway,False
1961-06-18,Russia,Turkey,1,0,FIFA World Cup qualification,Moscow,Soviet Union,True
1961-10-08,Romania,Turkey,4,0,Friendly,Bucharest,Romania,False
1961-10-18,Turkey,South Korea,1,0,Friendly,Ankara,Turkey,False
1961-10-29,Turkey,Norway,2,1,FIFA World Cup qualification,Istanbul,Turkey,False
1961-11-12,Turkey,Russia,1,2,FIFA World Cup qualification,Istanbul,Turkey,False
1962-04-29,Hungary,Turkey,2,1,Friendly,Budapest,Hungary,False
1962-05-16,Turkey,Israel,1,0,Friendly,Istanbul,Turkey,False
1962-10-10,Turkey,Ethiopia,3,0,Friendly,Ankara,Turkey,False
1962-11-25,Israel,Turkey,0,2,Friendly,Ramat Gan,Israel,False
1962-12-02,Italy,Turkey,6,0,UEFA Euro qualification,Bologna,Italy,False
1962-12-12,Turkey,Denmark,1,1,Friendly,Istanbul,Turkey,False
1962-12-16,Ethiopia,Turkey,0,0,Friendly,Addis Ababa,Ethiopia,False
1963-03-27,Turkey,Italy,0,1,UEFA Euro qualification,Istanbul,Turkey,False
1963-09-22,Poland,Turkey,0,0,Friendly,Poznań,Poland,False
1963-09-28,Germany,Turkey,3,0,Friendly,Frankfurt am Main,Germany,False
1963-10-09,Turkey,Romania,0,0,Friendly,Ankara,Turkey,False
1964-09-27,Turkey,Poland,2,3,Friendly,Istanbul,Turkey,False
1964-11-01,Turkey,Tunisia,4,1,Friendly,Ankara,Turkey,False
1964-12-20,Turkey,Bulgaria,0,0,Friendly,Istanbul,Turkey,False
1965-01-24,Portugal,Turkey,5,1,FIFA World Cup qualification,Oeiras,Portugal,False
1965-04-19,Turkey,Portugal,0,1,FIFA World Cup qualification,Ankara,Turkey,False
1965-05-02,Romania,Turkey,3,0,FIFA World Cup qualification,Bucharest,Romania,False
1965-05-09,Bulgaria,Turkey,4,1,Friendly,Sofia,Bulgaria,False
1965-05-22,Iran,Turkey,1,2,Friendly,Tehran,Iran,False
1965-05-24,Iran,Turkey,2,1,Friendly,Tehran,Iran,False
1965-07-21,Pakistan,Turkey,1,3,Friendly,Tehran,Iran,True
1965-07-25,Iran,Turkey,0,0,Friendly,Tehran,Iran,False
1965-10-09,Turkey,Czechoslovakia,0,6,FIFA World Cup qualification,Istanbul,Turkey,False
1965-10-23,Turkey,Romania,2,1,FIFA World Cup qualification,Ankara,Turkey,False
