Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-08-30,Tahiti,Tuvalu,18,0,South Pacific Games,Suva,Fiji,True
1979-09-01,Tonga,Tuvalu,3,5,South Pacific Games,Nausori,Fiji,True
1979-09-03,New Caledonia,Tuvalu,11,0,South Pacific Games,Suva,Fiji,True
1979-09-05,Kiribati,Tuvalu,3,3,South Pacific Games,Nausori,Fiji,True
1979-09-06,Guam,Tuvalu,7,2,South Pacific Games,Nausori,Fiji,True
2003-05-01,Fiji,Tuvalu,9,0,Friendly,Suva,Fiji,False
2003-06-30,Tuvalu,Kiribati,3,2,South Pacific Games,Suva,Fiji,True
2003-07-01,Fiji,Tuvalu,4,0,South Pacific Games,Suva,Fiji,False
2003-07-03,Tuvalu,Vanuatu,0,1,South Pacific Games,Suva,Fiji,True
2003-07-05,Tuvalu,Solomon Islands,0,4,South Pacific Games,Nausori,Fiji,True
2007-08-25,Fiji,Tuvalu,16,0,South Pacific Games,Apia,Samoa,True
2007-08-27,Tuvalu,New Caledonia,0,1,South Pacific Games,Apia,Samoa,True
2007-08-29,Tuvalu,Tahiti,1,1,South Pacific Games,Apia,Samoa,True
2007-09-01,Cook Islands,Tuvalu,4,1,South Pacific Games,Apia,Samoa,True
2011-08-22,Tuvalu,Samoa,3,0,Friendly,Nausori,Fiji,True
2011-08-27,Tuvalu,American Samoa,4,0,Pacific Games,Nouméa,New Caledonia,True
2011-08-30,Vanuatu,Tuvalu,5,1,Pacific Games,Nouméa,New Caledonia,True
2011-09-01,New Caledonia,Tuvalu,8,0,Pacific Games,Nouméa,New Caledonia,False
2011-09-03,Solomon Islands,Tuvalu,6,1,Pacific Games,Nouméa,New Caledonia,True
2011-09-05,Guam,Tuvalu,1,1,Pacific Games,Nouméa,New Caledonia,True
2017-12-02,Fiji,Tuvalu,8,0,Pacific Mini Games,Port Vila,Vanuatu,True
2017-12-05,Tuvalu,New Caledonia,2,1,Pacific Mini Games,Port Vila,Vanuatu,True
2017-12-09,Solomon Islands,Tuvalu,6,0,Pacific Mini Games,Port Vila,Vanuatu,True
2017-12-12,Vanuatu,Tuvalu,10,0,Pacific Mini Games,Port Vila,Vanuatu,False
2017-12-15,Tuvalu,Tonga,4,3,Pacific Mini Games,Port Vila,Vanuatu,True
2018-05-31,Székely Land,Tuvalu,4,0,CONIFA World Football Cup,Haringey,England,True
2018-06-02,Padania,Tuvalu,8,0,CONIFA World Football Cup,Haringey,England,True
2018-06-03,Tuvalu,Matabeleland,1,3,CONIFA World Football Cup,Haringey,England,True
2018-06-05,United Koreans in Japan,Tuvalu,5,0,CONIFA World Football Cup,Bracknell,England,True
2018-06-07,Tamil Eelam,Tuvalu,4,3,CONIFA World Football Cup,Sutton,England,True
2019-07-08,Tuvalu,Solomon Islands,0,13,Pacific Games,Apia,Samoa,True
2019-07-10,Tuvalu,Tahiti,0,7,Pacific Games,Apia,Samoa,True
2019-07-12,American Samoa,Tuvalu,1,1,Pacific Games,Apia,Samoa,True
2019-07-15,Fiji,Tuvalu,10,1,Pacific Games,Apia,Samoa,True
2019-07-18,New Caledonia,Tuvalu,11,0,Pacific Games,Apia,Samoa,True
2023-11-17,Papua New Guinea,Tuvalu,3,0,Pacific Games,Honiara,Solomon Islands,True
2023-11-20,Tuvalu,Vanuatu,0,6,Pacific Games,Honiara,Solomon Islands,True
2023-11-27,Tonga,Tuvalu,0,4,Pacific Games,Honiara,Solomon Islands,True
2023-11-30,Northern Mariana Islands,Tuvalu,1,4,Pacific Games,Solomon Islands,Solomon Islands,True
