Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1926-05-01,Kenya,Uganda,1,1,Friendly,Nairobi,Kenya,False
1926-05-03,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False
1928-04-15,Uganda,Kenya,4,0,Friendly,Kampala,Uganda,False
1929-05-15,Kenya,Uganda,3,5,Friendly,Nairobi,Kenya,False
1930-02-16,Kenya,Uganda,0,0,Friendly,Nairobi,Kenya,False
1930-05-01,Uganda,Kenya,5,0,Friendly,Kampala,Uganda,False
1931-10-17,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False
1932-08-25,Uganda,Kenya,13,1,Friendly,Kampala,Uganda,False
1935-02-22,Uganda,Kenya,5,1,Friendly,Kampala,Uganda,False
1935-05-11,Kenya,Uganda,1,3,Friendly,Nairobi,Kenya,False
1937-05-17,Uganda,Kenya,9,5,Friendly,Kampala,Uganda,False
1938-10-10,Kenya,Uganda,1,3,Friendly,Nairobi,Kenya,False
1939-11-28,Uganda,Kenya,5,2,Friendly,Kampala,Uganda,False
1940-02-20,Kenya,Uganda,3,6,Friendly,Nairobi,Kenya,False
1941-02-22,Uganda,Kenya,3,4,Friendly,Kampala,Uganda,False
1942-07-07,Kenya,Uganda,4,3,Friendly,Nairobi,Kenya,False
1943-03-19,Uganda,Kenya,2,1,Friendly,Kampala,Uganda,False
1944-11-07,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False
1945-03-28,Uganda,Tanzania,7,0,Friendly,Kampala,Uganda,False
1945-04-14,Uganda,Kenya,4,1,Friendly,Kampala,Uganda,False
1945-08-20,Uganda,Tanzania,7,0,Friendly,Kampala,Uganda,False
1946-09-21,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False
1947-09-17,Kenya,Uganda,2,3,Friendly,Dar es Salaam,Tanganyika,True
1947-09-20,Tanzania,Uganda,2,4,Friendly,Dar es Salaam,Tanganyika,False
1948-09-23,Uganda,Tanzania,6,0,Friendly,Kampala,Uganda,False
1948-09-25,Uganda,Kenya,2,1,Friendly,Kampala,Uganda,False
1950-10-11,Kenya,Uganda,3,1,Friendly,Nairobi,Kenya,False
1951-09-25,Kenya,Uganda,2,1,Friendly,Dar es Salaam,Tanganyika,True
1952-09-23,Uganda,Tanzania,4,0,Friendly,Kampala,Uganda,False
1952-09-27,Uganda,Kenya,6,3,Friendly,Kampala,Uganda,False
1953-09-19,Uganda,Burundi,9,1,Friendly,Kampala,Uganda,False
1953-09-29,Zanzibar,Uganda,1,5,Friendly,Zanzibar City,Zanzibar,False
1953-10-03,Kenya,Uganda,6,2,Friendly,Zanzibar City,Zanzibar,True
1954-10-06,Tanzania,Uganda,3,5,Friendly,Nairobi,Kenya,True
1954-10-09,Kenya,Uganda,2,2,Friendly,Nairobi,Kenya,False
1954-10-10,Kenya,Uganda,1,4,Friendly,Nairobi,Kenya,False
1955-10-11,Kenya,Uganda,0,1,Friendly,Dar es Salaam,Tanganyika,True
1955-10-15,Tanzania,Uganda,1,5,Friendly,Dar es Salaam,Tanganyika,False
1956-11-28,Uganda,Zanzibar,5,2,Friendly,Kampala,Uganda,False
1956-12-01,Uganda,Kenya,3,2,Friendly,Kampala,Uganda,False
1957-09-03,Tanzania,Uganda,2,4,Friendly,Zanzibar City,Zanzibar,True
1957-09-07,Kenya,Uganda,1,2,Friendly,Zanzibar City,Zanzibar,True
1958-10-04,Uganda,Zanzibar,1,1,Friendly,Nairobi,Kenya,True
1958-10-07,Uganda,Tanzania,2,0,Friendly,Nairobi,Kenya,True
1958-10-11,Kenya,Uganda,2,0,Friendly,Nairobi,Kenya,False
1959-10-04,Kenya,Uganda,0,0,Friendly,Dar es Salaam,Tanganyika,True
1959-10-06,Tanzania,Uganda,2,2,Friendly,Dar es Salaam,Tanganyika,False
1959-10-09,Zanzibar,Uganda,1,0,Friendly,Dar es Salaam,Tanganyika,True
1960-10-08,Uganda,Tanzania,1,0,Friendly,Kampala,Uganda,False
