Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1972-03-17,Qatar,United Arab Emirates,0,1,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-19,Saudi Arabia,United Arab Emirates,4,0,Gulf Cup,Riyadh,Saudi Arabia,False
1972-03-22,Kuwait,United Arab Emirates,7,0,Gulf Cup,Riyadh,Saudi Arabia,True
1972-03-25,Bahrain,United Arab Emirates,2,0,Gulf Cup,Riyadh,Saudi Arabia,True
1973-08-11,Libya,United Arab Emirates,2,2,Palestine Cup,Benghazi,Libya,False
1973-08-13,Algeria,United Arab Emirates,2,0,Palestine Cup,Benghazi,Libya,True
1973-08-16,Yemen,United Arab Emirates,1,1,Palestine Cup,Benghazi,Libya,True
1973-08-20,Iraq,United Arab Emirates,3,1,Palestine Cup,Benghazi,Libya,True
1974-03-15,Kuwait,United Arab Emirates,2,0,Gulf Cup,Kuwait City,Kuwait,False
1974-03-18,Bahrain,United Arab Emirates,0,4,Gulf Cup,Kuwait City,Kuwait,True
1974-03-23,Saudi Arabia,United Arab Emirates,2,0,Gulf Cup,Kuwait City,Kuwait,True
1974-03-26,Kuwait,United Arab Emirates,6,0,Gulf Cup,Kuwait City,Kuwait,False
1974-03-28,Qatar,United Arab Emirates,1,1,Gulf Cup,Kuwait City,Kuwait,True
1975-12-19,Tunisia,United Arab Emirates,3,0,Palestine Cup,Tunis,Tunisia,False
1975-12-21,Iraq,United Arab Emirates,5,0,Palestine Cup,Tunis,Tunisia,True
1976-03-27,Bahrain,United Arab Emirates,3,2,Gulf Cup,Doha,Qatar,True
1976-03-29,Saudi Arabia,United Arab Emirates,2,0,Gulf Cup,Doha,Qatar,True
1976-04-01,Qatar,United Arab Emirates,3,1,Gulf Cup,Doha,Qatar,False
1976-04-03,Kuwait,United Arab Emirates,0,0,Gulf Cup,Doha,Qatar,True
1976-04-06,Iraq,United Arab Emirates,4,0,Gulf Cup,Doha,Qatar,True
1976-04-10,Oman,United Arab Emirates,1,1,Gulf Cup,Doha,Qatar,True
1979-03-24,Saudi Arabia,United Arab Emirates,2,1,Gulf Cup,Baghdad,Iraq,True
1979-03-27,Bahrain,United Arab Emirates,3,0,Gulf Cup,Baghdad,Iraq,True
1979-03-29,Qatar,United Arab Emirates,1,0,Gulf Cup,Baghdad,Iraq,True
1979-04-01,Kuwait,United Arab Emirates,7,0,Gulf Cup,Baghdad,Iraq,True
1979-04-04,Iraq,United Arab Emirates,5,0,Gulf Cup,Baghdad,Iraq,False
1979-04-09,Oman,United Arab Emirates,0,4,Gulf Cup,Baghdad,Iraq,True
1979-10-21,United Arab Emirates,India,0,0,Friendly,Abu Dhabi,United Arab Emirates,False
1980-08-05,United Arab Emirates,Iran,0,2,Friendly,Al Ain,United Arab Emirates,False
1980-08-07,United Arab Emirates,Iran,0,3,Friendly,Abu Dhabi,United Arab Emirates,False
1980-09-15,Kuwait,United Arab Emirates,1,1,AFC Asian Cup,Kuwait City,Kuwait,False
1980-09-17,Qatar,United Arab Emirates,2,1,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-20,United Arab Emirates,Malaysia,0,2,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-24,South Korea,United Arab Emirates,4,1,AFC Asian Cup,Kuwait City,Kuwait,True
1981-09-02,Indonesia,United Arab Emirates,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-05,India,United Arab Emirates,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-08,Japan,United Arab Emirates,3,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-10,New Zealand,United Arab Emirates,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-12,Malaysia,United Arab Emirates,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1981-10-26,United Arab Emirates,India,2,0,Friendly,Abu Dhabi,United Arab Emirates,False
1981-10-28,United Arab Emirates,India,3,1,Friendly,Sharjah,United Arab Emirates,False
1981-12-29,United Arab Emirates,Tunisia,1,4,Friendly,Al Ain,United Arab Emirates,False
1982-03-01,United Arab Emirates,Honduras,0,1,Friendly,Abu Dhabi,United Arab Emirates,False
1982-03-03,United Arab Emirates,Honduras,0,0,Friendly,Abu Dhabi,United Arab Emirates,False
1982-03-10,United Arab Emirates,Singapore,3,0,Friendly,Abu Dhabi,United Arab Emirates,False
1982-03-12,United Arab Emirates,Singapore,5,3,Friendly,Abu Dhabi,United Arab Emirates,False
1982-03-19,United Arab Emirates,Qatar,1,0,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1982-03-21,United Arab Emirates,Saudi Arabia,1,0,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1982-03-24,United Arab Emirates,Kuwait,0,2,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1982-03-27,United Arab Emirates,Bahrain,2,3,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1982-04-02,United Arab Emirates,Oman,3,1,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1982-08-07,Malaysia,United Arab Emirates,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
