Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1885-11-28,United States,Canada,0,1,Friendly,Newark,United States,False
1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,False
1916-08-20,Sweden,United States,2,3,Friendly,Stockholm,Sweden,False
1916-09-03,Norway,United States,1,1,Friendly,Kristiania,Norway,False
1919-06-25,United States,Canada,5,4,Inter-Allied Games,Paris,France,True
1919-06-26,Czechoslovakia,United States,8,2,Inter-Allied Games,Paris,France,True
1919-06-28,Belgium,United States,7,0,Inter-Allied Games,Paris,France,True
1924-05-25,United States,Estonia,1,0,Olympic Games,Vincennes,France,True
1924-05-29,Uruguay,United States,3,0,Olympic Games,Paris,France,True
1924-06-10,Poland,United States,2,3,Friendly,Warsaw,Poland,False
1925-06-27,Canada,United States,1,0,Friendly,Montreal,Canada,False
1925-11-08,United States,Canada,6,1,Friendly,New York,United States,False
1926-11-06,United States,Canada,6,2,Friendly,New York,United States,False
1928-05-29,Argentina,United States,11,2,Olympic Games,Amsterdam,Netherlands,True
1928-06-10,Poland,United States,3,3,Friendly,Warsaw,Poland,False
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True
1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True
1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True
1930-08-17,Brazil,United States,4,3,Friendly,Rio de Janeiro,Brazil,False
1934-05-24,Mexico,United States,2,4,FIFA World Cup qualification,Rome,Italy,True
1934-05-27,Italy,United States,7,1,FIFA World Cup,Rome,Italy,False
1935-05-19,United States,Scotland,1,5,Friendly,New York,United States,False
1935-06-09,United States,Scotland,1,4,Friendly,Newark,United States,False
1937-09-12,Mexico,United States,7,2,Friendly,Mexico City,Mexico,False
1937-09-19,Mexico,United States,7,3,Friendly,Mexico City,Mexico,False
1947-07-13,Mexico,United States,5,0,NAFC Championship,Havana,Cuba,True
1947-07-20,Cuba,United States,5,2,NAFC Championship,Havana,Cuba,False
1948-08-06,Norway,United States,11,0,Friendly,Oslo,Norway,False
1948-08-11,Northern Ireland,United States,5,0,Friendly,Belfast,Northern Ireland,False
1948-09-26,United States,Israel,3,1,Friendly,East Rutherford,United States,False
1949-06-19,United States,Scotland,0,4,Friendly,New York,United States,False
1949-09-04,Mexico,United States,6,0,NAFC Championship,Mexico City,Mexico,False
1949-09-14,Cuba,United States,1,1,NAFC Championship,Mexico City,Mexico,True
1949-09-18,Mexico,United States,6,2,FIFA World Cup qualification,Mexico City,Mexico,False
1949-09-21,United States,Cuba,5,2,FIFA World Cup qualification,Mexico City,Mexico,True
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True
1950-06-29,England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True
1950-07-02,Chile,United States,5,2,FIFA World Cup,Recife,Brazil,True
1952-04-30,Scotland,United States,6,0,Friendly,Glasgow,Scotland,False
1953-06-08,United States,England,3,6,Friendly,New York,United States,False
1954-01-10,Mexico,United States,4,0,FIFA World Cup qualification,Mexico City,Mexico,False
1954-01-14,Mexico,United States,3,1,FIFA World Cup qualification,Mexico City,Mexico,False
1954-04-03,Haiti,United States,2,3,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1954-04-04,Haiti,United States,0,3,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1955-08-25,Iceland,United States,3,2,Friendly,Reykjavík,Iceland,False
1956-10-31,South Korea,United States,1,0,Friendly,Seoul,South Korea,False
1956-11-10,Philippines,United States,0,4,Friendly,Manila,Philippines,False
1956-11-16,Indonesia,United States,7,5,Friendly,Jakarta,Indonesia,False
1957-04-07,Mexico,United States,6,0,FIFA World Cup qualification,Mexico City,Mexico,False
1957-04-28,United States,Mexico,2,7,FIFA World Cup qualification,Long Beach,United States,False
1957-06-22,Canada,United States,5,1,FIFA World Cup qualification,Toronto,Canada,False
1957-07-06,United States,Canada,2,3,FIFA World Cup qualification,St. Louis,United States,False
1959-05-28,United States,England,1,8,Friendly,Los Angeles,United States,False
1960-11-03,United States,Mexico,3,3,FIFA World Cup qualification,Los Angeles,United States,False
