Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1902-07-20,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,False
1903-09-13,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,False
1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,False
1906-10-21,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False
1909-09-19,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,False
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1910-05-29,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,True
1910-06-12,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,False
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,False
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1911-08-15,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,False
1911-09-17,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,False
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1912-08-15,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1912-10-06,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,False
1912-12-01,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,False
1913-06-15,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,False
1913-07-09,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,False
1913-08-15,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,False
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1913-10-26,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,False
1914-08-30,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1914-09-13,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1915-07-18,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1915-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False
1915-09-12,Uruguay,Argentina,2,0,Copa Newton,Montevideo,Uruguay,False
1916-07-02,Chile,Uruguay,0,4,Copa América,Buenos Aires,Argentina,True
1916-07-12,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True
1916-07-14,Uruguay,Chile,4,1,Friendly,Montevideo,Uruguay,False
1916-07-17,Argentina,Uruguay,0,0,Copa América,Avellaneda,Argentina,False
1916-07-18,Uruguay,Brazil,0,1,Friendly,Montevideo,Uruguay,False
1916-08-15,Argentina,Uruguay,3,1,Copa Newton,Avellaneda,Argentina,False
1916-08-15,Uruguay,Argentina,1,2,Copa Lipton,Montevideo,Uruguay,False
1916-10-01,Argentina,Uruguay,7,2,Friendly,Avellaneda,Argentina,False
1916-10-01,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1916-10-29,Uruguay,Argentina,3,1,Friendly,Montevideo,Uruguay,False
1917-07-18,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1917-08-15,Argentina,Uruguay,1,0,Copa Lipton,Avellaneda,Argentina,False
1917-09-02,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,False
1917-09-30,Uruguay,Chile,4,0,Copa América,Montevideo,Uruguay,False
1917-10-07,Uruguay,Brazil,4,0,Copa América,Montevideo,Uruguay,False
1917-10-14,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,False
1917-10-16,Uruguay,Brazil,3,1,Friendly,Montevideo,Uruguay,False
1918-07-18,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1918-07-28,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1918-08-15,Argentina,Uruguay,0,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1918-08-25,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1918-09-20,Uruguay,Argentina,1,1,Copa Lipton,Montevideo,Uruguay,False
1918-09-29,Argentina,Uruguay,2,0,Copa Newton,Buenos Aires,Argentina,False
1919-05-13,Argentina,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,True
1919-05-17,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,True
1919-05-26,Brazil,Uruguay,2,2,Copa América,Rio de Janeiro,Brazil,False
1919-05-29,Brazil,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,False
1919-07-18,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1919-08-24,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,False
1919-09-07,Argentina,Uruguay,1,2,Copa Lipton,Buenos Aires,Argentina,False
1919-10-19,Argentina,Uruguay,6,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1919-12-07,Uruguay,Argentina,4,2,Friendly,Montevideo,Uruguay,False
1920-07-18,Uruguay,Argentina,2,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1920-07-25,Argentina,Uruguay,1,3,Copa Newton,Buenos Aires,Argentina,False
1920-08-08,Argentina,Uruguay,1,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
1920-09-12,Uruguay,Argentina,1,1,Copa América,Viña del Mar,Chile,True
1920-09-18,Brazil,Uruguay,0,6,Copa América,Viña del Mar,Chile,True
1920-10-03,Chile,Uruguay,1,2,Copa América,Viña del Mar,Chile,False
1921-10-09,Paraguay,Uruguay,2,1,Copa América,Buenos Aires,Argentina,True
1921-10-23,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,True
1921-10-30,Argentina,Uruguay,1,0,Copa América,Buenos Aires,Argentina,False
1921-11-02,Uruguay,Paraguay,4,2,Friendly,Montevideo,Uruguay,False
1922-09-23,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,True
1922-10-01,Brazil,Uruguay,0,0,Copa América,Rio de Janeiro,Brazil,False
1922-10-08,Argentina,Uruguay,0,1,Copa América,Rio de Janeiro,Brazil,True
1922-10-12,Paraguay,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,True
1922-11-12,Uruguay,Argentina,1,0,Copa Lipton,Montevideo,Uruguay,False
1922-12-10,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1922-12-17,Argentina,Uruguay,2,2,Copa Newton,Buenos Aires,Argentina,False
1923-06-24,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
1923-07-15,Argentina,Uruguay,2,2,Friendly,Buenos Aires,Argentina,False
1923-07-22,Uruguay,Argentina,2,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1923-09-30,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
1923-11-04,Uruguay,Paraguay,2,0,Copa América,Montevideo,Uruguay,False
1923-11-25,Uruguay,Brazil,2,1,Copa América,Montevideo,Uruguay,False
1923-12-02,Uruguay,Argentina,2,0,Copa América,Montevideo,Uruguay,False
1924-05-25,Argentina,Uruguay,4,0,Copa Newton,Buenos Aires,Argentina,False
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
1924-05-26,Uruguay,Yugoslavia,7,0,Olympic Games,Colombes,France,True
1924-05-29,Uruguay,United States,3,0,Olympic Games,Paris,France,True
1924-06-01,France,Uruguay,1,5,Olympic Games,Colombes,France,False
1924-06-06,Uruguay,Netherlands,2,1,Olympic Games,Colombes,France,True
1924-06-09,Uruguay,Switzerland,3,0,Olympic Games,Colombes,France,True
1924-09-21,Uruguay,Argentina,1,1,Friendly,Montevideo,Uruguay,False
1924-10-02,Argentina,Uruguay,2,1,Friendly,Buenos Aires,Argentina,False
1924-10-19,Uruguay,Chile,5,0,Copa América,Montevideo,Uruguay,False
1924-10-26,Uruguay,Paraguay,3,1,Copa América,Montevideo,Uruguay,False
1924-11-02,Uruguay,Argentina,0,0,Copa América,Montevideo,Uruguay,False
1925-07-14,Uruguay,Paraguay,0,1,Friendly,Montevideo,Uruguay,False
1925-07-18,Uruguay,Paraguay,0,1,Friendly,Montevideo,Uruguay,False
