Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1992-06-17,Tajikistan,Uzbekistan,2,2,Friendly,Dushanbe,Tajikistan,False
1992-06-28,Uzbekistan,Turkmenistan,2,1,Friendly,Tashkent,Uzbekistan,False
1992-07-16,Kazakhstan,Uzbekistan,1,0,Friendly,Almaty,Kazakhstan,False
1992-08-23,Uzbekistan,Kyrgyzstan,3,0,Friendly,Tashkent,Uzbekistan,False
1992-10-03,Kyrgyzstan,Uzbekistan,2,6,Friendly,Bishkek,Kyrgyzstan,False
1992-10-14,Uzbekistan,Kazakhstan,1,1,Friendly,Tashkent,Uzbekistan,False
1992-10-25,Turkmenistan,Uzbekistan,1,0,Friendly,Ashgabat,Turkmenistan,False
1994-04-11,Uzbekistan,Turkmenistan,4,0,Friendly,Tashkent,Uzbekistan,False
1994-04-13,Uzbekistan,Kazakhstan,1,0,Friendly,Tashkent,Uzbekistan,False
1994-04-17,Uzbekistan,Tajikistan,1,1,Friendly,Tashkent,Uzbekistan,False
1994-04-19,Uzbekistan,Kyrgyzstan,3,0,Friendly,Tashkent,Uzbekistan,False
1994-10-01,Saudi Arabia,Uzbekistan,1,4,Asian Games,Hiroshima,Japan,True
1994-10-03,Uzbekistan,Malaysia,5,0,Asian Games,Hiroshima,Japan,True
1994-10-05,Hong Kong,Uzbekistan,0,1,Asian Games,Miyoshi,Japan,True
1994-10-07,Thailand,Uzbekistan,4,5,Asian Games,Hiroshima,Japan,True
1994-10-11,Uzbekistan,Turkmenistan,3,0,Asian Games,Miyoshi,Japan,True
1994-10-13,Uzbekistan,South Korea,1,0,Asian Games,Hiroshima,Japan,True
1994-10-16,China PR,Uzbekistan,2,4,Asian Games,Hiroshima,Japan,True
1995-03-08,Iraq,Uzbekistan,3,1,Nehru Cup,Calcutta,India,True
1995-03-14,India,Uzbekistan,1,0,Nehru Cup,Calcutta,India,False
1995-03-16,Thailand,Uzbekistan,0,1,Nehru Cup,Calcutta,India,True
1995-10-21,Uzbekistan,Nigeria,2,3,Friendly,Tashkent,Uzbekistan,False
1995-11-10,Nigeria,Uzbekistan,1,0,Friendly,Lagos,Nigeria,False
1996-05-08,Tajikistan,Uzbekistan,4,0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
1996-06-19,Uzbekistan,Tajikistan,5,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
1996-09-11,Japan,Uzbekistan,1,0,Friendly,Tokyo,Japan,False
1996-11-19,United Arab Emirates,Uzbekistan,4,2,Friendly,Abu Dhabi,United Arab Emirates,False
1996-11-22,United Arab Emirates,Uzbekistan,2,0,Friendly,Abu Dhabi,United Arab Emirates,False
1996-12-06,China PR,Uzbekistan,0,2,AFC Asian Cup,Al Ain,United Arab Emirates,True
1996-12-09,Japan,Uzbekistan,4,0,AFC Asian Cup,Al Ain,United Arab Emirates,True
