Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1951-10-04,New Zealand,Vanuatu,9,0,Friendly,Nouméa,New Caledonia,True
1953-09-11,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1953-09-14,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1957-09-09,Tahiti,Vanuatu,2,1,Friendly,Papeete,Tahiti,False
1963-08-30,Solomon Islands,Vanuatu,6,3,South Pacific Games,Suva,Fiji,True
1966-12-12,New Caledonia,Vanuatu,5,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-13,Solomon Islands,Vanuatu,4,4,South Pacific Games,Nouméa,New Caledonia,True
1966-12-15,Tahiti,Vanuatu,3,0,South Pacific Games,Nouméa,New Caledonia,True
1966-12-17,Papua New Guinea,Vanuatu,2,5,South Pacific Games,Nouméa,New Caledonia,True
1969-08-14,Tahiti,Vanuatu,3,3,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-15,Fiji,Vanuatu,5,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-16,New Caledonia,Vanuatu,2,0,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-18,Papua New Guinea,Vanuatu,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-20,Vanuatu,Solomon Islands,7,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1971-09-11,Fiji,Vanuatu,4,6,South Pacific Games,Papeete,Tahiti,True
1971-09-13,New Caledonia,Vanuatu,0,0,South Pacific Games,Papeete,Tahiti,True
1971-09-16,Tahiti,Vanuatu,1,2,South Pacific Games,Papeete,Tahiti,False
1971-09-18,New Caledonia,Vanuatu,7,1,South Pacific Games,Papeete,Tahiti,True
1973-02-18,New Caledonia,Vanuatu,4,1,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-20,Vanuatu,Tahiti,0,1,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-21,Fiji,Vanuatu,1,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-23,New Zealand,Vanuatu,3,1,Oceania Nations Cup,Auckland,New Zealand,False
1973-02-24,New Caledonia,Vanuatu,2,1,Oceania Nations Cup,Auckland,New Zealand,True
1975-08-02,Vanuatu,Papua New Guinea,3,0,South Pacific Games,Tamuning,Guam,True
1975-08-04,New Caledonia,Vanuatu,3,1,South Pacific Games,Tamuning,Guam,True
1975-08-05,Vanuatu,Tahiti,0,3,South Pacific Games,Tamuning,Guam,True
1978-08-07,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1979-08-29,Guam,Vanuatu,0,4,South Pacific Games,Suva,Fiji,True
1979-08-31,New Caledonia,Vanuatu,3,0,South Pacific Games,Suva,Fiji,True
1979-09-03,Tahiti,Vanuatu,1,0,South Pacific Games,Suva,Fiji,True
1979-09-05,Vanuatu,Papua New Guinea,2,0,South Pacific Games,Nausori,Fiji,True
1979-09-06,Vanuatu,Tonga,7,1,South Pacific Games,Nausori,Fiji,True
1980-02-24,Vanuatu,Papua New Guinea,3,4,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-26,New Caledonia,Vanuatu,4,3,Oceania Nations Cup,Nouméa,New Caledonia,False
1980-02-28,Australia,Vanuatu,1,0,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-03-20,Tahiti,Vanuatu,1,0,Friendly,Papeete,Tahiti,False
1981-07-07,Vanuatu,Samoa,13,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-08,Vanuatu,New Caledonia,2,2,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-09,Tahiti,Vanuatu,1,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-10,Vanuatu,Fiji,1,1,South Pacific Mini Games,Honiara,Solomon Islands,True
