Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-02-12,Panama,Venezuela,2,1,Central American and Caribbean Games,Panama City,Panama,False
1938-02-14,Mexico,Venezuela,1,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-16,El Salvador,Venezuela,3,2,Central American and Caribbean Games,Panama City,Panama,True
1938-02-20,Venezuela,Costa Rica,0,3,Central American and Caribbean Games,Panama City,Panama,True
1938-02-23,Venezuela,Colombia,2,1,Central American and Caribbean Games,Panama City,Panama,True
1938-08-11,Bolivia,Venezuela,3,1,Bolivarian Games,Bogotá,Colombia,True
1938-08-13,Colombia,Venezuela,2,0,Bolivarian Games,Bogotá,Colombia,False
1938-08-17,Peru,Venezuela,2,1,Bolivarian Games,Bogotá,Colombia,True
1938-08-19,Ecuador,Venezuela,5,2,Bolivarian Games,Bogotá,Colombia,True
1944-04-01,Aruba,Venezuela,1,3,Friendly,Willemstad,Curaçao,True
1944-04-05,Haiti,Venezuela,0,2,Friendly,Willemstad,Curaçao,True
1944-04-09,Curaçao,Venezuela,3,3,Friendly,Willemstad,Curaçao,False
1946-12-12,Colombia,Venezuela,2,0,Central American and Caribbean Games,Barranquilla,Colombia,False
1946-12-14,Costa Rica,Venezuela,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-16,Panama,Venezuela,2,1,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-18,Venezuela,Guatemala,3,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-19,Curaçao,Venezuela,1,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-20,Venezuela,Puerto Rico,6,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1947-01-05,Venezuela,Bolivia,2,2,Bolivarian Games,Lima,Peru,True
1951-12-08,Venezuela,Panama,4,1,Friendly,Caracas,Venezuela,False
1956-03-09,Panama,Venezuela,0,1,Friendly,Port-au-Prince,Haiti,True
1956-03-10,Haiti,Venezuela,1,1,Friendly,Port-au-Prince,Haiti,False
1956-03-14,Panama,Venezuela,2,4,Friendly,Port-au-Prince,Haiti,True
1956-03-16,Haiti,Venezuela,3,0,Friendly,Port-au-Prince,Haiti,False
1961-12-04,Panama,Venezuela,2,6,Friendly,Barranquilla,Colombia,True
1961-12-12,Panama,Venezuela,0,3,Friendly,Barranquilla,Colombia,True
1965-05-16,Peru,Venezuela,1,0,FIFA World Cup qualification,Lima,Peru,False
1965-05-23,Uruguay,Venezuela,5,0,FIFA World Cup qualification,Montevideo,Uruguay,False
