Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-05-03,Vietnam Republic,Malaysia,4,0,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1956-05-24,Malaysia,Vietnam Republic,3,3,AFC Asian Cup qualification,Kuala Lumpur,Malaya,True
1956-09-09,Hong Kong,Vietnam Republic,2,2,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-12,Israel,Vietnam Republic,2,1,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-15,South Korea,Vietnam Republic,5,3,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-10-19,Vietnam Republic,Thailand,2,1,Friendly,Saigon,Vietnam Republic,False
1956-10-22,Vietnam Republic,Thailand,3,1,Friendly,Saigon,Vietnam Republic,False
1957-08-31,Singapore,Vietnam Republic,5,5,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-01,Singapore,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-03,Malaysia,Vietnam Republic,1,4,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-05,Indonesia,Vietnam Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1958-05-25,Vietnam Republic,Pakistan,1,1,Asian Games,Tokyo,Japan,True
1958-05-27,Malaysia,Vietnam Republic,1,6,Asian Games,Tokyo,Japan,True
1958-05-30,South Korea,Vietnam Republic,3,1,Asian Games,Tokyo,Japan,True
1958-08-30,Singapore,Vietnam Republic,4,4,Merdeka Tournament,Kuala Lumpur,Malaya,True
1958-09-02,Indonesia,Vietnam Republic,4,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1958-09-04,Malaysia,Vietnam Republic,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1959-05-09,Singapore,Vietnam Republic,1,4,AFC Asian Cup qualification,Kallang,Singapore,False
1959-05-13,Malaysia,Vietnam Republic,0,1,AFC Asian Cup qualification,Kallang,Singapore,True
1959-08-30,South Korea,Vietnam Republic,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-09-02,Malaysia,Vietnam Republic,4,3,Merdeka Tournament,Kuala Lumpur,Malaya,False
1959-09-06,India,Vietnam Republic,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-09-10,India,Vietnam Republic,1,5,Friendly,Kallang,Singapore,True
1959-12-13,Thailand,Vietnam Republic,0,4,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-14,Vietnam Republic,Myanmar,3,0,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-15,Malaysia,Vietnam Republic,2,1,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-17,Thailand,Vietnam Republic,1,3,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1960-08-07,Vietnam Republic,Singapore,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-10,Vietnam Republic,South Korea,0,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-13,Indonesia,Vietnam Republic,5,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-17,Indonesia,Vietnam Republic,1,1,Friendly,Kallang,Singapore,True
1960-08-18,Pakistan,Vietnam Republic,2,2,Friendly,Kallang,Singapore,True
1960-10-14,South Korea,Vietnam Republic,5,1,AFC Asian Cup,Seoul,South Korea,False
1960-10-16,Taiwan,Vietnam Republic,2,0,AFC Asian Cup,Seoul,South Korea,True
1960-10-19,Israel,Vietnam Republic,5,1,AFC Asian Cup,Seoul,South Korea,True
1961-08-03,India,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-05,Malaysia,Vietnam Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-08-10,Japan,Vietnam Republic,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-13,Singapore,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-16,Thailand,Vietnam Republic,1,2,Friendly,Kallang,Singapore,True
1961-08-17,India,Vietnam Republic,1,3,Friendly,Kallang,Singapore,True
1961-10-21,Vietnam Republic,Indonesia,4,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1961-10-26,Vietnam Republic,Malaysia,1,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1961-12-11,Thailand,Vietnam Republic,0,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-12,Vietnam Republic,Laos,7,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-14,Myanmar,Vietnam Republic,2,1,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-16,Thailand,Vietnam Republic,1,1,Southeast Asian Peninsular Games,Rangoon,Burma,True
1962-02-19,Indonesia,Vietnam Republic,1,2,Friendly,Jakarta,Indonesia,False
1962-07-14,Vietnam Republic,Taiwan,1,1,Friendly,Saigon,Vietnam Republic,False
1962-08-25,Indonesia,Vietnam Republic,1,0,Asian Games,Jakarta,Indonesia,False
1962-08-29,Vietnam Republic,Malaysia,3,0,Asian Games,Jakarta,Indonesia,True
1962-08-30,Vietnam Republic,Philippines,6,0,Asian Games,Jakarta,Indonesia,True
1962-09-01,Vietnam Republic,India,2,3,Asian Games,Jakarta,Indonesia,True
1962-09-03,Vietnam Republic,Malaysia,1,4,Asian Games,Jakarta,Indonesia,True
1962-09-14,Indonesia,Vietnam Republic,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-16,Philippines,Vietnam Republic,0,6,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-17,Singapore,Vietnam Republic,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-10-25,Vietnam Republic,Indonesia,4,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1962-10-28,Vietnam Republic,Thailand,0,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1962-10-30,Vietnam Republic,Malaysia,2,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1962-10-31,Vietnam Republic,Indonesia,2,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1963-08-09,Taiwan,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-11,Malaysia,Vietnam Republic,0,5,Merdeka Tournament,Kuala Lumpur,Malaya,False
1963-08-12,Vietnam Republic,Japan,1,5,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-14,South Korea,Vietnam Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-17,Thailand,Vietnam Republic,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-10-12,Japan,Vietnam Republic,2,1,Friendly,Tokyo,Japan,False
1963-12-07,Vietnam Republic,Malaysia,5,3,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1963-12-11,Vietnam Republic,Hong Kong,1,4,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1963-12-14,Vietnam Republic,Thailand,3,0,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1964-06-30,Vietnam Republic,South Korea,1,2,Friendly,Saigon,Vietnam Republic,False
1964-08-28,Taiwan,Vietnam Republic,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-08-30,Malaysia,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-09-02,Myanmar,Vietnam Republic,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-15,Vietnam Republic,Taiwan,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-17,Hong Kong,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-19,Malaysia,Vietnam Republic,3,3,Merdeka Tournament,Ipoh,Malaysia,False
1965-08-21,South Korea,Vietnam Republic,0,0,Merdeka Tournament,Ipoh,Malaysia,True
1965-08-25,India,Vietnam Republic,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-28,Japan,Vietnam Republic,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-11-13,Vietnam Republic,Thailand,4,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1965-11-16,Vietnam Republic,Malaysia,2,2,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1965-12-15,Thailand,Vietnam Republic,2,1,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
1965-12-16,Vietnam Republic,Singapore,5,1,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
1965-12-18,Thailand,Vietnam Republic,2,0,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
1965-12-20,Malaysia,Vietnam Republic,0,2,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,False
1966-08-13,Malaysia,Vietnam Republic,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1966-08-17,Taiwan,Vietnam Republic,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-20,Singapore,Vietnam Republic,1,2,Merdeka Tournament,Ipoh,Malaysia,True
1966-08-22,Japan,Vietnam Republic,0,2,Merdeka Tournament,Ipoh,Malaysia,True
1966-08-26,India,Vietnam Republic,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-28,Myanmar,Vietnam Republic,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-29,Singapore,Vietnam Republic,2,2,Friendly,Kallang,Singapore,False
1966-11-01,Vietnam Republic,Malaysia,3,2,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1966-11-05,Vietnam Republic,Thailand,4,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1966-12-11,Indonesia,Vietnam Republic,0,0,Asian Games,Bangkok,Thailand,True
1966-12-12,Vietnam Republic,Taiwan,2,1,Asian Games,Bangkok,Thailand,True
1966-12-14,Singapore,Vietnam Republic,5,0,Asian Games,Bangkok,Thailand,True
1967-03-22,Hong Kong,Vietnam Republic,2,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
1967-03-24,Thailand,Vietnam Republic,0,1,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1967-03-29,Vietnam Republic,Malaysia,0,2,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1967-04-02,Vietnam Republic,Singapore,3,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1967-08-12,Hong Kong,Vietnam Republic,0,5,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-15,Malaysia,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1967-08-16,Vietnam Republic,Western Australia,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-19,Thailand,Vietnam Republic,2,5,Merdeka Tournament,Ipoh,Malaysia,True
1967-08-20,India,Vietnam Republic,0,1,Merdeka Tournament,Ipoh,Malaysia,True
1967-08-22,Myanmar,Vietnam Republic,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-25,Malaysia,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1967-08-28,Singapore,Vietnam Republic,1,0,Friendly,Kallang,Singapore,False
1967-11-04,Vietnam Republic,Singapore,2,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1967-11-07,Vietnam Republic,Australia,0,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1967-11-10,Vietnam Republic,New Zealand,5,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1967-11-12,Vietnam Republic,South Korea,0,3,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1967-11-14,Vietnam Republic,Malaysia,4,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
