Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1966-12-11,Tahiti,Wallis Islands and Futuna,5,0,South Pacific Games,Nouméa,New Caledonia,True
1966-12-13,Papua New Guinea,Wallis Islands and Futuna,9,1,South Pacific Games,Nouméa,New Caledonia,True
1979-08-29,Solomon Islands,Wallis Islands and Futuna,6,0,South Pacific Games,Suva,Fiji,True
1979-09-01,Wallis Islands and Futuna,Samoa,3,1,South Pacific Games,Nausori,Fiji,True
1979-09-03,Fiji,Wallis Islands and Futuna,5,0,South Pacific Games,Nausori,Fiji,False
1979-09-05,Tonga,Wallis Islands and Futuna,1,0,South Pacific Games,Nausori,Fiji,True
1983-08-20,Tonga,Wallis Islands and Futuna,0,3,South Pacific Games,Apia,Western Samoa,True
1983-08-22,American Samoa,Wallis Islands and Futuna,3,0,South Pacific Games,Apia,Western Samoa,True
1983-08-24,Samoa,Wallis Islands and Futuna,1,2,South Pacific Games,Apia,Western Samoa,True
1983-09-14,New Caledonia,Wallis Islands and Futuna,4,0,South Pacific Games,Apia,Western Samoa,True
1987-12-09,Vanuatu,Wallis Islands and Futuna,6,1,South Pacific Games,Nouméa,New Caledonia,True
1987-12-10,Tahiti,Wallis Islands and Futuna,4,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-12,American Samoa,Wallis Islands and Futuna,1,5,South Pacific Games,Nouméa,New Caledonia,True
1987-12-15,New Caledonia,Wallis Islands and Futuna,5,1,South Pacific Games,Nouméa,New Caledonia,False
1987-12-17,Papua New Guinea,Wallis Islands and Futuna,2,0,South Pacific Games,Nouméa,New Caledonia,True
1991-09-10,Vanuatu,Wallis Islands and Futuna,4,0,South Pacific Games,Lae,Papua New Guinea,True
1991-09-11,Solomon Islands,Wallis Islands and Futuna,5,0,South Pacific Games,Lae,Papua New Guinea,True
1991-09-15,Papua New Guinea,Wallis Islands and Futuna,5,0,South Pacific Games,Lae,Papua New Guinea,False
1991-09-17,Wallis Islands and Futuna,Tahiti,0,5,South Pacific Games,Lae,Papua New Guinea,True
1991-09-18,Wallis Islands and Futuna,Guam,5,0,South Pacific Games,Lae,Papua New Guinea,True
1995-08-16,Solomon Islands,Wallis Islands and Futuna,12,1,South Pacific Games,Papeete,Tahiti,True
1995-08-17,Tahiti,Wallis Islands and Futuna,13,0,South Pacific Games,Papeete,Tahiti,True
1995-08-19,Cook Islands,Wallis Islands and Futuna,2,1,South Pacific Games,Papeete,Tahiti,True
1995-08-20,New Caledonia,Wallis Islands and Futuna,10,0,South Pacific Games,Papeete,Tahiti,True
