Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1967-08-10,Malaysia,Western Australia,3,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1967-08-13,India,Western Australia,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-15,Thailand,Western Australia,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-16,Vietnam Republic,Western Australia,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-18,Hong Kong,Western Australia,3,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-24,Singapore,Western Australia,3,5,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-10,South Korea,Western Australia,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-12,Indonesia,Western Australia,4,5,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-15,Western Australia,Taiwan,3,2,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-18,Singapore,Western Australia,4,4,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-22,Malaysia,Western Australia,4,3,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1968-08-24,Indonesia,Western Australia,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-10-31,India,Western Australia,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-02,Singapore,Western Australia,4,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-04,Myanmar,Western Australia,5,2,Merdeka Tournament,Ipoh,Malaysia,True
1969-11-06,South Korea,Western Australia,3,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-08,India,Western Australia,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-19,Vietnam Republic,Western Australia,3,1,King's Cup,Bangkok,Thailand,True
1969-11-21,Singapore,Western Australia,1,3,King's Cup,Bangkok,Thailand,True
1969-11-23,Indonesia,Western Australia,3,1,King's Cup,Bangkok,Thailand,True
1970-06-23,Indonesia,Western Australia,3,1,Indonesia Tournament,Jakarta,Indonesia,False
1970-06-24,Hong Kong,Western Australia,3,1,Indonesia Tournament,Jakarta,Indonesia,True
1970-08-01,Myanmar,Western Australia,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-03,Vietnam Republic,Western Australia,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-05,India,Western Australia,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-07,Malaysia,Western Australia,4,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1970-08-09,Taiwan,Western Australia,1,3,Merdeka Tournament,Ipoh,Malaysia,True
1970-08-12,Thailand,Western Australia,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-06-06,Cambodia,Western Australia,2,2,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-09,Malaysia,Western Australia,3,2,Indonesia Tournament,Jakarta,Indonesia,True
1980-11-16,Brunei,Western Australia,0,2,King's Cup,Bangkok,Thailand,True
1980-11-25,Singapore,Western Australia,1,1,King's Cup,Bangkok,Thailand,True
