Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2005-07-11,Guernsey,Western Isles,2,1,Island Games,Shetland,Scotland,True
2005-07-12,Western Isles,Greenland,4,4,Island Games,Shetland,Scotland,True
2005-07-13,Ynys Môn,Western Isles,0,0,Island Games,Shetland,Scotland,True
2005-07-14,Western Isles,Orkney,5,4,Island Games,Shetland,Scotland,True
2005-07-15,Western Isles,Isle of Man,4,0,Island Games,Shetland,Scotland,True
2007-07-01,Western Isles,Gotland,2,1,Island Games,Rhodes,Greece,True
2007-07-02,Gotland,Western Isles,1,3,Island Games,Rhodes,Greece,True
2007-07-04,Rhodes,Western Isles,1,0,Island Games,Rhodes,Greece,False
2007-07-05,Bermuda,Western Isles,0,1,Island Games,Rhodes,Greece,True
2009-06-28,Western Isles,Gotland,2,1,Island Games,Hammarland,Sweden,True
2009-06-29,Isle of Man,Western Isles,5,0,Island Games,Finström,Sweden,True
2009-06-30,Western Isles,Falkland Islands,7,1,Island Games,Eckerö,Sweden,True
2009-07-03,Menorca,Western Isles,4,1,Island Games,Jomala,Sweden,True
2011-06-27,Western Isles,Åland Islands,0,2,Island Games,Newport,England,True
2011-06-28,Saare County,Western Isles,2,0,Island Games,Cowes,England,True
2011-06-30,Greenland,Western Isles,1,0,Island Games,Shanklin,England,True
2015-06-28,Western Isles,Isle of Man,0,9,Island Games,St. Lawrence,Jersey,True
2015-06-29,Jersey,Western Isles,3,0,Island Games,St Helier,Jersey,False
2015-06-30,Alderney,Western Isles,2,3,Island Games,St. Peter,Jersey,True
2015-07-02,Falkland Islands,Western Isles,1,2,Island Games,St. Brelade,Jersey,True
2017-06-25,Western Isles,Greenland,0,3,Island Games,Dalhem,Sweden,True
2017-06-26,Gotland,Western Isles,8,0,Island Games,Dalhem,Sweden,False
2017-06-27,Frøya,Western Isles,2,4,Island Games,Säve,Sweden,True
2017-06-29,Hitra,Western Isles,1,1,Island Games,Stenkyrka,Sweden,True
2019-06-16,Ynys Môn,Western Isles,2,1,Inter Games Football Tournament,Anglesey,Wales,False
2019-06-17,Jersey,Western Isles,7,0,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-18,Western Isles,Orkney,1,2,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-20,Western Isles,Saint Helena,2,1,Inter Games Football Tournament,Anglesey,Wales,True
2023-07-09,Guernsey,Western Isles,1,0,Island Games,Saint Sampson,Guernsey,False
2023-07-10,Western Isles,Isle of Wight,0,1,Island Games,Saint Martin,Guernsey,True
2023-07-11,Åland Islands,Western Isles,0,2,Island Games,Saint Sampson,Guernsey,True
2023-07-13,Western Isles,Menorca,2,1,Island Games,Saint Sampson,Guernsey,True
