Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1989-07-06,Faroe Islands,Ynys Môn,6,0,Island Games,Gøta,Faroe Islands,False
1989-07-08,Åland Islands,Ynys Môn,4,5,Island Games,Sandavágur,Faroe Islands,True
1989-07-11,Ynys Môn,Shetland,3,0,Island Games,Sandur,Faroe Islands,True
1989-07-12,Ynys Môn,Greenland,1,0,Island Games,Klaksvík,Faroe Islands,True
1991-06-24,Ynys Môn,Guernsey,1,0,Island Games,Åland,Finland,True
1991-06-25,Ynys Môn,Isle of Wight,5,1,Island Games,Åland,Finland,True
1991-06-26,Åland Islands,Ynys Môn,0,1,Island Games,Åland,Finland,False
1991-06-29,Faroe Islands,Ynys Môn,2,0,Island Games,Åland,Finland,True
1993-07-04,Ynys Môn,Greenland,0,1,Island Games,Isle of Wight,England,True
1993-07-05,Ynys Môn,Gibraltar,1,0,Island Games,Isle of Wight,England,True
1993-07-06,Jersey,Ynys Môn,2,2,Island Games,Isle of Wight,England,True
1993-07-08,Isle of Wight,Ynys Môn,1,1,Island Games,Isle of Wight,England,False
1995-07-16,Isle of Man,Ynys Môn,0,2,Island Games,Gibraltar,Gibraltar,True
1995-07-17,Greenland,Ynys Môn,1,2,Island Games,Gibraltar,Gibraltar,True
1995-07-18,Gibraltar,Ynys Môn,2,0,Island Games,Gibraltar,Gibraltar,False
1995-07-21,Guernsey,Ynys Môn,4,2,Island Games,Gibraltar,Gibraltar,True
1997-06-29,Ynys Môn,Hitra,8,0,Island Games,St. Peter,Jersey,True
1997-07-01,Ynys Môn,Shetland,4,0,Island Games,St. Clement,Jersey,True
1997-07-03,Ynys Môn,Isle of Wight,0,0,Island Games,St. Peter,Jersey,True
1997-07-04,Jersey,Ynys Môn,2,1,Island Games,St Helier,Jersey,False
1999-06-27,Ynys Môn,Rhodes,1,1,Island Games,Fårösund,Sweden,True
1999-06-29,Guernsey,Ynys Môn,1,1,Island Games,Visby,Sweden,True
1999-07-01,Isle of Wight,Ynys Môn,1,3,Island Games,Visby,Sweden,True
1999-07-02,Ynys Môn,Isle of Man,1,0,Island Games,Visby,Sweden,True
2001-07-08,Ynys Môn,Saare County,4,1,Island Games,Castletown,Isle of Man,True
2001-07-10,Ynys Môn,Shetland,1,1,Island Games,Douglas,Isle of Man,True
2001-07-12,Ynys Môn,Jersey,2,2,Island Games,Castletown,Isle of Man,True
2001-07-13,Guernsey,Ynys Môn,0,0,Island Games,Douglas,Isle of Man,True
2003-06-29,Saare County,Ynys Môn,0,2,Island Games,Saint Sampson,Guernsey,True
2003-07-01,Ynys Môn,Isle of Man,1,2,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Gibraltar,Ynys Môn,0,2,Island Games,Saint Sampson,Guernsey,True
2005-07-10,Greenland,Ynys Môn,0,0,Island Games,Shetland,Scotland,True
2005-07-12,Orkney,Ynys Môn,0,2,Island Games,Shetland,Scotland,True
2005-07-13,Ynys Môn,Western Isles,0,0,Island Games,Shetland,Scotland,True
2005-07-14,Guernsey,Ynys Môn,3,0,Island Games,Shetland,Scotland,True
2005-07-15,Ynys Môn,Saare County,3,2,Island Games,Shetland,Scotland,True
2007-06-30,Bermuda,Ynys Môn,1,2,Island Games,Rhodes,Greece,True
2007-07-02,Ynys Môn,Åland Islands,0,2,Island Games,Rhodes,Greece,True
2007-07-04,Menorca,Ynys Môn,6,1,Island Games,Rhodes,Greece,True
2009-06-28,Ynys Môn,Frøya,3,0,Island Games,Jomala,Sweden,True
2009-06-29,Ynys Môn,Guernsey,0,2,Island Games,Jomala,Sweden,True
2009-06-30,Gibraltar,Ynys Môn,1,3,Island Games,Hammarland,Sweden,True
