Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1946-06-16,Zimbabwe,Zambia,0,4,Friendly,Salisbury,Southern Rhodesia,False
1947-02-22,Zambia,Zimbabwe,2,2,Friendly,Kitwe,Northern Rhodesia,False
1948-05-25,DR Congo,Zambia,2,3,Friendly,Brazzaville,Belgian Congo,False
1948-08-27,Zimbabwe,Zambia,4,0,Friendly,Salisbury,Southern Rhodesia,False
1950-01-24,Zambia,DR Congo,1,0,Friendly,Kitwe,Northern Rhodesia,False
1950-07-16,Zambia,Zimbabwe,3,2,Friendly,Kitwe,Northern Rhodesia,False
1951-02-24,Zimbabwe,Zambia,2,1,Friendly,Salisbury,Southern Rhodesia,False
1952-09-06,Zambia,Zimbabwe,1,4,Friendly,Kitwe,Northern Rhodesia,False
1952-09-11,Zambia,Zimbabwe,3,2,Friendly,Kitwe,Northern Rhodesia,False
1953-10-14,Zambia,Zimbabwe,1,0,Friendly,Kitwe,Northern Rhodesia,False
1954-05-03,Zambia,Israel,0,0,Friendly,Kitwe,Northern Rhodesia,False
1954-05-24,Zimbabwe,Zambia,1,0,Friendly,Salisbury,Southern Rhodesia,False
1954-08-18,Zimbabwe,Zambia,2,4,Friendly,Salisbury,Southern Rhodesia,False
1957-08-28,Malawi,Zambia,0,5,Friendly,Blantyre,Nyasaland,False
1958-04-22,Zimbabwe,Zambia,0,2,Friendly,Salisbury,Southern Rhodesia,False
1958-09-09,Zimbabwe,Zambia,4,2,Friendly,Salisbury,Southern Rhodesia,False
1963-07-06,Zambia,Malawi,5,1,Friendly,Kitwe,Northern Rhodesia,False
1963-10-19,Zambia,Kenya,0,1,Friendly,Kitwe,Northern Rhodesia,False
1964-07-03,Zambia,Tanzania,3,0,Friendly,Zomba,Nyasaland,True
1964-07-04,Malawi,Zambia,0,5,Friendly,Blantyre,Nyasaland,False
1964-10-20,Zambia,Uganda,0,2,Zambian Independence Tournament,Luanshya,Northern Rhodesia,False
1964-10-23,Zambia,Kenya,2,3,Zambian Independence Tournament,Ndola,Northern Rhodesia,False
1964-12-11,Kenya,Zambia,4,2,Friendly,Nairobi,Kenya,False
1964-12-13,Kenya,Zambia,2,8,Friendly,Nairobi,Kenya,False
1965-09-12,Zambia,Kenya,3,3,Friendly,Ndola,Zambia,False
1965-09-14,Zambia,Kenya,2,3,Friendly,Kitwe,Zambia,False
1965-09-18,Uganda,Zambia,2,2,Friendly,Kampala,Uganda,False
1965-09-19,Zambia,Kenya,3,2,Friendly,Lusaka,Zambia,False
1966-07-01,Zambia,Malawi,4,1,Friendly,Ndola,Zambia,False
1966-07-04,Malawi,Zambia,0,3,Friendly,Blantyre,Malawi,False
1966-07-05,Madagascar,Zambia,0,3,Friendly,Blantyre,Malawi,True
1966-07-06,Malawi,Zambia,0,6,Friendly,Blantyre,Malawi,False
1966-07-08,Malawi,Zambia,1,5,Friendly,Blantyre,Malawi,False
1966-09-06,Zambia,Kenya,0,1,Friendly,Ndola,Zambia,False
1966-09-09,Zambia,Kenya,2,1,Friendly,Lusaka,Zambia,False
1966-09-13,Zambia,Kenya,5,4,Friendly,Ndola,Zambia,False
