Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1947-09-18,Tanzania,Zanzibar,3,1,Friendly,Dar es Salaam,Tanganyika,False
1948-09-22,Kenya,Zanzibar,3,1,Friendly,Kampala,Uganda,True
1949-12-06,Zanzibar,Kenya,2,3,Friendly,Zanzibar City,Zanzibar,False
1950-10-10,Tanzania,Zanzibar,4,0,Friendly,Nairobi,Kenya,True
1951-09-26,Tanzania,Zanzibar,1,0,Friendly,Dar es Salaam,Tanganyika,False
1952-09-24,Kenya,Zanzibar,7,1,Friendly,Kampala,Uganda,True
1952-09-26,Tanzania,Zanzibar,1,3,Friendly,Kampala,Uganda,True
1953-09-29,Zanzibar,Uganda,1,5,Friendly,Zanzibar City,Zanzibar,False
1954-10-05,Kenya,Zanzibar,5,0,Friendly,Nairobi,Kenya,False
1955-10-13,Kenya,Zanzibar,8,0,Friendly,Dar es Salaam,Tanganyika,True
1956-11-28,Uganda,Zanzibar,5,2,Friendly,Kampala,Uganda,False
1956-11-30,Tanzania,Zanzibar,2,3,Friendly,Kampala,Uganda,True
1957-09-04,Zanzibar,Kenya,1,5,Friendly,Zanzibar City,Zanzibar,False
1957-09-05,Zanzibar,Tanzania,3,3,Friendly,Zanzibar City,Zanzibar,False
1958-10-04,Uganda,Zanzibar,1,1,Friendly,Nairobi,Kenya,True
1958-10-08,Kenya,Zanzibar,4,0,Friendly,Nairobi,Kenya,False
1958-10-10,Tanzania,Zanzibar,3,2,Friendly,Nairobi,Kenya,True
1959-10-03,Tanzania,Zanzibar,2,2,Friendly,Dar es Salaam,Tanganyika,False
1959-10-07,Kenya,Zanzibar,5,0,Friendly,Dar es Salaam,Tanganyika,True
1959-10-09,Zanzibar,Uganda,1,0,Friendly,Dar es Salaam,Tanganyika,True
1960-10-10,Kenya,Zanzibar,4,1,Friendly,Kampala,Uganda,True
1960-10-11,Uganda,Zanzibar,3,0,Friendly,Kampala,Uganda,False
1960-10-14,Tanzania,Zanzibar,4,2,Friendly,Kampala,Uganda,True
1961-09-30,Uganda,Zanzibar,2,1,Friendly,Mombasa,Kenya,True
1961-10-04,Kenya,Zanzibar,10,0,Friendly,Mombasa,Kenya,False
1961-10-06,Tanzania,Zanzibar,3,0,Friendly,Mombasa,Kenya,True
1961-12-03,Kenya,Zanzibar,4,0,Friendly,Dar es Salaam,Tanganyika,True
1961-12-05,Uganda,Zanzibar,2,0,Friendly,Dar es Salaam,Tanganyika,True
1962-07-06,Kenya,Zanzibar,5,0,Friendly,Mombasa,Kenya,False
1962-12-15,Tanzania,Zanzibar,6,0,Friendly,Dar es Salaam,Tanganyika,False
1963-01-19,Uganda,Zanzibar,8,0,Friendly,Kampala,Uganda,False
1963-05-27,Zanzibar,Ethiopia,0,4,Friendly,Zanzibar City,Zanzibar,False
1963-09-29,Uganda,Zanzibar,2,0,Friendly,Nairobi,Kenya,True
1963-10-01,Kenya,Zanzibar,1,0,Friendly,Nairobi,Kenya,False
1963-10-04,Tanzania,Zanzibar,2,1,Friendly,Nairobi,Kenya,True
1964-09-08,Kenya,Zanzibar,5,1,Friendly,Dar es Salaam,Tanzania,True
1964-09-27,Uganda,Zanzibar,2,3,Friendly,Dar es Salaam,Tanzania,True
1964-09-29,Tanzania,Zanzibar,3,1,Friendly,Dar es Salaam,Tanzania,False
1964-10-05,Zanzibar,Uganda,3,4,Friendly,Zanzibar,Tanzania,False
1965-09-25,Uganda,Zanzibar,4,1,Friendly,Kampala,Uganda,False
1965-09-29,Tanzania,Zanzibar,3,0,Friendly,Kampala,Uganda,True
1965-10-01,Kenya,Zanzibar,5,1,Friendly,Kampala,Uganda,True
1966-09-24,Zanzibar,Kenya,1,3,Friendly,Zanzibar,Tanzania,False
1966-09-28,Zanzibar,Tanzania,0,4,Friendly,Zanzibar City,Zanzibar,False
1966-10-01,Zanzibar,Uganda,0,0,Friendly,Zanzibar City,Zanzibar,False
1967-10-04,Kenya,Zanzibar,6,0,Friendly,Nairobi,Kenya,False
1967-10-06,Uganda,Zanzibar,2,0,Friendly,Nairobi,Kenya,True
1967-10-10,Tanzania,Zanzibar,0,3,Friendly,Nairobi,Kenya,True
1968-09-29,Kenya,Zanzibar,3,0,Friendly,Dar es Salaam,Tanzania,True
1968-10-02,Uganda,Zanzibar,2,0,Friendly,Dar es Salaam,Tanzania,True
1968-10-05,Tanzania,Zanzibar,3,0,Friendly,Dar es Salaam,Tanzania,False
1969-09-28,Kenya,Zanzibar,2,1,Friendly,Kampala,Uganda,True
1969-09-30,Uganda,Zanzibar,7,0,Friendly,Kampala,Uganda,False
1969-10-03,Tanzania,Zanzibar,3,0,Friendly,Kampala,Uganda,True
1970-09-26,Zanzibar,Uganda,0,1,Friendly,Zanzibar City,Zanzibar,False
1970-09-30,Zanzibar,Tanzania,1,2,Friendly,Zanzibar City,Zanzibar,False
1970-10-03,Zanzibar,Kenya,3,2,Friendly,Zanzibar,Tanzania,False
1971-09-26,Uganda,Zanzibar,3,1,Friendly,Nairobi,Kenya,True
1971-09-30,Kenya,Zanzibar,4,0,Friendly,Nairobi,Kenya,False
1971-10-02,Tanzania,Zanzibar,1,1,Friendly,Nairobi,Kenya,True
1972-07-11,Zanzibar,Nigeria,1,4,Friendly,Zanzibar City,Zanzibar,False
1973-09-23,Kenya,Zanzibar,2,0,CECAFA Cup,Kampala,Uganda,True
1973-09-25,Tanzania,Zanzibar,1,0,CECAFA Cup,Kampala,Uganda,True
1974-10-30,Zanzibar,Somalia,2,1,CECAFA Cup,Zanzibar,Tanzania,False
1974-11-02,Zanzibar,Uganda,1,2,CECAFA Cup,Zanzibar,Tanzania,False
1975-02-27,Zanzibar,Malawi,2,7,Friendly,Zanzibar City,Zanzibar,False
1975-11-03,Malawi,Zanzibar,4,2,CECAFA Cup,Kitwe,Zambia,True
1975-11-05,Tanzania,Zanzibar,4,0,CECAFA Cup,Mufulira,Zambia,True
1976-11-05,Zanzibar,Zambia,0,3,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-08,Zanzibar,Uganda,0,1,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-10,Zanzibar,Somalia,1,0,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-16,Zanzibar,Somalia,1,1,Friendly,Zanzibar,Tanzania,False
1977-11-26,Uganda,Zanzibar,1,0,CECAFA Cup,Mogadishu,Somalia,True
1977-11-30,Somalia,Zanzibar,1,0,CECAFA Cup,Mogadishu,Somalia,False
1977-12-02,Kenya,Zanzibar,3,0,CECAFA Cup,Mogadishu,Somalia,True
1978-01-28,Zambia,Zanzibar,6,1,Friendly,Ndola,Zambia,False
1978-01-29,Zambia,Zanzibar,5,0,Friendly,Ndola,Zambia,False
1979-11-04,Malawi,Zanzibar,4,0,CECAFA Cup,Mombasa,Kenya,True
1979-11-09,Sudan,Zanzibar,1,1,CECAFA Cup,Nairobi,Kenya,True
1979-11-14,Kenya,Zanzibar,2,0,CECAFA Cup,Nairobi,Kenya,False
1979-11-16,Tanzania,Zanzibar,2,1,CECAFA Cup,Mombasa,Kenya,True
1980-11-16,Malawi,Zanzibar,1,0,CECAFA Cup,Port Sudan,Sudan,True
1980-11-22,Kenya,Zanzibar,1,2,CECAFA Cup,Port Sudan,Sudan,True
1981-11-15,Tanzania,Zanzibar,3,1,CECAFA Cup,Dodoma,Tanzania,False
1981-11-17,Kenya,Zanzibar,2,1,CECAFA Cup,Dar es Salaam,Tanzania,True
1981-11-20,Malawi,Zanzibar,4,1,CECAFA Cup,Dodoma,Tanzania,True
