Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1946-06-16,Zimbabwe,Zambia,0,4,Friendly,Salisbury,Southern Rhodesia,False
1947-02-22,Zambia,Zimbabwe,2,2,Friendly,Kitwe,Northern Rhodesia,False
1948-08-27,Zimbabwe,Zambia,4,0,Friendly,Salisbury,Southern Rhodesia,False
1950-06-14,Zimbabwe,Australia,0,5,Friendly,Salisbury,Southern Rhodesia,False
1950-06-17,Zimbabwe,Australia,1,4,Friendly,Bulawayo,Southern Rhodesia,False
1950-07-16,Zambia,Zimbabwe,3,2,Friendly,Kitwe,Northern Rhodesia,False
1951-02-24,Zimbabwe,Zambia,2,1,Friendly,Salisbury,Southern Rhodesia,False
1952-09-06,Zambia,Zimbabwe,1,4,Friendly,Kitwe,Northern Rhodesia,False
1952-09-11,Zambia,Zimbabwe,3,2,Friendly,Kitwe,Northern Rhodesia,False
1953-10-14,Zambia,Zimbabwe,1,0,Friendly,Kitwe,Northern Rhodesia,False
1954-05-05,Zimbabwe,Israel,2,1,Friendly,Salisbury,Southern Rhodesia,False
1954-05-09,Zimbabwe,Israel,1,2,Friendly,Bulawayo,Southern Rhodesia,False
1954-05-24,Zimbabwe,Zambia,1,0,Friendly,Salisbury,Southern Rhodesia,False
1954-08-18,Zimbabwe,Zambia,2,4,Friendly,Salisbury,Southern Rhodesia,False
1958-04-22,Zimbabwe,Zambia,0,2,Friendly,Salisbury,Southern Rhodesia,False
1958-09-09,Zimbabwe,Zambia,4,2,Friendly,Salisbury,Southern Rhodesia,False
1967-11-12,Zimbabwe,Malawi,1,0,Friendly,Salisbury,Southern Rhodesia,False
1967-11-25,Zimbabwe,Mauritius,1,2,Friendly,Salisbury,Southern Rhodesia,False
1967-11-26,Zimbabwe,Mauritius,2,3,Friendly,Salisbury,Southern Rhodesia,False
1969-02-01,Malawi,Zimbabwe,2,2,Friendly,Zomba,Malawi,False
1969-02-08,Zimbabwe,Malawi,4,0,Friendly,Salisbury,Southern Rhodesia,False
1969-02-09,Zimbabwe,Malawi,1,1,Friendly,Salisbury,Southern Rhodesia,False
1969-11-23,Zimbabwe,Australia,1,1,FIFA World Cup qualification,Maputo,Mozambique,True
1969-11-27,Australia,Zimbabwe,0,0,FIFA World Cup qualification,Maputo,Mozambique,True
1969-11-29,Zimbabwe,Australia,1,3,FIFA World Cup qualification,Maputo,Mozambique,True
1969-12-01,Malawi,Zimbabwe,2,2,Friendly,Blantyre,Malawi,False
1977-04-09,South Africa,Zimbabwe,7,0,Friendly,Johannesburg,South Africa,False
1977-07-03,Zimbabwe,South Africa,1,1,Friendly,Salisbury,Southern Rhodesia,False
1979-05-19,Mozambique,Zimbabwe,0,6,Friendly,Maputo,Mozambique,False
1980-04-20,Zimbabwe,Mozambique,6,0,Friendly,Salisbury,Zimbabwe,False
1980-04-21,Zimbabwe,Zambia,2,1,Friendly,Salisbury,Zimbabwe,False
1980-06-07,Zambia,Zimbabwe,2,1,Friendly,Ndola,Zambia,False
1980-06-08,Zambia,Zimbabwe,1,3,Friendly,Lusaka,Zambia,False
1980-07-06,Malawi,Zimbabwe,0,1,Friendly,Blantyre,Malawi,False
