Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1989-07-08,Åland Islands,Ynys Môn,4,5,Island Games,Sandavágur,Faroe Islands,True
1989-07-09,Åland Islands,Shetland,2,0,Island Games,Klaksvík,Faroe Islands,True
1989-07-11,Åland Islands,Greenland,3,0,Island Games,Sandur,Faroe Islands,True
1989-07-12,Faroe Islands,Åland Islands,7,1,Island Games,Tórshavn,Faroe Islands,False
1991-06-24,Åland Islands,Isle of Wight,1,0,Island Games,Åland,Finland,False
1991-06-25,Åland Islands,Guernsey,2,0,Island Games,Åland,Finland,False
1991-06-26,Åland Islands,Ynys Môn,0,1,Island Games,Åland,Finland,False
1991-06-28,Åland Islands,Jersey,0,2,Island Games,Åland,Finland,False
1993-07-04,Åland Islands,Shetland,3,1,Island Games,Isle of Wight,England,True
1993-07-05,Isle of Man,Åland Islands,2,0,Island Games,Isle of Wight,England,True
1993-07-06,Isle of Wight,Åland Islands,0,2,Island Games,Isle of Wight,England,False
1993-07-09,Greenland,Åland Islands,1,2,Island Games,Isle of Wight,England,True
1995-07-16,Åland Islands,Guernsey,2,2,Island Games,Gibraltar,Gibraltar,True
1995-07-17,Åland Islands,Isle of Wight,0,5,Island Games,Gibraltar,Gibraltar,True
1995-07-18,Jersey,Åland Islands,3,1,Island Games,Gibraltar,Gibraltar,True
1995-07-21,Åland Islands,Isle of Man,4,1,Island Games,Gibraltar,Gibraltar,True
1999-06-27,Jersey,Åland Islands,1,0,Island Games,Visby,Sweden,True
1999-06-28,Åland Islands,Gibraltar,2,1,Island Games,Väskinde,Sweden,True
1999-07-01,Gotland,Åland Islands,1,4,Island Games,Fardhem,Sweden,False
1999-07-02,Rhodes,Åland Islands,3,2,Island Games,Visby,Sweden,True
2004-05-15,Åland Islands,Sealand,2,2,Friendly,Åland,Finland,False
2005-07-10,Saare County,Åland Islands,2,1,Island Games,Shetland,Scotland,True
2005-07-11,Shetland,Åland Islands,3,1,Island Games,Shetland,Scotland,False
2005-07-12,Åland Islands,Isle of Man,0,1,Island Games,Shetland,Scotland,True
2005-07-14,Åland Islands,Falkland Islands,2,1,Island Games,Shetland,Scotland,True
2005-07-15,Åland Islands,Greenland,3,2,Island Games,Shetland,Scotland,True
2007-07-01,Åland Islands,Bermuda,0,2,Island Games,Rhodes,Greece,True
2007-07-02,Ynys Môn,Åland Islands,0,2,Island Games,Rhodes,Greece,True
2007-07-04,Jersey,Åland Islands,1,0,Island Games,Rhodes,Greece,True
2007-07-05,Åland Islands,Frøya,3,1,Island Games,Rhodes,Greece,True
2009-06-28,Åland Islands,Greenland,4,2,Island Games,Mariehamn,Sweden,False
2009-06-29,Åland Islands,Shetland,2,1,Island Games,Hammarland,Sweden,False
2009-06-30,Åland Islands,Menorca,1,1,Island Games,Finström,Sweden,False
2009-07-02,Åland Islands,Isle of Man,2,1,Island Games,Jomala,Sweden,False
2009-07-03,Åland Islands,Jersey,1,2,Island Games,Mariehamn,Sweden,False
2011-06-26,Åland Islands,Saare County,3,3,Island Games,East Cowes,England,True
2011-06-27,Western Isles,Åland Islands,0,2,Island Games,Newport,England,True
2011-06-30,Guernsey,Åland Islands,3,2,Island Games,Brading,England,True
2011-07-01,Jersey,Åland Islands,5,1,Island Games,Brading,England,True
2015-06-28,Saare County,Åland Islands,1,2,Island Games,Grouville,Jersey,True
2015-06-29,Åland Islands,Greenland,0,2,Island Games,St. Clement,Jersey,True
2015-06-30,Åland Islands,Menorca,1,3,Island Games,St. Clement,Jersey,True
2015-07-02,Gibraltar,Åland Islands,0,0,Island Games,St. Brelade,Jersey,True
2017-06-25,Guernsey,Åland Islands,1,1,Island Games,Dalhem,Sweden,True
2017-06-26,Åland Islands,Saare County,0,0,Island Games,Fardhem,Sweden,True
2017-06-27,Åland Islands,Shetland,2,1,Island Games,Visby,Sweden,True
2017-06-29,Ynys Môn,Åland Islands,0,2,Island Games,Fårösund,Sweden,True
2023-07-09,Åland Islands,Isle of Wight,0,2,Island Games,Saint Sampson,Guernsey,True
2023-07-10,Guernsey,Åland Islands,4,1,Island Games,Saint Sampson,Guernsey,False
2023-07-11,Åland Islands,Western Isles,0,2,Island Games,Saint Sampson,Guernsey,True
2023-07-13,Åland Islands,Falkland Islands,1,1,Island Games,Saint Sampson,Guernsey,True
