Epochs,Sensitivity,Specificity,Accuracy,Date_Time
10,0.00,1.00,0.77,2025-02-03 09:13:35
10,0.00,1.00,0.75,2025-02-03 09:15:59
10,0.00,1.00,0.84,2025-02-03 09:18:31
10,0.00,1.00,0.81,2025-02-03 09:21:33
10,0.00,1.00,0.81,2025-02-03 09:24:05
10,0.00,1.00,0.70,2025-02-03 09:26:33
10,0.00,1.00,0.77,2025-02-03 09:29:14
10,0.00,1.00,0.75,2025-02-03 09:32:03
10,0.00,0.95,0.73,2025-02-03 10:15:55
10,0.00,1.00,0.75,2025-02-03 10:18:12
10,0.00,1.00,0.84,2025-02-03 10:20:21
10,0.00,1.00,0.81,2025-02-03 10:22:30
10,0.00,0.98,0.79,2025-02-03 10:25:08
10,0.00,1.00,0.70,2025-02-03 10:27:30
10,0.00,1.00,0.77,2025-02-03 10:29:52
120,0.00,0.96,0.74,2025-02-03 11:13:27
120,0.00,1.00,0.75,2025-02-03 11:44:25
120,0.00,1.00,0.84,2025-02-03 12:13:27
120,0.29,0.90,0.78,2025-02-03 12:42:14
120,0.00,1.00,0.81,2025-02-03 13:11:24
120,0.09,0.96,0.70,2025-02-03 13:41:36
