b_length b_mass	gen
 -2.65645542 19.309795   1
 -2.44046693 21.757625   1
 -2.41420765  8.176761   0
 -1.78130843 18.101959   1
 -1.76316309  6.869465   0
 -1.71700868 30.544474   1
 -1.38886070 26.567582   1
 -1.36828104 16.759391   0
 -0.85090759 28.439164   1
 -0.81139318 15.914424   0
 -0.78445901 32.568771   1
 -0.72670483 21.647253   0
 -0.63999488 29.606252   1
 -0.60892638 28.577468   0
 -0.56469817 35.155978   1
 -0.43144620 38.940458   1
 -0.43046913 23.314439   0
 -0.36105730 29.641170   0
 -0.30663859 33.889166   0
 -0.28425292 27.456285   1
 -0.27878877 22.908149   0
 -0.25726938 27.540421   1
 -0.17191736 26.500509   1
 -0.13332134 34.466663   1
 -0.10612452 37.523150   1
 -0.09465904 35.058236   0
 -0.06271410 34.596614   0
  0.03612261 30.236815   1
  0.20599860 41.302396   0
  0.36312841 30.297417   0
  0.40426832 34.570252   0
  0.43281803 35.918447   1
  0.45545012 33.942750   0
  0.46009735 35.541939   0
  0.50495512 39.130491   1
  0.63286260 39.304575   1
  0.63595040 39.992016   1
  0.65564788 34.129303   0
  0.70483734 34.527288   0
  0.75816324 32.001647   1
  1.03510352 38.439367   0
  1.21467470 39.583496   0
  1.30486965 57.643543   1
  1.32011335 36.390552   0
  1.37095845 44.395866   0
  1.44410126 36.972887   0
  1.51152200 38.228475   1
  1.89519346 48.889866   1
  2.01842371 45.201041   0
  2.28664539 50.997405   1

