Dose	Herbicide	DryMatter
1	Glyphosate	4.7
1	Glyphosate	4.6
1	Glyphosate	4.1
1	Glyphosate	4.4
1	Glyphosate	3.2
1	Glyphosate	3
1	Glyphosate	3.8
1	Glyphosate	3.9
10	Glyphosate	3.8
10	Glyphosate	3.8
10	Glyphosate	3.8
10	Glyphosate	3.3
20	Glyphosate	4.1
20	Glyphosate	3.5
20	Glyphosate	4.1
20	Glyphosate	3.2
40	Glyphosate	2.8
40	Glyphosate	3
40	Glyphosate	3.7
40	Glyphosate	3.4
80	Glyphosate	1.8
80	Glyphosate	1.6
80	Glyphosate	2.3
80	Glyphosate	1.7
160	Glyphosate	1.1
160	Glyphosate	1.3
160	Glyphosate	1
160	Glyphosate	1.2
320	Glyphosate	0.9
320	Glyphosate	0.9
320	Glyphosate	0.9
320	Glyphosate	0.9
1	Bentazone	4.1
1	Bentazone	3.4
1	Bentazone	2.6
1	Bentazone	3.5
1	Bentazone	4.3
1	Bentazone	4.2
1	Bentazone	4.1
1	Bentazone	4.5
10	Bentazone	3.5
10	Bentazone	3.8
10	Bentazone	3.9
10	Bentazone	3.7
20	Bentazone	3.2
20	Bentazone	3.5
20	Bentazone	3
20	Bentazone	4
40	Bentazone	1.1
40	Bentazone	1.4
40	Bentazone	1.4
40	Bentazone	0.9
80	Bentazone	0.9
80	Bentazone	0.6
80	Bentazone	0.7
80	Bentazone	0.8
160	Bentazone	0.7
160	Bentazone	0.7
160	Bentazone	0.5
160	Bentazone	0.6
320	Bentazone	0.8
320	Bentazone	0.5
320	Bentazone	0.7
320	Bentazone	0.8
640	Bentazone	0.6
640	Bentazone	0.7
640	Bentazone	0.6
640	Bentazone	0.8
